date,strategy_nav,nifty500,strategy_dd
2021-08-11,100.0,100.0,0.0
2021-08-12,100.00556143740052,100.68749076679724,0.0
2021-08-13,100.04603265733722,101.3602084091507,0.0
2021-08-16,99.96646479744238,101.39984362107297,-0.0007953124954725999
2021-08-17,100.34855263342679,101.70467443276607,0.0
2021-08-18,100.41514405904188,101.5782020747232,0.0
2021-08-20,98.77852543005615,100.48571150610204,-0.016298523936025378
2021-08-23,97.76340717915242,100.38914571705504,-0.026407738640800038
2021-08-24,99.0029947955479,101.34543528470694,-0.01406311046731823
2021-08-25,99.24701629301612,101.5641495904962,-0.011632984018216663
2021-08-26,99.13016414116238,101.6603550594348,-0.01279667454466793
2021-08-27,99.90406786358702,102.27686276488032,-0.005089632646987585
2021-08-30,100.79671706553617,103.75705777012298,0.0
2021-08-31,101.79637583501737,104.89566931261733,0.0
2021-09-01,101.62042034686401,104.86288018275435,-0.0017285044453698717
2021-09-02,102.21956765694445,105.82133167105658,0.0
2021-09-03,102.24368650604963,106.36145151352461,0.0
2021-09-06,102.49113604207515,106.6969095344304,0.0
2021-09-07,102.11148763080612,106.54125124760839,-0.0037042072703065143
2021-09-08,102.46580501121684,106.6806951295531,-0.0002471533816145177
2021-09-09,102.73715006043327,106.91742544076159,0.0
2021-09-13,102.75553251450269,107.03092627490263,0.0
2021-09-14,102.99518286540872,107.40674014794745,0.0
2021-09-15,103.71476510392195,108.24412407983253,0.0
2021-09-16,103.73063217121374,108.85198410267682,0.0
2021-09-17,102.6977081917536,108.29240697435603,-0.00995775266996568
2021-09-20,101.476456398866,106.84752333973502,-0.02173105210259485
2021-09-21,101.92737065065178,107.70904871888185,-0.017384079155958188
2021-09-22,102.03816951910348,108.02793201480195,-0.016315938857065504
2021-09-23,102.44450825644951,109.57658784063764,-0.012398689643011274
2021-09-24,102.085266981064,109.47930141137388,-0.015861902657972604
2021-09-27,101.91661251206656,109.45840284508756,-0.01748779141876844
2021-09-28,101.85523154594077,108.78496456251735,-0.018079525652340722
2021-09-29,102.60046916366714,108.72262918376687,-0.010895171309485474
2021-09-30,102.59657519485252,108.47544958941523,-0.010932710546768809
2021-10-01,102.89129638465644,108.19656182552582,-0.008091493987734788
2021-10-04,103.2092119457646,109.40147226796286,-0.005026675481824006
2021-10-05,102.98874269230167,110.11454576245538,-0.00715207709992105
2021-10-06,102.18688978185443,109.0656539269487,-0.01488222289835528
2021-10-07,102.60809695188173,110.18697010424061,-0.01082163673194625
2021-10-08,103.04920710192904,110.72781058692544,-0.006569178795324149
2021-10-11,104.07158221458184,111.18037264305609,0.0
2021-10-12,103.51272911143847,111.56879771989436,-0.005369891484796274
2021-10-13,104.67957965516226,112.64615484396339,0.0
2021-10-14,105.02062835554398,113.63955738277886,0.0
2021-10-18,105.34133951254607,114.48198579618133,0.0
2021-10-19,103.72227946801883,113.55740439806725,-0.015369654990331938
2021-10-20,102.39726643185179,112.1939531079411,-0.02794793662504791
2021-10-21,102.53897551792288,111.61023453235855,-0.026602699449150613
2021-10-22,101.28373859603059,110.97643146171059,-0.0385185999655171
2021-10-25,100.29649354085275,110.50549308005233,-0.047890467266105796
2021-10-26,101.7088551446768,111.69671135837078,-0.03448299010320299
2021-10-27,101.87969450195975,111.58645340520519,-0.03286122073826525
2021-10-28,100.35810609409998,109.47137436898942,-0.04730558241907101
2021-10-29,100.08653996147463,108.72226886365848,-0.04988354596008915
2021-11-01,101.63553338673697,110.27741045144508,-0.035179029837262954
2021-11-02,103.23235150402783,110.3635269573489,-0.020020516335536698
2021-11-03,103.91411337382985,110.13364272819975,-0.013548585439681404
2021-11-04,105.07618892109613,110.81212549228736,-0.0025170611336147175
2021-11-08,106.35936151097098,111.84444260280834,0.0
2021-11-09,106.36994161364196,112.0015421700639,0.0
2021-11-10,106.32518197968032,111.85128868486764,-0.00042079212682277767
2021-11-11,105.66374815210726,111.0585844464222,-0.006639032144059365
2021-11-12,105.98466891410361,112.26853937037664,-0.003622007248417325
2021-11-15,106.15598394404067,112.36654643985717,-0.002011448594927523
2021-11-16,106.12532451630656,111.88227621418869,-0.002299682538361103
2021-11-17,106.09204213966936,111.37458518147523,-0.002612575223383873
2021-11-18,104.87179553280276,110.27632949111992,-0.01408429917429832
2021-11-22,103.71027714381167,107.92812334477951,-0.025003910216391256
2021-11-23,104.55667190097107,108.87288266896311,-0.01704682436751781
2021-11-24,104.36818461693956,108.43113021608397,-0.018818821993653034
2021-11-25,105.04589375870887,109.18131668174007,-0.012447575272178768
2021-11-26,103.27731325268421,105.98599796058821,-0.02907426961077797
2021-11-29,102.78181894340217,105.62027305057815,-0.0337324869771255
2021-11-30,103.42641788122862,105.56190119301989,-0.027672514318987096
