draw,trades,cagr,excess_cagr,sharpe_rf0,holdout_excess_cagr
1,583,0.07219198437820729,-0.04029594948485049,0.5143018181755569,-0.024128245268709714
2,583,0.1142683643555713,0.0017804304925135295,0.7562664800905337,0.018401911142308602
3,580,0.08259070471003715,-0.030097018067670067,0.5688741483302776,-0.1047359650019215
4,575,0.06384361073868727,-0.04605237246966376,0.46945270973343534,-0.06024266606892459
5,579,0.11307034911531932,0.0012413369014865339,0.7372679946298587,-0.04720620172937329
6,579,0.0884256023014709,-0.02406233156158688,0.6445283794600173,-0.05850788768993187
7,582,0.14433213962575153,0.03298228245781121,0.9271993578290266,-0.05679298646813202
8,579,0.11054908999258428,-0.0021386327851229403,0.7505422471902161,0.0027255337478664377
9,586,0.09603435605686772,-0.016453577806190056,0.6515574819632184,-0.04506248160553339
10,584,0.087645364516586,-0.022774120208724824,0.5893333159500177,-0.02291185582441213
11,583,0.14227517649928179,0.029587453721574564,0.8944998867025915,-0.014172440957474608
12,583,0.10178958080049894,-0.01069835306255884,0.6931238067603412,-0.019953214740556557
13,582,0.08789134671501353,-0.024796376062693692,0.6121967160374304,-0.03188791228295451
14,585,0.14888989690283294,0.037540039734892616,0.9372630253375791,0.0038274572256546957
15,586,0.060360836357705505,-0.05005864836760532,0.4511649758354993,-0.03707153873880542
16,588,0.10326227004337207,-0.009225663819685703,0.6982074451065183,-0.05632163474246532
17,577,0.14060050753612519,0.028771495322292395,0.9236588441627115,-0.007026439115910055
18,576,0.09136803223632217,-0.020460979977510618,0.6222988786443194,-0.05365931550802183
19,576,0.09618426404687042,-0.01630366981618736,0.6683226503852162,-0.05563810844500949
20,581,0.07305017525042778,-0.03963754752727944,0.5288859331640969,-0.06794626472632204
21,580,0.08356830533290283,-0.029119417444804396,0.5761275476255621,-0.09231301996916241
22,582,0.06501930016586677,-0.04746863369719101,0.4814739961043793,-0.06495930845731857
23,567,0.11830493952698129,0.0058170056639235135,0.8058680186892221,-0.0357312511218586
24,586,0.0998339802166004,-0.009708806877535059,0.6752908783350405,-0.032497141785002404
25,584,0.12506852884617947,0.013239516632346682,0.8141745122613869,-0.03999349750058201
26,585,0.12588952250654506,0.01406051029271227,0.8157360741986966,0.005871342578149363
27,581,0.07196649381206166,-0.040521440050996116,0.5180901861307803,-0.08933339839059118
28,586,0.09761786509295489,-0.013731992074985433,0.6640811423280247,-0.021044902868978088
29,582,0.09144902146750611,-0.019900835700434216,0.6313244623437944,-0.05423428852503487
30,585,0.08869718345736177,-0.022652673710578553,0.6153069636678442,-0.0496918497277441
31,577,0.1169940342209903,0.00450610035793253,0.781858558046997,-0.003977457080981406
32,583,0.061277836218567305,-0.050551175995265485,0.45857365246928505,-0.04157862343333685
33,577,0.09655135390860736,-0.01613636886909986,0.6502449831450036,-0.050638013124270964
34,576,0.08201298664137968,-0.03067473613632754,0.5685843271015172,-0.03808042328934902
35,582,0.07225557206515587,-0.039094285102784454,0.5057337733410272,-0.05968116890556319
36,581,0.12920118009472015,0.016513457317012925,0.8684470436589432,-0.0072273133885973895
37,569,0.07194990072451968,-0.040737822053187545,0.5212568284253839,-0.05419360425153652
38,587,0.09710758657619212,-0.015380347286865659,0.6678853603727436,-0.07797653614228162
39,583,0.10814182295476527,-0.004346110908292511,0.7242828819210029,-0.06584012352699675
40,582,0.09518334555276664,-0.017304588310291136,0.6472043285924018,-0.07643576044061251
