trade_id,entry_date,symbol,company,sector,filing_timestamp,event_day,entry_price,exit_date,exit_price,holding_sessions,sue,sue_quintile,gross_return,cost,net_return,nifty500_return,excess_vs_nifty500,excess_vs_event_universe_60d,period,result
T0001,2021-08-11,SHREECEM,SHREE CEMENT LIMITED,Cement & Cement Products,2021-08-09 18:24:00,2021-08-10,26650.972793091983,2021-11-09,28623.8671875,60,2.0311595554136104,5,0.074027106242043,0.00585,0.068177106242043,0.120015421700639,-0.045988315458596,-0.0186466414335491,Discovery,Win
T0002,2021-08-13,POWERGRID,Power Grid Corporation of India Limited,Power,2021-08-11 16:18:00,2021-08-12,106.7803740076146,2021-11-11,107.45535278320312,60,10.013006807398291,5,0.0063211875952073,0.00585,0.0004711875952073,0.0956822819278651,-0.0893610943326577,-0.0863525600803847,Discovery,Win
T0003,2021-08-13,HINDALCO,Hindalco Industries Limited,Metals,2021-08-11 17:24:00,2021-08-12,422.8355594194871,2021-11-11,438.8345031738281,60,3.082423552411756,5,0.0378372712463115,0.00585,0.0319872712463115,0.0956822819278651,-0.0578450106815535,-0.0548364764292806,Discovery,Win
T0004,2021-08-13,ASTERDM,Aster DM Quality Care Limited,Healthcare Services,2021-08-12 13:15:00,2021-08-12,125.29557470786744,2021-11-11,153.65512084960938,60,2.6427572713754226,5,0.2263411633480556,0.00585,0.2204911633480556,0.0956822819278651,0.1306588814201905,0.1336674156724635,Discovery,Win
T0005,2021-08-13,SUPRAJIT,Suprajit Engineering Limited,Automobile,2021-08-12 09:28:00,2021-08-12,308.3868486461034,2021-11-11,351.3998718261719,60,1.8476518334755847,5,0.1394774886442356,0.00585,0.1336274886442356,0.0956822819278651,0.0437952067163704,0.0468037409686434,Discovery,Win
T0006,2021-08-13,PTC,PTC India Limited,Power,2021-08-12 11:55:00,2021-08-12,65.20744002730723,2021-11-11,84.21517944335938,60,1.6833341108205508,5,0.2914964827340589,0.00585,0.2856464827340589,0.0956822819278651,0.1958142008061938,0.1988227350584668,Discovery,Win
T0007,2021-08-16,CUMMINSIND,Cummins India Limited,Industrial Manufacturing,2021-08-12 16:38:00,2021-08-13,914.8090552973551,2021-11-12,858.8316650390625,60,3.87412356898573,5,-0.0611902450398214,0.00585,-0.0670402450398214,0.1071865139153425,-0.1683767589551639,-0.1538639927154135,Discovery,Loss
T0008,2021-08-16,TATASTEEL,Tata Steel Limited,Metals,2021-08-12 18:59:00,2021-08-13,127.9739624836368,2021-11-12,111.007080078125,60,2.5486866220264828,5,-0.1325807381144523,0.00585,-0.1384307381144523,0.1071865139153425,-0.2397672520297948,-0.2252544857900445,Discovery,Loss
T0009,2021-08-16,GRASIM,Grasim Industries Limited,Cement & Cement Products,2021-08-13 15:05:00,2021-08-13,1460.064277418046,2021-11-12,1810.2984619140625,60,2.303612097596495,5,0.2398758670511169,0.00585,0.2340258670511169,0.1071865139153425,0.1326893531357744,0.1472021193755248,Discovery,Win
T0010,2021-08-16,KNRCON,KNR Constructions Limited,Construction,2021-08-12 16:45:00,2021-08-13,285.10594746207147,2021-11-12,283.0636901855469,60,2.031324834644329,5,-0.0071631521359135,0.00585,-0.0130131521359135,0.1071865139153425,-0.114349666051256,-0.0998368998115057,Discovery,Loss
T0011,2021-08-16,SUNDRMFAST,Sundram Fasteners Limited,Automobile,2021-08-12 16:46:00,2021-08-13,753.7418093544757,2021-11-12,793.16162109375,60,1.9948311183366707,5,0.0522988260038732,0.00585,0.0464488260038732,0.1071865139153425,-0.0548876879114692,-0.0403749216717188,Discovery,Win
