date,strategy_nav,nifty500,strategy_dd,nifty500_dd,positions_held,period
2021-08-11,100.0,100.0,0.0,0.0,1,Discovery
2021-08-12,100.00556143740052,100.68749076679724,0.0,0.0,1,Discovery
2021-08-13,100.04603265733722,101.3602084091507,0.0,0.0,6,Discovery
2021-08-16,99.96646479744238,101.39984362107297,-0.0007953124954725999,0.0,12,Discovery
2021-08-17,100.34855263342679,101.70467443276607,0.0,0.0,19,Discovery
2021-08-18,100.41514405904188,101.5782020747232,0.0,-0.001243525518844324,19,Discovery
2021-08-20,98.77852543005615,100.48571150610204,-0.016298523936025378,-0.011985318604700534,19,Discovery
2021-08-23,97.76340717915242,100.38914571705504,-0.026407738640800038,-0.01293479108062734,19,Discovery
2021-08-24,99.0029947955479,101.34543528470694,-0.01406311046731823,-0.0035321793227568454,19,Discovery
2021-08-25,99.24701629301612,101.5641495904962,-0.011632984018216663,-0.0013816950209379897,19,Discovery
2021-08-26,99.13016414116238,101.6603550594348,-0.01279667454466793,-0.00043576535275735573,19,Discovery
2021-08-27,99.90406786358702,102.27686276488032,-0.005089632646987585,0.0,19,Discovery
2021-08-30,100.79671706553617,103.75705777012298,0.0,0.0,19,Discovery
2021-08-31,101.79637583501737,104.89566931261733,0.0,0.0,19,Discovery
2021-09-01,101.62042034686401,104.86288018275435,-0.0017285044453698717,-0.0003125880227261568,19,Discovery
2021-09-02,102.21956765694445,105.82133167105658,0.0,0.0,19,Discovery
2021-09-03,102.24368650604963,106.36145151352461,0.0,0.0,19,Discovery
2021-09-06,102.49113604207515,106.6969095344304,0.0,0.0,19,Discovery
2021-09-07,102.11148763080612,106.54125124760839,-0.0037042072703065143,-0.0014588828064582282,19,Discovery
2021-09-08,102.46580501121684,106.6806951295531,-0.0002471533816145177,-0.00015196695900610013,19,Discovery
2021-09-09,102.73715006043327,106.91742544076159,0.0,0.0,19,Discovery
2021-09-13,102.75553251450269,107.03092627490263,0.0,0.0,19,Discovery
2021-09-14,102.99518286540872,107.40674014794745,0.0,0.0,19,Discovery
2021-09-15,103.71476510392195,108.24412407983253,0.0,0.0,19,Discovery
2021-09-16,103.73063217121374,108.85198410267682,0.0,0.0,19,Discovery
2021-09-17,102.6977081917536,108.29240697435603,-0.00995775266996568,-0.005140715926619799,19,Discovery
2021-09-20,101.476456398866,106.84752333973502,-0.02173105210259485,-0.018414554217505597,19,Discovery
2021-09-21,101.92737065065178,107.70904871888185,-0.017384079155958188,-0.01049990400466072,19,Discovery
2021-09-22,102.03816951910348,108.02793201480195,-0.016315938857065504,-0.007570391065151116,19,Discovery
2021-09-23,102.44450825644951,109.57658784063764,-0.012398689643011274,0.0,19,Discovery
2021-09-24,102.085266981064,109.47930141137388,-0.015861902657972604,-0.0008878395575270259,19,Discovery
2021-09-27,101.91661251206656,109.45840284508756,-0.01748779141876844,-0.001078560647662652,19,Discovery
2021-09-28,101.85523154594077,108.78496456251735,-0.018079525652340722,-0.007224383362544384,19,Discovery
2021-09-29,102.60046916366714,108.72262918376687,-0.010895171309485474,-0.007793258338293141,19,Discovery
