label,n_q5,n_q1,q5_pct,q1_pct,spread_pct,t_stat,p_val,folds_total,folds_pos,fold_pos_pct,best_fold,worst_fold,spread_ex_best_pct,inversions,monotonic_ok,dispersion_pct,Q1,Q2,Q3,Q4,Q5
Primary 60d (all),1427,1503,1.4148459221746694,-1.5953365040616556,3.010182426236325,5.29476207538392,1.2828658826792203e-07,20,17,85.0,2021Q3 (+10.90%),2022Q4 (-2.77%),3.0570657138904047,0,True,15.476679915076566,-1.595,-0.253,-0.144,0.853,1.415
Discovery 60d,635,709,1.7005463810759502,-1.7284882964360857,3.4290346775120355,3.8380535135917335,0.00013057945232171407,10,8,80.0,2021Q3 (+10.90%),2022Q4 (-2.77%),3.4967031270015685,0,True,16.470018596212668,-1.728,-0.704,-0.198,1.596,1.701
Holdout 60d,792,794,1.1857805289899308,-1.4764389967650928,2.662219525755024,3.6216267832876334,0.00030198286921352484,10,9,90.0,2024Q1 (+6.85%),2024Q3 (-0.15%),2.1958327655919834,1,True,14.618068618887905,-1.476,0.13,-0.103,0.285,1.186
Horizon 5d,1535,1573,0.46162535988725895,-0.15235550686281532,0.6139808667500742,3.1645578864532276,0.001568737700542794,21,14,66.66666666666666,2023Q4 (+3.09%),2026Q3 (-0.40%),0.5267104845006986,1,True,5.351159255317236,-0.152,-0.182,-0.176,0.033,0.462
Horizon 10d,1535,1573,0.7178185975363728,-0.29966205845358584,1.0174806559899587,4.282275885178324,1.9071212615504407e-05,21,18,85.71428571428571,2023Q4 (+3.26%),2022Q4 (-0.92%),0.9782265430360318,0,True,6.634347968940616,-0.3,-0.246,-0.104,0.027,0.718
Horizon 20d,1535,1573,1.0817845820196008,-0.5755083601017432,1.657292942121344,5.153816912233537,2.7144631682331744e-07,21,18,85.71428571428571,2023Q4 (+4.69%),2022Q4 (-2.88%),1.5702391515872105,0,True,8.910423657026092,-0.576,-0.31,-0.204,0.161,1.082
Horizon 30d,1508,1543,0.8607723664271837,-0.6021927701985277,1.4629651366257113,3.8159220536275344,0.00013842795255329584,21,17,80.95238095238095,2022Q1 (+6.94%),2022Q4 (-3.23%),1.2498610162475559,0,True,10.54295717360716,-0.602,-0.541,-0.056,0.407,0.861
Horizon 40d,1450,1510,1.0678268600356677,-0.7563257534234589,1.8241526134591266,3.9861469486188477,6.883349555126357e-05,21,16,76.19047619047619,2022Q1 (+10.04%),2026Q3 (-5.10%),1.2607460105496038,0,True,12.183923355090247,-0.756,-0.551,-0.136,0.552,1.068
Horizon 90d,1377,1438,1.8996267620669478,-2.0252132783769357,3.9248400404438835,5.204212922529782,2.0935774928371035e-07,20,17,85.0,2021Q4 (+13.94%),2022Q4 (-2.64%),3.973672274936755,1,True,20.089734758282027,-2.025,-0.457,-0.478,1.193,1.9
Horizon 126d,1313,1412,1.3722690068971244,-2.4874301300403117,3.859699136937436,4.100755396063225,4.242228013188692e-05,19,16,84.21052631578947,2021Q3 (+12.26%),2022Q4 (-3.11%),3.800136180374584,1,True,25.25558563452004,-2.487,-0.21,0.052,1.452,1.372
Non-Financials 60d,1114,1403,1.4836426550074076,-1.9594424416305007,3.443085096637908,5.5265326884393655,3.653321511877796e-08,20,17,85.0,2021Q3 (+10.71%),2022Q4 (-3.05%),3.5126845148636696,0,True,15.364234575148053,-1.959,-0.334,-0.201,0.787,1.484
Financials 60d,313,100,1.1699910966932954,3.513069800029242,-2.343078703335947,-1.3052797967352476,0.19359791093195325,17,9,52.94117647058824,2022Q3 (+13.44%),2024Q3 (-28.15%),-2.4415901212047055,3,False,16.284748131838082,3.513,0.958,0.433,1.31,1.17
Size Small 60d,358,595,1.3769866899697323,-2.8702101496870824,4.247196839656815,4.222424941494212,2.7411364485574578e-05,20,19,95.0,2022Q3 (+13.39%),2024Q4 (-3.26%),4.057227888842657,0,True,15.615728874351067,-2.87,-1.753,-0.085,0.793,1.377
Size Mid 60d,483,504,1.7130431546385911,-0.5117249849208906,2.2247681395594814,2.081790028235891,0.0376257187967133,20,13,65.0,2021Q3 (+18.14%),2023Q3 (-9.58%),1.7748899809872611,1,True,16.081908991084926,-0.512,1.765,-0.491,1.514,1.713
Size Large 60d,586,404,1.1921912154328502,-1.0695701340116965,2.2617613494445465,2.5106479267731503,0.012214282559016871,19,14,73.68421052631578,2024Q1 (+10.76%),2022Q4 (-8.45%),2.299999794875606,0,True,14.67258310857602,-1.07,-0.538,0.122,0.322,1.192
KT2 ex-2021,1373,1399,1.3286461283926838,-1.5469292200070277,2.8755753483997113,4.948390867229358,7.938491780358208e-07,18,15,83.33333333333334,2022Q1 (+8.52%),2022Q4 (-2.77%),2.5251395835039108,0,True,15.406743012985913,-1.547,-0.34,-0.218,0.837,1.329
KT3 Mid+Large only,1069,908,1.4275246921740778,-0.7599292142520422,2.18745390642612,3.1340450619132567,0.0017494961765052702,20,17,85.0,2021Q3 (+11.93%),2022Q4 (-7.01%),2.09080631577747,1,True,15.390835717134543,-0.76,0.698,-0.173,0.881,1.428
KT4 ex-Layer-4-seen,1395,1476,1.418969826594037,-1.6307054141595403,3.049675240753577,5.329609421864169,1.0634336438109366e-07,20,17,85.0,2021Q3 (+10.90%),2022Q4 (-2.88%),3.0977205469457934,0,True,15.454807826150999,-1.631,-0.319,-0.107,0.887,1.419
KT6 8Q window,1412,1513,1.4769971163104163,-1.4356729180382695,2.9126700343486855,5.095062212138169,3.7179856706588463e-07,19,16,84.21052631578947,2022Q1 (+8.52%),2022Q4 (-2.19%),2.748359298611002,0,True,15.439417215660567,-1.436,-0.482,-0.228,0.838,1.477
