,strategy,nifty500,excess
2021Q3,0.02596575194852524,0.0847544958941524,-0.058788743945627164
2021Q4,0.0445282115827923,-0.0037501702358055944,0.04827838181859789
2022Q1,0.07761890834034402,-0.00678171803523564,0.08440062637557966
2022Q2,-0.12776066529158048,-0.1011749303434154,-0.026585734948165074
2022Q3,0.15982161695106223,0.1076970767616181,0.052124540189444124
2022Q4,-0.026118961111486816,0.041775263244848926,-0.06789422435633574
2023Q1,-0.04027380490112753,-0.05767419581392785,0.017400390912800323
2023Q2,0.13593676598012205,0.1286007205734363,0.007336045406685754
2023Q3,0.1044493932994528,0.05250152160681676,0.05194787169263604
2023Q4,0.16862494856196775,0.12355284919560994,0.04507209936635781
2024Q1,0.07377196002138064,0.04251343985712186,0.031258520164258785
2024Q2,0.18705064520049342,0.11377600264624044,0.07327464255425298
2024Q3,0.0521476068813449,0.07471287295487095,-0.022565266073526047
2024Q4,-0.04334830868346329,-0.07712041971194294,0.03377211102847966
2025Q1,-0.12373051730167806,-0.04629414446222202,-0.07743637283945604
2025Q2,0.09231669126973285,0.10673374087082443,-0.01441704960109158
2025Q3,-0.007690360856128398,-0.03739223955422333,0.02970187869809493
2025Q4,0.021082161086210638,0.050032770155845174,-0.028950609069634536
2026Q1,-0.1201193951068712,-0.1400621241603499,0.019942729053478714
2026Q2,0.22244557901604378,0.1202062543690221,0.10223932464702168
2026Q3,0.029970903257452886,0.029809985801662497,0.00016091745579038808
