date,strategy_12m,nifty500_12m,excess_12m
2022-08-17,0.12626573986523226,0.10827619256947862,0.01798954729575364
2022-08-18,0.12996983061907597,0.10253758423126325,0.02743224638781272
2022-08-19,0.11216825991967716,0.08327941814252093,0.028888841777156227
2022-08-22,0.10816037013670599,0.06616183870142422,0.04199853143528176
2022-08-23,0.11776907056109964,0.06925480581870747,0.04851426474239218
2022-08-24,0.12808600221642785,0.07412623132832707,0.05395977088810078
2022-08-25,0.1450536187965834,0.08295353899002778,0.06210007980655563
2022-08-26,0.16468662800715572,0.08736194909748729,0.07732467890966843
2022-08-29,0.1456663782134726,0.06467210637654874,0.08099427183692387
2022-08-30,0.16043127909574895,0.08737653970596582,0.07305473938978313
2022-09-01,0.16445690722581996,0.07827701948330423,0.08617988774251573
2022-09-02,0.16772562712788153,0.07110093359168568,0.09662469353619585
2022-09-05,0.1607101747627777,0.06226602490640998,0.09844414985636774
2022-09-06,0.16065083026102656,0.052016708001566325,0.10863412225946023
2022-09-07,0.17908088734241123,0.05278204427767874,0.1262988430647325
2022-09-08,0.17257630588669537,0.0515072168669366,0.12106908901975877
2022-09-09,0.17207889123145814,0.04797653005223834,0.1241023611792198
2022-09-12,0.179325265722025,0.05211115876494765,0.12721410695707736
2022-09-13,0.18343278598788526,0.05990158445643168,0.12353120153145358
2022-09-14,0.18288852883650875,0.05587154475938294,0.1270169840771258
2022-09-15,0.18287799637754043,0.05014002675842266,0.13273796961911777
2022-09-16,0.15905112361815354,0.02637656374139863,0.13267455987675492
2022-09-19,0.1519826929774728,0.02611318172211452,0.12586951125535828
2022-09-20,0.15599098986610516,0.029945641138307222,0.12604534872779793
2022-09-21,0.14643950185630916,0.016971313944481592,0.12946818791182757
2022-09-22,0.17580264270307366,0.020499426042689173,0.1553032166603845
2022-09-23,0.17227456365822835,0.015573203837658367,0.15670135982056999
2022-09-26,0.1280915046704192,-0.01475950569706208,0.14285101036748127
2022-09-27,0.13171556893310732,-0.017561063469986093,0.1492766324030934
2022-09-28,0.12398940074402232,-0.038463182608867275,0.1624525833528896
2022-09-29,0.1289323887853837,-0.03880015402894299,0.1677325428143267
2022-09-30,0.14630484403748945,-0.023681533736474525,0.16998637777396397
2022-10-03,0.14175323658508465,-0.030280346591059715,0.17203358317614437
2022-10-04,0.15024455332303432,-0.008030118745008252,0.15827467206804258
2022-10-06,0.1646725762102732,2.6573394053430732e-05,0.16464600281621977
2022-10-07,0.16840470373375194,0.001515257477212817,0.16688944625653912
2022-10-10,0.14581956725381118,-0.015117431815112825,0.160936999068924
2022-10-11,0.1287651079931007,-0.036531174534198074,0.16529628252729878
2022-10-12,0.143601709350762,-0.020126135233620945,0.16372784458438294
2022-10-13,0.13318249801084114,-0.03661507571868161,0.16979757372952275
2022-10-14,0.12629874135294306,-0.035801681722333556,0.1621004230752766
2022-10-17,0.11923505158582026,-0.033824863883847534,0.1530599154696678
