metric,Full Period,Discovery,Holdout,Discovery (calendar split of full book),Holdout (calendar split of full book)
start,2021-08-11,2021-08-11,2024-01-17,2021-08-11,2023-12-29
end,2026-08-11,2024-02-13,2026-08-11,2023-12-29,2026-08-11
years,4.999315537303217,2.507871321013005,2.565366187542779,2.3819301848049284,2.617385352498289
total_return,1.2067732525179604,0.6859880849043651,0.2388798780226229,0.6009342571713423,0.3784284036853971
cagr,0.1715503419846145,0.23156402415455113,0.08708503330676232,0.2184329421634572,0.1304548616844894
bench_total_return,0.7065589069329195,0.4256353344311088,0.21519068535889496,0.4001426867629203,0.21884642405869537
bench_cagr,0.11283458101792565,0.15188740363196263,0.07893446952353678,0.1517737128977683,0.07854365365720839
excess_cagr,0.058715760966688846,0.0796766205225885,0.00815056378322554,0.0666592292656889,0.051911208027281
vol,0.16071962217461364,0.14845989170631596,0.16698792789217248,0.14962272473290011,0.17029732397561922
bench_vol,0.14477535955881,0.14061414738860603,0.14890391028862685,0.14098619481356572,0.1482280847925961
sharpe_rf0,1.0827253289776209,1.500554904646832,0.5929896381396944,1.4166589439723618,0.818592789058884
sharpe_rf6,0.7201333536297269,1.1080202974093332,0.24400845119371278,1.0271750244307851,0.47639337029524315
bench_sharpe_rf0,0.8236498225396304,1.092487004903564,0.5941620373564057,1.0888563894064158,0.5936063196355078
bench_sharpe_rf6,0.42112521159029365,0.6780504324553608,0.20279793436876656,0.6755134705587824,0.20045784603146127
sortino_rf0,1.4756578349341505,2.051554407908851,0.8011546181209438,1.9326267164918924,1.115485385333213
max_dd,-0.23675277740943423,-0.1928155120173246,-0.24950465383800235,-0.1928155120173246,-0.23675277740943423
bench_max_dd,-0.18843200568235163,-0.18477730601813525,-0.18843200568235163,-0.18477730601813525,-0.18843200568235163
calmar,0.7245969566301632,1.2009615913772795,0.3490316992776601,1.1328597988725662,0.5510172387920251
avg_dd_episode,-0.027338900528555043,-0.02019436690844784,-0.03375537758396949,-0.021551463422531215,-0.03726022128173875
longest_dd_sessions,423,184,431,184,423
var95_daily,0.01614547283808875,0.014830712751697422,0.01685554354643699,0.014895875965146299,0.01725833799997852
cvar95_daily,0.02529498370813876,0.023651239095852584,0.025994509723443224,0.023824639902532783,0.026133471550614847
skew_daily,-0.8465123519718742,-0.868218473143576,-0.8079823072532151,-0.8503121724210891,-0.8274278228677732
excess_kurt_daily,4.362905234177648,3.9249456510962,4.501624517043147,3.88955575579899,4.4270543715679604
beta,0.9457301606129028,0.873032714696324,0.9784398834945691,0.8796223745311633,1.0002074403324797
trades,567,277,296,,
win_rate,0.5837742504409171,0.592057761732852,0.5641891891891891,,
profit_factor,2.092806280004959,2.670276034387417,1.5129574577441387,,
avg_trade_net,0.04608493701682028,0.062456470885977576,0.02405323563817399,,
avg_win,0.15118193901267296,0.16864802900579906,0.1257459811719927,,
avg_loss,-0.10131806154515952,-0.09166225063305537,-0.10759551245599439,,
payoff,1.4921519096107865,1.8398853163766957,1.1686916889161312,,
best_trade,0.6712327629444538,0.6712327629444538,0.6661617610072531,,
worst_trade,-0.5868499673352712,-0.31865708434340534,-0.5868499673352712,,
avg_holding_sessions,60.0,60.0,60.0,,
mean_trade_xs_univ_60d,0.010602259425205186,0.003391504058559506,0.010788755384832371,,
mean_trade_xs_nifty,0.02294235276695749,0.02921307269920575,0.010525723046328568,,
turnover_one_way,3.8142462938595525,3.7094261983079706,3.857192700099427,,
median_adv20_cr,48.739937341290286,33.07279102043457,80.6347386762497,,
p10_adv20_cr,5.42586955059967,4.156929863140259,8.144974952120972,,
capacity_1pct_90fit_cr,1.627760865179901,1.2470789589420777,2.4434924856362916,,
capacity_5pct_90fit_cr,8.138804325899507,6.2353947947103885,12.217462428181458,,
capacity_1pct_50fit_cr,14.621981202387085,9.921837306130373,24.190421602874906,,
