Date,Open,Close,Volume
2026-07-24,22805.55078125,22913.30078125,19268400
2026-07-27,23070.599609375,23153.099609375,20456100
2026-07-28,23146.650390625,23114.900390625,23466600
2026-07-29,23261.05078125,23352.599609375,26344200
2026-07-30,23347.19921875,23353.55078125,22539900
2026-07-31,23409.849609375,23460.69921875,25708900
2026-08-03,23619.150390625,23802.849609375,24262300
2026-08-04,23771.44921875,23690.150390625,20581300
2026-08-05,23779.349609375,23735.55078125,22699900
2026-08-06,23756.150390625,23729.44921875,19628000
2026-08-07,23665.599609375,23712.099609375,18415000
2026-08-10,23732.75,23743.19921875,20329600
2026-08-11,23755.400390625,23681.150390625,22201700
2026-08-12,23689.55078125,23672.44921875,25692500
2026-08-13,23678.69921875,23658.099609375,19969600
2026-08-14,23635.650390625,23594.900390625,22878000
2026-08-17,23581.75,23564.44921875,18372000
2026-08-18,23521.849609375,23472.400390625,22760300
2026-08-19,23475.349609375,23386.19921875,17992000
2026-08-20,23519.80078125,23512.94921875,17210300
2026-08-21,23554.150390625,23530.30078125,16957200
2026-08-24,23560.599609375,23511.75,19575700
2026-08-25,23483.94921875,23611.599609375,32103200
2026-08-26,23641.349609375,23559.19921875,24534900
2026-08-27,23615.650390625,23482.0,20716300
2026-08-28,23513.05078125,23528.55078125,21414400
2026-08-31,23477.75,23450.349609375,34928600
2026-09-01,23429.650390625,23339.900390625,20107000
2026-09-02,23176.94921875,23222.80078125,24944200
2026-09-03,23300.75,23254.05078125,19796000
2026-09-04,23286.5,23254.150390625,26231400
2026-09-07,23248.05078125,23156.19921875,22119800
2026-09-08,23142.44921875,23106.099609375,19028300
2026-09-09,23015.80078125,22958.75,23333100
2026-09-10,22966.650390625,22952.349609375,25678000
2026-09-11,22774.05078125,22866.5,25845300
2026-09-15,22998.44921875,22477.44921875,22013300
2026-09-16,22526.55078125,22532.0,22253800
2026-09-17,22518.75,22654.650390625,16490000
2026-09-18,22709.69921875,22840.55078125,25983800
2026-09-21,22823.400390625,22860.05078125,21672200
2026-09-23,22824.599609375,22910.44921875,0
