feature,n_disc,n_hold,disc_effect,disc_p,hold_effect,hold_p,hold_folds,hold_fold_pos,disc_q,status
theme_positive_guidance,223,349,0.23747975522726328,0.7570335803058721,1.1330945191822523,0.06399463339516931,11,0.6363636363636364,0.8327369383364592,not established
theme_negative_caution,223,349,-1.0001355574428197,0.19179055844971837,-0.5178772953867293,0.3981676218451424,11,0.45454545454545453,0.7032320476489673,not established
theme_hedging_evasion,223,349,-0.8408109811431718,0.2727540373224935,-0.7477784576698767,0.22221665967616389,11,0.36363636363636365,0.7500736026368571,not established
theme_capital_actions,223,349,1.9718155842773408,0.009654396104835872,0.9256727849991856,0.13055671439735517,11,0.7272727272727273,0.10619835715319459,not established
lm_negative,223,349,0.027788149257351687,0.971124987606202,-1.222112230492799,0.04565824575123534,11,0.18181818181818182,0.971124987606202,not established
lm_positive,223,349,-1.2244245475874387,0.10969491992291314,0.9048595746286874,0.1394593232931849,11,0.6363636363636364,0.6033220595760223,not established
lm_uncertainty,223,349,-0.5015459286398954,0.5133454756706086,-0.3298160570671706,0.5906331009858503,11,0.36363636363636365,0.7879991946025114,not established
lm_litigious,223,349,0.4324403713050021,0.573090323347281,-0.3874205214926455,0.5274393272954998,11,0.45454545454545453,0.7879991946025114,not established
lm_constraining,223,349,0.4467640858491227,0.5604419802781986,1.202422633029454,0.04928023608811061,11,0.8181818181818182,0.7879991946025114,not established
lm_strong_modal,223,349,0.4644823185502632,0.5449844705195588,0.8791454359637874,0.15109207581286954,11,0.7272727272727273,0.7879991946025114,not established
lm_weak_modal,223,349,-0.2937518460305666,0.7019352601217614,-0.42444658108664113,0.48871591048701557,11,0.5454545454545454,0.8327369383364592,not established
