symbol,event_date,entry_date,entry_open,event_src,ret_5d,xs_nifty_5d,ret_10d,xs_nifty_10d,ret_30d,xs_nifty_30d,ret_6m,xs_nifty_6m,ym,xs_univ_5d,xs_univ_10d,xs_univ_30d,xs_univ_6m,period,company,industry,filing_date,call_date,url,engine,split,n_words,mood_remarks,mood_qna,mood_all,n_sent_rem,n_sent_qa,rem_lm_negative,rem_lm_negative_p1k,rem_lm_positive,rem_lm_positive_p1k,rem_lm_uncertainty,rem_lm_uncertainty_p1k,rem_lm_litigious,rem_lm_litigious_p1k,rem_lm_constraining,rem_lm_constraining_p1k,rem_lm_strong_modal,rem_lm_strong_modal_p1k,rem_lm_weak_modal,rem_lm_weak_modal_p1k,rem_th_positive_guidance,rem_th_positive_guidance_p1k,rem_th_negative_caution,rem_th_negative_caution_p1k,rem_th_hedging_evasion,rem_th_hedging_evasion_p1k,rem_th_capital_actions,rem_th_capital_actions_p1k,rem_n_words,qa_lm_negative,qa_lm_negative_p1k,qa_lm_positive,qa_lm_positive_p1k,qa_lm_uncertainty,qa_lm_uncertainty_p1k,qa_lm_litigious,qa_lm_litigious_p1k,qa_lm_constraining,qa_lm_constraining_p1k,qa_lm_strong_modal,qa_lm_strong_modal_p1k,qa_lm_weak_modal,qa_lm_weak_modal_p1k,qa_th_positive_guidance,qa_th_positive_guidance_p1k,qa_th_negative_caution,qa_th_negative_caution_p1k,qa_th_hedging_evasion,qa_th_hedging_evasion_p1k,qa_th_capital_actions,qa_th_capital_actions_p1k,qa_n_words,sdate,surprise
SHK,2021-06-03,2021-06-04,154.71409239841677,filing_date,-0.038509178423797086,-0.05119779040387773,0.07826101350010406,0.07880977077020468,0.043167811855517435,0.017152237601566034,-0.06761244546995449,-0.1751688704096659,2021-06,-0.0695045380888515,0.03110045178793911,-0.005262967492767334,-0.13434042098326454,discovery,S H Kelkar and Company Limited,,2021-06-03,,https://nsearchives.nseindia.com/corporate/SHK_03062021152855_SHKConcallTranscriptFinal.pdf,pymupdf,whole,8970,0.32,,0.32,25,0,34,3.861442362294151,159,18.05792163543441,83,9.426462237365133,7,0.7950028392958546,15,1.7035775127768311,89,10.107893242475866,42,4.770017035775128,6,0.6814310051107325,6,0.6814310051107325,0,0.0,11,1.249290176036343,8805,,,,,,,,,,,,,,,,,,,,,,,,,
ALKYLAMINE,2021-06-05,2021-06-07,3563.7971614960124,filing_date,-0.02327388399837249,-0.02880073373111769,-0.0267121879796256,-0.024965109976858524,0.013323193398738775,0.0029223298748342064,-0.10602205728507341,-0.22424471143410551,2021-06,-0.054269243663426905,-0.07387274969179056,-0.035107585949545994,-0.17275003279838347,discovery,Alkyl Amines Chemicals Limited,Chemicals - Speciality,2021-06-05,,https://nsearchives.nseindia.com/corporate/ALKYLAMINE_05062021004310_Finaltranscript.pdf,pymupdf,split,8624,0.04,0.04,0.04,25,25,3,3.7267080745341614,7,8.695652173913043,6,7.453416149068323,5,6.211180124223603,16,19.875776397515526,8,9.937888198757763,5,6.211180124223603,0,0.0,0,0.0,0,0.0,0,0.0,805,34.0,4.453759496987162,61.0,7.9905685093004974,108.0,14.14723604925334,0.0,0.0,42.0,5.501702908042966,72.0,9.431490699502229,70.0,9.169504846738276,3.0,0.3929787791459261,1.0,0.1309929263819753,1.0,0.1309929263819753,10.0,1.3099292638197535,7634.0,2021-05-28,1.1347160889261103
ADFFOODS,2021-06-10,2021-06-11,192.1462755742945,filing_date,-0.04980110382371927,-0.036729593891067336,-0.0673134349327219,-0.06551084938363361,-0.07208969127920106,-0.08029163984100318,-0.17012837820344362,-0.2791977058648377,2021-06,-0.08079646348877369,-0.11447399664488686,-0.12052047062748583,-0.23685635371675368,discovery,ADF Foods Limited,Food And Food Processing,2021-06-10,,https://nsearchives.nseindia.com/corporate/ADFFOODS_10062021161026_EarningsCallTranscript10062021.pdf,pymupdf,split,8850,0.04,0.2,0.12,25,25,0,0.0,3,6.593406593406593,4,8.791208791208792,2,4.395604395604396,11,24.17582417582417,3,6.593406593406593,4,8.791208791208792,0,0.0,0,0.0,0,0.0,0,0.0,455,14.0,1.7167381974248928,69.0,8.461066830165542,47.0,5.763335377069283,3.0,0.3678724708767627,25.0,3.065603923973023,105.0,12.875536480686696,33.0,4.04659717964439,2.0,0.2452483139178418,1.0,0.1226241569589209,0.0,0.0,17.0,2.0846106683016554,8155.0,,
SALZERELEC,2021-06-18,2021-06-21,140.72359447379037,filing_date,0.07523192300786663,0.06951332698078616,0.11714199230190792,0.10750695689045897,0.24252847416204526,0.20662654120970392,0.28841925945582503,0.20045543635700747,2021-06,0.044236563342812216,0.06998143058974296,0.1940976948137605,0.22169128394251497,discovery,Salzer Electronics Limited,,2021-06-18,,https://nsearchives.nseindia.com/corporate/SALZERELEC_18062021114602_Q4FY21EarningCallTranscript.pdf,pymupdf,split,7595,0.28,0.04,0.16,25,25,13,8.632138114209827,36,23.90438247011952,4,2.6560424966799467,0,0.0,8,5.3120849933598935,9,5.9760956175298805,3,1.99203187250996,3,1.99203187250996,1,0.6640106241699867,0,0.0,1,0.6640106241699867,1506,34.0,5.748098055790363,59.0,9.974640743871513,25.0,4.22654268808115,3.0,0.5071851225697379,15.0,2.53592561284869,59.0,9.974640743871513,20.0,3.38123415046492,2.0,0.3381234150464919,1.0,0.1690617075232459,0.0,0.0,7.0,1.183431952662722,5915.0,,
TRF,2021-06-23,2021-06-24,124.9499969482422,filing_date,0.1952781892854354,0.1963288083339383,0.08603441586679628,0.08124908740912717,-0.08723484724052843,-0.12334941297846758,0.07603041402181998,-0.01747468129494356,2021-06,0.16428282962038096,0.03887385415463133,-0.1356656265888132,0.009302438508509925,discovery,TRF Limited,Engineering,2021-06-23,,https://nsearchives.nseindia.com/corporate/TRF_23062021165222_Investor_Meet_Transcripts.pdf,pymupdf,split,8029,0.0,0.08,0.04,25,25,29,20.5819730305181,19,13.4847409510291,8,5.6777856635912,6,4.258339247693399,14,9.9361249112846,7,4.9680624556423,2,1.4194464158978,0,0.0,0,0.0,0,0.0,0,0.0,1409,48.0,7.455731593662628,74.0,11.494252873563218,87.0,13.513513513513514,2.0,0.3106554830692761,22.0,3.417210313762038,73.0,11.33892513202858,54.0,8.387698042870456,4.0,0.6213109661385523,2.0,0.3106554830692761,4.0,0.6213109661385523,1.0,0.155327741534638,6438.0,,
TALBROAUTO,2021-06-23,2021-06-24,54.91581627910239,filing_date,0.027046211942913345,0.028096830991416244,0.09555157151652893,0.09076624305885983,0.15088973519313664,0.1147751694551975,0.37968106056068684,0.2861759652439233,2021-06,-0.003949147722141073,0.048391009804363984,0.10245895584485187,0.3129530850473768,discovery,Talbros Automotive Components Limited,Auto Ancillaries,2021-06-23,,https://nsearchives.nseindia.com/corporate/TALBROAUTO_23062021153541_TalbrosQ4FY21Transcript.pdf,pymupdf,split,9305,0.04,0.24,0.14,25,25,16,9.55794504181601,29,17.323775388291516,10,5.973715651135006,0,0.0,9,5.376344086021505,10,5.973715651135006,6,3.584229390681004,0,0.0,3,1.7921146953405018,1,0.5973715651135006,0,0.0,1674,36.0,4.83156623272044,96.0,12.88417662058784,49.0,6.576298483425044,0.0,0.0,29.0,3.892095020802577,108.0,14.49469869816132,30.0,4.0263051939337,8.0,1.0736813850489868,1.0,0.1342101731311233,4.0,0.5368406925244934,17.0,2.2815729432290968,7451.0,,
NEWGEN,2021-07-01,2021-07-02,302.9857015417894,call_date,0.10971753594848654,0.10723503388282252,0.10372432595754155,0.08535381067162784,-0.06568321936110877,-0.10839337057142107,-0.08233068914873609,-0.2175196001454791,2021-07,0.03695473725024678,0.028482067866707372,-0.15092272103617466,-0.30507994134595795,discovery,Newgen Software Technologies Limited,,2021-07-01,2021-07-01,https://nsearchives.nseindia.com/corporate/NEWGEN_01072021130836_TRANSCRIPTINVESTOREARNINGCALLQ421.pdf,pymupdf,split,8818,0.48,0.08,0.28,25,25,6,2.588438308886972,41,17.687661777394304,18,7.765314926660914,1,0.4314063848144953,21,9.0595340811044,5,2.157031924072476,12,5.176876617773943,0,0.0,0,0.0,0,0.0,0,0.0,2318,25.0,3.9488232506713,87.0,13.741904912336125,66.0,10.424893381772232,5.0,0.78976465013426,15.0,2.36929395040278,39.0,6.160164271047228,48.0,7.581740641288896,2.0,0.3159058600537039,2.0,0.3159058600537039,1.0,0.1579529300268519,2.0,0.3159058600537039,6331.0,,
FIEMIND,2021-07-03,2021-07-05,348.26466889842044,filing_date,0.03580806144799298,0.03851310165556343,0.04676019022412681,0.04425020733764651,0.23616222271124054,0.197345815814308,0.5278291935431798,0.3945535186632505,2021-07,-0.03695473725024678,-0.028482067866707372,0.15092272103617466,0.30507994134595795,discovery,Fiem Industries Limited,Auto Ancillaries,2021-07-03,,https://nsearchives.nseindia.com/corporate/FIEMIND_03072021162609_FIEMINDTranscript030721NSE.pdf,pymupdf,split,5714,0.04,0.12,0.08,25,25,1,2.375296912114014,3,7.1258907363420425,4,9.501187648456057,0,0.0,9,21.377672209026127,4,9.501187648456057,1,2.375296912114014,0,0.0,0,0.0,1,2.375296912114014,0,0.0,421,26.0,4.977982002680452,62.0,11.870572467930309,33.0,6.318207926479035,0.0,0.0,22.0,4.21213861765269,58.0,11.104729082902546,20.0,3.829216925138809,0.0,0.0,1.0,0.1914608462569404,0.0,0.0,4.0,0.7658433850277618,5223.0,,
HERITGFOOD,2021-08-02,2021-08-03,242.7004512058141,filing_date,-0.027482415585577402,-0.02415008661404383,-0.04764296670612855,-0.0601185750624188,-0.06930795492872255,-0.15293542278914485,-0.24644915232475895,-0.3323005641704888,2021-08,-0.010712884003249337,-0.03983117801437233,-0.10072367647067296,-0.25851081820135347,discovery,Heritage Foods Limited,Food And Food Processing,2021-08-02,,https://nsearchives.nseindia.com/corporate/HERITGFOOD_02082021153959_Q1_Concall_Transcript.pdf,pymupdf,split,7211,0.16,-0.04,0.06,25,25,3,2.3696682464454977,21,16.587677725118482,4,3.1595576619273302,0,0.0,11,8.688783570300158,2,1.5797788309636651,3,2.3696682464454977,0,0.0,0,0.0,0,0.0,0,0.0,1266,21.0,3.644567858382506,47.0,8.156889968760847,39.0,6.768483165567512,3.0,0.5206525511975009,25.0,4.338771259979174,58.0,10.065949323151685,23.0,3.99166955918084,0.0,0.0,1.0,0.1735508503991669,1.0,0.1735508503991669,0.0,0.0,5762.0,2021-07-28,-0.1265477939251047
KANSAINER,2021-08-04,2021-08-05,398.6553352845254,filing_date,-0.007539538080570729,-0.006852918928903051,-0.0071427727712366496,-0.004453514427204763,-0.02365075114219417,-0.08410184562027423,-0.14997698275968918,-0.2135643532586683,2021-08,0.009229993501757336,0.0006690159205195723,-0.05506647268414458,-0.16203864863628373,discovery,Kansai Nerolac Paints Limited,Paints,2021-08-04,,https://nsearchives.nseindia.com/corporate/KANSAINER_04082021143252_SEIntimationConcallTranscript.pdf,pymupdf,split,9418,0.08,0.08,0.08,25,25,0,0.0,11,22.86902286902287,0,0.0,2,4.158004158004158,10,20.79002079002079,3,6.237006237006237,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,481,46.0,5.236198064883324,140.0,15.93625498007968,54.0,6.146841206602163,1.0,0.1138303927148548,26.0,2.9595902105862266,77.0,8.764940239043824,38.0,4.325554923164485,0.0,0.0,3.0,0.3414911781445646,1.0,0.1138303927148548,0.0,0.0,8785.0,2021-07-30,4.278983436305895
LALPATHLAB,2021-08-11,2021-08-12,1839.5857377485795,filing_date,0.008798914149983128,0.010802929337555334,0.00161113599517404,-0.014174062205506655,-0.005799006145609464,-0.09290925203111566,-0.2933184270256004,-0.323983437994005,2021-08,0.025568445732311193,0.009422924686930262,-0.03721472768755987,-0.3053800929021949,discovery,Dr. Lal Path Labs Ltd.,,2021-08-11,,https://nsearchives.nseindia.com/corporate/LALPATHLAB_11082021100527_TRANSCRIPT.pdf,pymupdf,split,11686,0.16,0.2,0.18,25,25,14,5.77319587628866,40,16.49484536082474,13,5.360824742268041,2,0.8247422680412371,6,2.4742268041237114,13,5.360824742268041,7,2.88659793814433,1,0.4123711340206185,0,0.0,0,0.0,0,0.0,2425,22.0,2.4070021881838075,78.0,8.533916849015318,93.0,10.175054704595183,1.0,0.1094091903719912,8.0,0.87527352297593,95.0,10.393873085339168,61.0,6.673960612691466,4.0,0.437636761487965,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,2021-07-30,4.766392880835145
CENTURYPLY,2021-08-17,2021-08-18,407.8171968716122,call_date,-0.04466026352653829,-0.04546902941364461,-0.03156385066365963,-0.07333589928893514,0.15557719322303698,0.09042187824774328,0.4594072817045036,0.4157658487699958,2021-08,-0.027890731944210226,-0.02375206197190341,0.12416147168108657,0.4473456158279091,discovery,Century Plyboards (India) Limited,Construction,2021-08-17,2021-08-17,https://nsearchives.nseindia.com/corporate/CENTURYPLY_17082021122124_Transcript_of_conference_call_11_08_2021.pdf,pymupdf,split,9178,0.28,0.12,0.2,25,25,9,8.317929759704251,21,19.408502772643253,4,3.696857670979667,2,1.8484288354898335,12,11.090573012939002,3,2.7726432532347505,2,1.8484288354898335,0,0.0,0,0.0,0,0.0,1,0.9242144177449167,1082,62.0,7.82630648826054,93.0,11.739459732390811,81.0,10.224690734662964,0.0,0.0,17.0,2.145922746781116,121.0,15.273920727089118,56.0,7.068921989396617,0.0,0.0,4.0,0.5049229992426155,1.0,0.1262307498106538,7.0,0.8836152486745771,7922.0,2021-08-11,0.04663713932279998
HESTERBIO,2021-08-17,2021-08-18,2442.395495176841,filing_date,-0.0738366765852283,-0.07464544247233462,-0.03929777157078185,-0.08106982019605735,-0.012229039680847542,-0.07738435465614124,-0.011947953575482728,-0.05558938650999057,2021-08,-0.057067145002900235,-0.031485982879025626,-0.04364476122279795,-0.024009619452077274,discovery,Hester Biosciences Limited,,2021-08-17,2021-06-30,https://nsearchives.nseindia.com/corporate/HESTERBIO_17082021115237_20210817SubmissionofTranscripts.pdf,pymupdf,split,6575,0.2,0.0,0.1,25,25,9,5.74345883854499,17,10.848755583918315,4,2.5526483726866624,0,0.0,5,3.190810465858328,7,4.46713465220166,4,2.5526483726866624,0,0.0,0,0.0,0,0.0,0,0.0,1567,32.0,6.583007611602551,46.0,9.463073441678668,30.0,6.171569635877392,1.0,0.2057189878625797,4.0,0.8228759514503189,35.0,7.20016457519029,17.0,3.497222793663856,1.0,0.2057189878625797,0.0,0.0,0.0,0.0,4.0,0.8228759514503189,4861.0,,
PAGEIND,2021-08-17,2021-08-18,28891.03191852761,filing_date,-0.010175380092224517,-0.01098414597933084,0.041076737404846186,-0.0006953112204293177,0.04859664230518579,-0.01655867267010791,0.35615599346673643,0.3125145605322286,2021-08,0.0065941514901035475,0.04888852609660241,0.01718092076323538,0.3440943275901419,discovery,Page Industries Limited,Textile Products,2021-08-17,,https://nsearchives.nseindia.com/corporate/PAGEIND_17082021134945_TRANSCRIPTQ1.pdf,pymupdf,whole,9104,0.32,,0.32,25,0,26,2.8684907325684024,144,15.88702559576346,53,5.847308031774051,0,0.0,27,2.9788172992056485,79,8.715798764342454,38,4.192409532215358,0,0.0,0,0.0,1,0.1103265666372462,0,0.0,9064,,,,,,,,,,,,,,,,,,,,,,,,2021-08-12,0.9070267909113572
RBA,2021-08-18,2021-08-20,160.0,filing_date,0.07343750000000004,0.05561256517163371,-0.01843748092651365,-0.07691086902672895,0.015937519073486284,-0.07278913298708467,-0.26687498092651374,-0.31371608405726226,2021-08,0.09020703158232811,-0.010625692234757428,-0.015478202468464125,-0.27893664680310826,discovery,Restaurant Brands Asia Limited,,2021-08-18,,https://nsearchives.nseindia.com/corporate/BURGERKING_18082021183907_SE_InvestorCall_Transcript.pdf,pymupdf,split,9834,0.28,0.16,0.22,25,25,7,1.9011406844106464,70,19.011406844106464,11,2.987506789788158,4,1.0863661053775122,26,7.061379684953829,57,15.480717001629548,7,1.9011406844106464,0,0.0,0,0.0,0,0.0,0,0.0,3682,15.0,2.5159342502515933,52.0,8.72190540087219,39.0,6.541429050654143,3.0,0.5031868500503187,19.0,3.186850050318685,85.0,14.256960751425696,20.0,3.354579000335458,6.0,1.0063737001006374,1.0,0.1677289500167729,5.0,0.8386447500838645,5.0,0.8386447500838645,5962.0,,
