symbol,event_date,entry_date,entry_open,event_src,ret_5d,xs_nifty_5d,ret_10d,xs_nifty_10d,ret_30d,xs_nifty_30d,ret_6m,xs_nifty_6m,ym,xs_univ_5d,xs_univ_10d,xs_univ_30d,xs_univ_6m,period,company,industry,filing_date,call_date,url,engine,split,n_words,mood_remarks,mood_qna,mood_all,n_sent_rem,n_sent_qa,rem_lm_negative,rem_lm_negative_p1k,rem_lm_positive,rem_lm_positive_p1k,rem_lm_uncertainty,rem_lm_uncertainty_p1k,rem_lm_litigious,rem_lm_litigious_p1k,rem_lm_constraining,rem_lm_constraining_p1k,rem_lm_strong_modal,rem_lm_strong_modal_p1k,rem_lm_weak_modal,rem_lm_weak_modal_p1k,rem_th_positive_guidance,rem_th_positive_guidance_p1k,rem_th_negative_caution,rem_th_negative_caution_p1k,rem_th_hedging_evasion,rem_th_hedging_evasion_p1k,rem_th_capital_actions,rem_th_capital_actions_p1k,rem_n_words,qa_lm_negative,qa_lm_negative_p1k,qa_lm_positive,qa_lm_positive_p1k,qa_lm_uncertainty,qa_lm_uncertainty_p1k,qa_lm_litigious,qa_lm_litigious_p1k,qa_lm_constraining,qa_lm_constraining_p1k,qa_lm_strong_modal,qa_lm_strong_modal_p1k,qa_lm_weak_modal,qa_lm_weak_modal_p1k,qa_th_positive_guidance,qa_th_positive_guidance_p1k,qa_th_negative_caution,qa_th_negative_caution_p1k,qa_th_hedging_evasion,qa_th_hedging_evasion_p1k,qa_th_capital_actions,qa_th_capital_actions_p1k,qa_n_words,sdate,surprise
SAGCEM,2021-01-25,2021-01-27,134.95029147178684,call_date,0.009631469107579838,-0.04473203104614831,0.00736204714536437,-0.07111296876875572,0.06153701975929926,-0.03762851740179496,1.0526987794012843,0.8589275876393856,2021-01,0.0,0.0,0.0,0.0,discovery,Sagar Cements Limited,Cement And Cement Products,2021-01-25,2021-01-25,https://nsearchives.nseindia.com/corporate/SAGCEM_25012021171102_SclNsEBsEEarningsConcallTranscript2512021.pdf,pymupdf,whole,9489,0.28,,0.28,25,0,35,3.751339764201501,90,9.646302250803858,92,9.860664523043944,2,0.2143622722400857,11,1.1789924973204715,42,4.501607717041801,53,5.680600214362272,0,0.0,1,0.1071811361200428,1,0.1071811361200428,10,1.0718113612004287,9330,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,2021-02-01,2021-02-02,667.4355786879936,filing_date,0.06986374013112528,0.03825815657482301,0.059152613777238905,0.009875447867629505,0.15962946990335003,0.13750680589156894,0.25615754180790073,0.09840755736387119,2021-02,0.04476980753786623,0.03280741480705829,0.09419576938918532,0.19941081776437333,discovery,Cummins India Limited,Diesel Engines,2021-02-01,,https://nsearchives.nseindia.com/corporate/CUMMINSIND_01022021130405_IntimationSEforTRANSCRIPT29012021.pdf,pymupdf,split,8270,0.1466666666666666,0.1066666666666666,0.1266666666666666,75,75,22,6.565204416592062,51,15.21933751119069,22,6.565204416592062,1,0.2984183825723664,17,5.07311250373023,31,9.25096985974336,9,2.6857654431512983,1,0.2984183825723664,4,1.193673530289466,1,0.2984183825723664,0,0.0,3351,21.0,4.421052631578948,68.0,14.31578947368421,24.0,5.052631578947368,0.0,0.0,15.0,3.1578947368421053,42.0,8.842105263157896,12.0,2.526315789473684,1.0,0.2105263157894736,8.0,1.6842105263157894,1.0,0.2105263157894736,0.0,0.0,4750.0,2021-01-29,0.5337457892804556
INDOSTAR,2021-02-11,2021-02-12,327.6000061035156,call_date,-0.010836441527492302,-0.005260255638640299,0.03601949808645655,0.06217360867481403,-0.041361471483810974,-0.031716068939151576,0.03250913827247959,-0.09436408044591693,2021-02,-0.035930374120751354,0.00967429911627593,-0.10679517199797568,-0.024237585771047808,discovery,IndoStar Capital Finance Limited,,2021-02-11,2021-02-11,https://nsearchives.nseindia.com/corporate/INDOSTAR_11022021202123_Transcript.pdf,pymupdf,split,7259,0.3582089552238806,0.12,0.2323943661971831,67,75,11,5.181347150259067,36,16.957136128120585,5,2.355157795572304,0,0.0,21,9.891662741403676,12,5.652378709373528,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2123,25.0,5.02411575562701,48.0,9.646302250803858,25.0,5.02411575562701,3.0,0.6028938906752411,20.0,4.019292604501608,76.0,15.27331189710611,16.0,3.215434083601286,0.0,0.0,1.0,0.2009646302250803,0.0,0.0,0.0,0.0,4976.0,2021-02-05,
AUROPHARMA,2021-02-25,2021-02-26,824.274799582089,filing_date,0.016254499176144188,-0.013101732455687909,-0.016136514953153602,-0.043124381700818004,0.07803310312295508,0.07341951191012241,-0.11842650794979814,-0.32389960628003944,2021-02,-0.008839433417114868,-0.04248171392333422,0.012599402608790375,-0.17517323199332555,discovery,Aurobindo Pharma Limited,Pharmaceuticals,2021-02-25,,https://nsearchives.nseindia.com/corporate/AUROPHARMA_25022021103150_LtrToSEsEarningCallTranscript25022021.pdf,pymupdf,split,9062,0.04,0.28,0.16,25,25,0,0.0,4,8.928571428571429,0,0.0,0,0.0,11,24.553571428571427,3,6.696428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,448,32.0,3.81952733349248,82.0,9.78753879207448,72.0,8.593936500358081,10.0,1.1936022917164002,23.0,2.74528527094772,82.0,9.78753879207448,45.0,5.3712103127238,1.0,0.11936022917164,6.0,0.71616137502984,0.0,0.0,25.0,2.9840057292910003,8378.0,2021-02-11,
POWERINDIA,2021-03-16,2021-03-17,1301.9484296500923,filing_date,0.06879679629158209,0.07875629271606599,0.0581214090071005,0.04520734314617636,0.37329262514517425,0.37487137172590934,0.8010129082951183,0.5878293597273541,2021-03,0.0,0.0,0.0,0.0,discovery,Hitachi Energy India Limited,,2021-03-16,,https://nsearchives.nseindia.com/corporate/POWERINDIA_16032021193413_APPSILQ4OF2020TRANSCRIPTFORUPLOADING.pdf,pymupdf,split,7500,0.44,0.08,0.26,25,25,15,4.834031582339671,60,19.336126329358684,8,2.578150177247825,1,0.3222687721559781,20,6.445375443119562,20,6.445375443119562,2,0.6445375443119562,1,0.3222687721559781,1,0.3222687721559781,0,0.0,0,0.0,3103,8.0,1.8819101387908728,39.0,9.174311926605505,17.0,3.999059044930605,1.0,0.2352387673488591,8.0,1.8819101387908728,27.0,6.351446718419195,12.0,2.8228652081863093,0.0,0.0,0.0,0.0,1.0,0.2352387673488591,0.0,0.0,4251.0,,
MATRIMONY,2021-05-12,2021-05-14,839.7913505569544,call_date,0.009470177524738554,-0.026265441434302206,0.04086806673110255,-0.010839136918628922,0.08494923273625665,-0.0006214186750879147,0.14196667097622861,-0.10822675998795961,2021-05,-0.004237992545348134,0.0020209572726814784,-0.020532136715188457,0.08850193327340213,discovery,Matrimony.Com Limited,,2021-05-21,2021-05-12,https://nsearchives.nseindia.com/corporate/MATRIMONY_21052021172737_NSECalltranscript.pdf,pymupdf,split,9300,0.24,0.24,0.24,25,25,9,5.9405940594059405,48,31.683168316831683,14,9.24092409240924,5,3.3003300330033003,16,10.56105610561056,8,5.2805280528052805,11,7.260726072607261,0,0.0,1,0.6600660066006601,0,0.0,0,0.0,1515,21.0,2.73972602739726,141.0,18.395303326810176,83.0,10.828440965427268,0.0,0.0,31.0,4.044357469015004,65.0,8.48010437051533,52.0,6.784083496412263,1.0,0.1304631441617743,0.0,0.0,2.0,0.2609262883235486,0.0,0.0,7665.0,,
CIPLA,2021-05-18,2021-05-19,847.2283814967149,call_date,0.06453791914753881,0.04789337234450963,0.07529428466073385,0.03897216739943321,0.09466689452697596,0.04278540494933525,0.010556682170607345,-0.18411503302964238,2021-05,0.05082974907745212,0.036447175202312776,-0.010814474924469145,-0.042908055532219144,discovery,Cipla Limited,Pharmaceuticals,2021-05-18,2021-05-18,https://nsearchives.nseindia.com/corporate/CIPLA_18052021121407_EarningsCallTranscriptQ4FY21.pdf,pymupdf,split,8236,0.52,0.24,0.38,25,25,10,3.9416633819471816,57,22.467481277098937,21,8.277493102089082,2,0.7883326763894364,13,5.124162396531336,14,5.518328734726055,14,5.518328734726055,3,1.1824990145841543,0,0.0,0,0.0,0,0.0,2537,13.0,2.3293316609926538,54.0,9.675685361046408,54.0,9.675685361046408,2.0,0.3583587170757928,8.0,1.4334348683031717,36.0,6.450456907364272,29.0,5.196201397598997,0.0,0.0,1.0,0.1791793585378964,0.0,0.0,0.0,0.0,5581.0,2021-05-14,1.2696242568273222
VSSL,2021-05-19,2021-05-20,94.60587760864313,filing_date,-0.021473200855100516,-0.04736738644056582,0.015231100344002657,-0.03533636547261021,0.243945089686338,0.18759893357533386,0.24685198260065633,0.07095917102443217,2021-05,-0.03518137092518721,-0.023616009114418413,0.1384637202348929,0.19338724489782982,discovery,Vardhman Special Steels Limited,Steel And Steel Products,2021-05-19,,https://nsearchives.nseindia.com/corporate/VSSL_19052021111059_VSSL_CONCALL_TRANSCRIPT.pdf,pymupdf,split,10094,0.16,0.12,0.14,25,25,8,2.9101491451436887,33,12.004365223717716,22,8.002910149145144,8,2.9101491451436887,32,11.640596580574757,34,12.368133866860676,18,6.547835576573299,0,0.0,1,0.3637686431429611,0,0.0,1,0.3637686431429611,2749,27.0,3.7463577077840986,73.0,10.129041209934783,73.0,10.129041209934783,0.0,0.0,32.0,4.440127653670043,118.0,16.372970722908285,37.0,5.133897599555987,2.0,0.2775079783543777,4.0,0.5550159567087554,2.0,0.2775079783543777,10.0,1.3875398917718884,7207.0,,
BAJAJCON,2021-05-20,2021-05-21,249.46713643607376,filing_date,0.04234047545636743,0.026919952691356386,0.06596394792448179,0.02911184018209445,0.053030864069735006,0.008394953295109087,-0.29871606079300717,-0.4682450458795345,2021-05,0.028632305386280744,0.027116838466060722,-0.0524505053817101,-0.35218079849583367,discovery,Bajaj Consumer Care Limited,,2021-05-20,,https://nsearchives.nseindia.com/corporate/BAJAJCON_20052021183538_20210520_Conference_Call_Transcripts.pdf,pymupdf,split,14376,0.36,0.0,0.18,25,25,10,4.476275738585497,63,28.20053715308863,7,3.133393017009848,1,0.4476275738585497,11,4.923903312444047,11,4.923903312444047,5,2.2381378692927485,0,0.0,0,0.0,0,0.0,0,0.0,2234,60.0,5.030181086519114,118.0,9.89268947015426,95.0,7.964453386988598,5.0,0.4191817572099262,30.0,2.515090543259557,135.0,11.317907444668007,64.0,5.365526492287056,0.0,0.0,2.0,0.1676727028839705,5.0,0.4191817572099262,1.0,0.0838363514419852,11928.0,2021-04-19,4.482611978693123
RELAXO,2021-05-28,2021-05-31,1073.9217168519071,filing_date,-0.026334520923110838,-0.04548568507648654,-0.003121852368215494,-0.02790571186081925,0.05081476623791992,0.02642028098688698,0.16666441355964734,0.048842792326275974,2021-05,-0.04004269099319753,-0.041968961826636564,-0.05466660321352519,0.11319967585682085,discovery,Relaxo Footwears Limited,Leather And Leather Products,2021-05-28,,https://nsearchives.nseindia.com/corporate/RELAXO_28052021170051_Finaltranscriptofearningcall.pdf,pymupdf,split,7662,0.16,-0.08,0.04,25,25,4,4.524886877828054,17,19.23076923076923,8,9.049773755656108,0,0.0,9,10.180995475113122,7,7.918552036199095,5,5.656108597285068,0,0.0,0,0.0,0,0.0,1,1.1312217194570136,884,66.0,9.90544799639802,53.0,7.954374906198409,71.0,10.655860723397868,0.0,0.0,21.0,3.1517334533993697,84.0,12.60693381359748,40.0,6.0033018159988,1.0,0.1500825453999699,2.0,0.3001650907999399,4.0,0.6003301815998799,1.0,0.1500825453999699,6663.0,2021-05-20,2.0661834086865607
