Date,Open,Close,Volume
2024-12-30,716.0,704.3499755859375,12283534
2024-12-31,706.0,719.8499755859375,1752758
2025-01-01,724.8499755859375,721.1500244140625,548645
2025-01-02,725.7999877929688,738.3499755859375,2261727
2025-01-03,738.3499755859375,739.9500122070312,822194
2025-01-06,740.0,712.4500122070312,1214818
2025-01-07,719.5,722.0499877929688,792194
2025-01-08,718.25,719.7000122070312,513520
2025-01-09,723.0,716.5499877929688,342111
2025-01-10,711.2000122070312,701.2999877929688,658346
2025-01-13,698.9500122070312,678.9000244140625,615139
2025-01-14,681.0,685.5999755859375,252008
2025-01-15,684.0,669.1500244140625,390845
2025-01-16,685.0,679.5499877929688,365229
2025-01-17,680.9500122070312,687.0,271409
2025-01-20,689.7999877929688,692.1500244140625,232802
2025-01-21,689.9000244140625,689.25,173619
2025-01-22,688.0,672.4500122070312,399920
2025-01-23,665.0499877929688,673.9500122070312,122551
2025-01-24,665.0,670.2999877929688,337415
2025-01-27,652.0,656.9000244140625,1357929
2025-01-28,657.0,678.4500122070312,654612
2025-01-29,672.0,698.1500244140625,228845
2025-01-30,702.0,698.5999755859375,143239
2025-01-31,699.0499877929688,717.3499755859375,254994
2025-02-01,724.9500122070312,731.2999877929688,371911
2025-02-03,720.0,736.9000244140625,355512
2025-02-04,740.0,748.9000244140625,362130
2025-02-05,756.9000244140625,771.5999755859375,451003
2025-02-06,771.5999755859375,758.2999877929688,165627
2025-02-07,751.0,763.5,345447
2025-02-10,770.0,702.5999755859375,388679
2025-02-11,702.5999755859375,670.0999755859375,645369
2025-02-12,673.0,702.7999877929688,366364
2025-02-13,670.0,704.2999877929688,469061
2025-02-14,718.0,676.1500244140625,300073
2025-02-17,675.2000122070312,660.6500244140625,299215
2025-02-18,672.0,643.75,125512
2025-02-19,645.8499755859375,645.2999877929688,183359
2025-02-20,640.0,639.3499755859375,181578
2025-02-21,649.0,628.0,193238
2025-02-24,624.9500122070312,596.5499877929688,380304
2025-02-25,598.0,600.0,257614
2025-02-27,606.25,572.8499755859375,131695
2025-02-28,568.0,557.4000244140625,139906
2025-03-03,560.1500244140625,559.3499755859375,225572
2025-03-04,555.0,571.0,161366
2025-03-05,571.0,620.8499755859375,272714
2025-03-06,622.0,682.9000244140625,336499
2025-03-07,714.75,705.5,670302
2025-03-10,694.0499877929688,739.2999877929688,352703
2025-03-11,716.0,736.8499755859375,194899
2025-03-12,730.0,737.2000122070312,156360
2025-03-13,738.0,734.3499755859375,231413
2025-03-17,734.3499755859375,725.1500244140625,189088
2025-03-18,725.1500244140625,725.1500244140625,0
2025-03-19,730.1500244140625,735.0999755859375,229392
2025-03-20,720.0,771.8499755859375,202084
2025-03-21,810.4000244140625,793.1500244140625,595808
2025-03-24,806.1500244140625,755.0999755859375,231485
2025-03-25,756.0,743.4000244140625,143601
2025-03-26,735.0,707.7000122070312,1173433
