Date,Open,Close,Volume
2020-06-01,76.91586471414175,76.51065063476562,107461
2020-06-02,78.0209676177648,82.88346099853516,1131335
2020-06-03,85.2410381577698,83.14131927490234,229430
2020-06-04,83.25182686195717,81.7783432006836,177289
2020-06-05,83.25182830820206,88.00381469726562,409482
2020-06-08,91.8717144174663,98.68657684326172,810407
2020-06-09,100.5284266159965,94.26612091064453,280201
2020-06-10,92.93999422604334,96.58686065673828,167781
2020-06-11,93.56621210262612,95.37123107910156,160418
2020-06-12,88.40902870312406,95.26072692871094,220250
2020-06-15,97.17624922583748,92.09272766113281,104162
2020-06-16,96.5131795372212,90.06668853759766,131958
2020-06-17,89.14576857672057,100.30741119384766,1083797
2020-06-18,103.1438702766321,101.37568664550781,1056303
2020-06-19,102.95967932969913,104.91204833984375,1435598
2020-06-22,116.40521481111422,107.71166229248047,3415626
2020-06-23,109.59035670091659,108.8536148071289,741794
2020-06-24,110.5112826030677,106.9380874633789,351433
2020-06-25,106.93807811010629,105.35408020019531,227239
2020-06-26,105.57510626772857,106.1276626586914,124365
2020-06-29,105.35409280416117,99.53382873535156,336015
2020-06-30,101.15465557810128,100.1600570678711,166542
2020-07-01,101.26516556449472,100.34423828125,120423
2020-07-02,100.93362589208799,96.88154602050781,449262
2020-07-03,97.47094990128542,97.36044311523438,204333
2020-07-06,103.88059884688772,110.54811096191406,2992307
2020-07-07,112.86885086068598,106.90123748779297,4160603
2020-07-08,107.49063014440233,102.88599395751953,387490
2020-07-09,106.6802113968688,104.80152130126953,370729
2020-07-10,103.88060759141555,104.21214294433594,261369
2020-07-13,104.61734270240169,103.84376525878906,189545
2020-07-14,103.65958421746413,101.67037963867188,202929
2020-07-15,101.67038051736014,101.633544921875,185846
2020-07-16,101.6703873306267,101.00731658935547,192137
2020-07-17,101.96507611387348,99.82852172851562,95967
2020-07-20,99.82852260448314,99.46015167236328,579115
2020-07-21,100.85997655806642,106.16451263427734,1293741
2020-07-22,106.01715004229601,104.72785186767578,204361
2020-07-23,104.17530470935134,104.65418243408203,375655
2020-07-24,102.99651511326846,103.25437927246094,119873
2020-07-27,103.88060961989716,101.81773376464844,197430
2020-07-28,102.51763228335018,103.14385986328125,170422
2020-07-29,103.1438650020618,102.92284393310547,153947
2020-07-30,102.92284115247232,104.6910171508789,633762
2020-07-31,104.17530146493485,103.47539520263672,159266
2020-08-03,104.39632773039087,102.59130859375,528251
2020-08-04,102.4807891949213,103.14385986328125,74827
2020-08-05,103.14385313626737,101.7808837890625,236086
2020-08-06,102.2229351602687,102.37028503417969,338371
2020-08-07,103.29120631138555,102.29660034179688,242339
2020-08-10,103.07018672550284,109.18514251708984,1231774
2020-08-11,111.17435495842454,107.52748107910156,423909
2020-08-12,106.82757550502926,107.82217407226562,175263
2020-08-13,108.11686361245543,109.2588119506836,260115
2020-08-14,109.40618125119072,110.06925201416016,851587
2020-08-17,112.64782631116631,111.35852813720703,432147
2020-08-18,112.13210554267754,111.35852813720703,1885657
2020-08-19,111.87424796764597,114.3791732788086,1219533
2020-08-20,114.93173329423114,120.82566833496094,2262571
2020-08-21,121.56240973476051,126.46174621582031,1147334
2020-08-24,127.23531927925839,122.04129791259766,381393
2020-08-25,123.73579818590592,125.20928192138672,696671
2020-08-26,126.01971503578932,126.64594268798828,636129
2020-08-27,127.2352994300881,132.8345489501953,915619
2020-08-28,133.86599907406134,133.79232788085938,308474
2020-08-31,135.00794343796076,128.67196655273438,441333
2020-09-01,125.46713594113467,125.31978607177734,188874
2020-09-02,124.50936467028914,126.3512191772461,207361
2020-09-03,126.94063342857031,123.0727310180664,70111
2020-09-04,121.45189342452817,120.9361801147461,81958
2020-09-07,120.08892255510602,128.92982482910156,235823
2020-09-08,128.85615781390604,121.48873901367188,114002
2020-09-09,121.56240873567609,117.58399963378906,130269
2020-09-10,118.54176153295876,118.28389739990234,78979
2020-09-11,118.2838990867691,119.53636169433594,226989
2020-09-14,119.90474424068785,127.60369110107422,613431
2020-09-15,128.19308752651602,126.09337615966797,227855
2020-09-16,126.71960986357799,125.17245483398438,214523
2020-09-17,124.14100471432351,124.54621124267578,526726
2020-09-18,128.7824689566334,128.85614013671875,695014
2020-09-21,129.70341715033067,124.65673065185547,174542
2020-09-22,123.03589488626704,120.12576293945312,105358
2020-09-23,120.78882925188432,122.63068389892578,173253
2020-09-24,118.98381395788849,117.84186553955078,63901
2020-09-25,117.8418604944164,115.74214172363281,166217
2020-09-28,117.14194989338277,119.57319641113281,83618
2020-09-29,120.0889172063262,119.90473175048828,71063
2020-09-30,120.82566420223854,120.01525115966797,37929
2020-10-01,120.23626446728518,123.662109375,106573
2020-10-05,124.288353713459,124.91458129882812,55073
2020-10-06,126.24072363197179,132.46620178222656,347338
2020-10-07,132.90823843572247,125.76183319091797,108643
2020-10-08,126.01969220710022,125.98284912109375,144363
2020-10-09,126.86694274023358,125.2461166381836,54759
2020-10-12,125.39345894032385,122.2623062133789,48662
2020-10-13,122.3728223896568,121.52557373046875,142627
2020-10-14,120.86250156180616,119.27851104736328,38029
2020-10-15,120.8256748670285,117.25247955322266,140319
2020-10-16,118.32072787181275,117.17877960205078,79011
2020-10-19,117.84186802873,118.0628890991211,163177
2020-10-20,119.72054866127081,126.75643920898438,723511
2020-10-21,127.60368149042357,133.3134307861328,1795997
2020-10-22,131.83994551734298,130.73483276367188,278183
2020-10-23,130.7716794695173,128.92982482910156,153173
2020-10-26,129.2245229378829,128.67196655273438,464015
2020-10-27,128.85614846991012,128.15623474121094,127655
2020-10-28,128.7824986508707,132.50303649902344,197011
2020-10-29,131.0663808579378,129.18768310546875,138097
2020-10-30,128.70879277121406,132.06097412109375,125886
2020-11-02,135.56048239290612,133.38710021972656,280581
2020-11-03,134.60272216796875,134.60272216796875,80579
2020-11-04,134.60272068920722,134.67640686035156,425615
2020-11-05,136.29724516397803,150.00064086914062,1786407
2020-11-06,148.085122109226,146.39060974121094,582987
2020-11-09,145.72754415158045,143.84884643554688,112030
2020-11-10,142.92792376709642,148.932373046875,199838
2020-11-11,147.34835990893637,142.96475219726562,138938
2020-11-12,142.3385332065676,142.9279327392578,174073
2020-11-13,142.96476171857358,150.81105041503906,798081
2020-11-14,151.84248871307705,150.2953338623047,31834
2020-11-17,151.84251389458586,161.05178833007812,2026747
2020-11-18,159.35727574466733,160.38870239257812,557469
2020-11-19,159.6888035973455,160.38870239257812,267163
2020-11-20,161.67799553462288,162.26739501953125,181933
2020-11-23,162.56208629669192,160.97808837890625,69787
2020-11-24,159.50462501633658,159.76248168945312,234119
2020-11-25,159.8729756440396,160.97808837890625,673761
2020-11-26,159.90981714933372,161.38330078125,404106
2020-11-27,162.04636985113626,161.1254425048828,361657
2020-12-01,160.24136490714162,162.15689086914062,157679
2020-12-02,162.0832045026484,164.14608764648438,798083
2020-12-03,165.47218574590372,171.0345916748047,1103462
2020-12-04,171.58717514522252,170.18736267089844,285985
2020-12-07,170.18737472434012,168.34552001953125,635713
2020-12-08,168.52970386380994,168.750732421875,221109
