Date,Open,Close,Volume
2018-01-01,270.8192867992553,269.2265625,439096
2018-01-02,271.35024045615603,267.3153991699219,327913
2018-01-03,268.7192655431095,271.7867126464844,457344
2018-01-04,269.93447086296203,271.19683837890625,402120
2018-01-05,271.3502036253698,276.2109069824219,318534
2018-01-08,276.2108889797932,271.3030090332031,189448
2018-01-09,269.5805888222811,269.0850830078125,181300
2018-01-10,270.1704246810594,264.5074768066406,246857
2018-01-11,266.1355615984599,266.1591796875,67355
2018-01-12,263.5046941516717,265.7698974609375,88244
2018-01-15,267.5749272848901,265.51031494140625,105261
2018-01-16,263.98829263291225,265.48663330078125,93767
2018-01-17,265.68724863484323,262.4782409667969,67968
2018-01-18,261.20407222207916,262.58441162109375,87886
2018-01-19,260.7322204309981,265.7698974609375,89343
2018-01-22,264.28325905850767,267.90521240234375,65989
2018-01-23,266.15916369617884,264.5900573730469,104953
2018-01-24,260.49624703002604,264.01202392578125,174362
2018-01-25,260.96811048055434,254.361328125,518020
2018-01-29,264.15355544891827,242.5871124267578,304254
2018-01-30,242.2567805907078,242.71690368652344,263886
2018-01-31,244.21518474414142,249.3472442626953,164703
2018-02-01,251.29389235470202,259.57598876953125,248182
2018-02-02,259.31641588931836,257.2989807128906,720724
2018-02-05,248.6983076763906,260.8028869628906,146628
2018-02-06,247.99051793911647,259.61138916015625,495727
2018-02-07,264.2597184577375,265.60467529296875,162658
2018-02-08,266.15921416412147,268.3653869628906,111710
2018-02-09,257.4288067984995,268.8019104003906,113714
2018-02-12,271.314868225705,267.25640869140625,34832
2018-02-14,265.45129933342406,279.160400390625,290138
2018-02-15,280.7885152361407,278.47613525390625,228733
2018-02-16,278.9007914614718,275.8333740234375,75577
2018-02-19,278.19296320555236,272.74237060546875,119373
2018-02-20,276.706476691168,276.0575866699219,159287
2018-02-21,278.4053295153022,275.42047119140625,80911
2018-02-22,275.09017972471446,272.55364990234375,26041
2018-02-23,272.5299787423165,276.1637268066406,62005
2018-02-26,278.18122572341497,270.1351013183594,195444
2018-02-27,272.8367614746094,272.8367614746094,60964
2018-02-28,271.656912034216,276.7889709472656,370222
2018-03-01,276.8009021008438,276.6003112792969,166065
2018-03-05,277.24916227866436,274.1463317871094,91899
2018-03-06,272.6598334941138,273.6036682128906,47108
2018-03-07,271.3619764181606,271.45635986328125,119455
2018-03-08,275.36149061873994,275.1019287109375,99043
2018-03-09,275.1019673482161,275.59747314453125,79310
2018-03-12,277.23733061850083,272.8957214355469,119023
2018-03-13,273.7215877272397,281.7087097167969,462426
2018-03-14,282.676180952975,280.7649230957031,250981
2018-03-15,280.788474554385,275.24346923828125,217782
2018-03-16,273.9457212697501,272.7305603027344,147987
2018-03-19,271.715933453339,269.2619934082031,101578
2018-03-20,270.1704468848122,262.45465087890625,84401
2018-03-21,262.6198354219328,260.9681396484375,166831
2018-03-22,259.5524022592917,257.26361083984375,201556
2018-03-23,255.0692048862488,248.5214080810547,196885
2018-03-26,248.9343559621126,256.3433837890625,213807
2018-03-27,257.1927557100881,270.3001403808594,337658
2018-03-28,268.9906646429734,270.59515380859375,907601
2018-04-02,271.35023942777656,273.7452087402344,156954
2018-04-03,273.7451356655251,272.62432861328125,421162
2018-04-04,274.88957776177307,272.43560791015625,386729
2018-04-05,273.70981058685504,279.9862365722656,208614
2018-04-06,279.8446304477064,278.8182067871094,53021
2018-04-09,278.4289669575984,278.7711181640625,115936
2018-04-10,280.7648923292027,279.7856750488281,161917
