Date,Open,Close,Volume
2018-01-01,1191.9294794039372,1172.31103515625,746852
2018-01-02,1172.7472500665933,1167.1668701171875,695988
2018-01-03,1172.485312820407,1177.4117431640625,832810
2018-01-04,1177.1938088470806,1179.0684814453125,640189
2018-01-05,1177.9783690208226,1182.817626953125,568451
2018-01-08,1175.8857534982587,1193.1500244140625,801796
2018-01-09,1198.0333211678505,1186.9598388671875,708386
2018-01-10,1187.002900954968,1190.883056640625,939525
2018-01-11,1183.2101996466943,1202.0875244140625,629248
2018-01-12,1203.9621311960175,1198.032958984375,872539
2018-01-15,1199.4278770299836,1192.1036376953125,1324592
2018-01-16,1193.934701843109,1205.0081787109375,896453
2018-01-17,1211.1119646181253,1195.591552734375,1409691
2018-01-18,1220.7032948685217,1183.1666259765625,2465412
2018-01-19,1194.8940724055797,1187.962158203125,1491194
2018-01-22,1188.4417417598934,1181.553466796875,1014403
2018-01-23,1186.436275036625,1193.1065673828125,1284895
2018-01-24,1192.8012481039063,1190.97021484375,1819330
2018-01-25,1193.5860809065935,1196.9429931640625,2125894
2018-01-29,1194.5453643247886,1218.34912109375,1406390
2018-01-30,1218.3491110220016,1220.9212646484375,1310365
2018-01-31,1220.7032180796177,1193.978515625,1491912
2018-02-01,1197.1612552166418,1195.6353759765625,1563429
2018-02-02,1178.8501791022948,1196.463134765625,1699619
2018-02-05,1178.93742691322,1182.1199951171875,1585136
2018-02-06,1133.5099799977286,1155.6134033203125,1540401
2018-02-07,1152.6925711337497,1144.5400390625,1561287
2018-02-08,1155.9187377614953,1159.2757568359375,1146084
2018-02-09,1150.076843078049,1162.3275146484375,810004
2018-02-12,1168.3874061240265,1172.2674560546875,1166428
2018-02-14,1176.9322897169195,1176.58349609375,857401
2018-02-15,1179.7224255154497,1184.212890625,844856
2018-02-16,1189.3137430987297,1178.937744140625,1091144
2018-02-19,1184.9538339571477,1164.812255859375,495950
2018-02-20,1161.5428254407,1161.2376708984375,688130
2018-02-21,1167.515648183188,1160.19140625,1406451
2018-02-22,1159.75507831527,1156.572509765625,2173259
2018-02-23,1156.6161371479288,1153.6951904296875,896708
2018-02-26,1147.6785855051558,1162.5450439453125,1109668
2018-02-27,1168.3872111908472,1173.9239501953125,1316559
2018-02-28,1166.9920848041372,1148.9866943359375,1862621
2018-03-01,1150.948591183689,1154.654296875,961945
2018-03-05,1150.9488378173687,1133.292236328125,842790
2018-03-06,1133.509982259592,1127.580810546875,738512
2018-03-07,1127.4502242626634,1128.147705078125,917890
2018-03-08,1133.5101810216372,1127.5374755859375,739272
2018-03-09,1129.1505816018102,1134.1641845703125,852176
2018-03-12,1137.8696890608512,1154.6107177734375,874857
2018-03-13,1155.2211002241686,1151.42822265625,1067772
2018-03-14,1148.681692952629,1148.2457275390625,760665
2018-03-15,1145.6299295057452,1133.4664306640625,536838
2018-03-16,1136.125710761346,1132.768798828125,3646692
2018-03-19,1140.4856962664328,1141.7064208984375,1244199
2018-03-20,1138.741490725538,1145.06298828125,1249242
2018-03-21,1145.0631664469938,1147.1121826171875,1698614
2018-03-22,1144.4090614073655,1143.84228515625,950972
2018-03-23,1124.790715510296,1134.94873046875,1301609
2018-03-26,1136.1257093729312,1154.6978759765625,1032138
2018-03-27,1167.5154258475084,1162.1094970703125,1040328
2018-03-28,1156.2238364488994,1162.5888671875,1337677
2018-04-02,1146.5891010266625,1178.240234375,708747
2018-04-03,1174.578117154877,1175.711669921875,979726
2018-04-04,1175.3628347615113,1183.6025390625,912607
2018-04-05,1203.264655900716,1205.182861328125,588716
2018-04-06,1204.9644432143018,1198.730224609375,633937
2018-04-09,1192.7576011006404,1213.3787841796875,923543
2018-04-10,1219.6567629599504,1213.2916259765625,969036
2018-04-11,1214.5996917641285,1228.681396484375,1015714
2018-04-12,1227.6783976287384,1231.820068359375,510556
2018-04-13,1231.166234567805,1229.9019775390625,534981
2018-04-16,1228.4631227384198,1237.70556640625,325041
2018-04-17,1238.5776474998281,1260.4195556640625,1176082
2018-04-18,1264.7357177734375,1264.7357177734375,765225
2018-04-19,1265.5204494887566,1267.9617919921875,682820
2018-04-20,1257.3242111877878,1279.820068359375,674146
2018-04-23,1282.6102473689446,1266.697509765625,395622
2018-04-24,1276.506500171901,1272.713623046875,1218174
2018-04-25,1272.1470675434002,1272.3214111328125,504777
2018-04-26,1275.6347998415235,1300.266845703125,1321586
2018-04-27,1300.2669421168307,1285.1824951171875,818770
2018-04-30,1286.09777808412,1315.65625,612159
2018-05-02,1318.3592216890495,1283.4383544921875,1047583
2018-05-03,1277.9016665982801,1266.2177734375,1243694
2018-05-04,1268.6591882132197,1276.680908203125,586841
2018-05-07,1283.830949824452,1306.065185546875,887065
2018-05-08,1302.664891484265,1304.452392578125,906975
2018-05-09,1305.1934505427346,1304.40869140625,759263
2018-05-10,1302.6647256953204,1296.125244140625,932116
2018-05-11,1298.3048149560605,1311.470947265625,591179
2018-05-14,1320.9753880829892,1310.9918212890625,1479249
2018-05-15,1334.054006226029,1321.4110107421875,3239290
2018-05-16,1315.7437868877669,1372.5064697265625,2420630
2018-05-17,1372.5063188413462,1368.757080078125,2082393
2018-05-18,1363.0893075104898,1400.1463623046875,2041908
2018-05-21,1406.424186229504,1376.473388671875,1510806
2018-05-22,1365.225977570482,1372.6810302734375,1137466
2018-05-23,1366.3157995854701,1367.27490234375,891664
2018-05-24,1369.018642505988,1361.1712646484375,915840
2018-05-25,1365.4434997471442,1373.94482421875,968884
2018-05-28,1382.0104148262162,1380.1357421875,563972
2018-05-29,1373.7709772575522,1371.285888671875,944652
2018-05-30,1368.495371327595,1382.7078857421875,1089156
2018-05-31,1390.7295357517667,1405.07275390625,3315162
2018-06-01,1406.4244608826818,1385.3673095703125,1444570
2018-06-04,1386.3703579974408,1363.0025634765625,857157
