symbol,company,industry,filing_date,call_date,url,engine,split,n_words,mood_remarks,mood_qna,mood_all,n_sent_rem,n_sent_qa,rem_lm_negative,rem_lm_negative_p1k,rem_lm_positive,rem_lm_positive_p1k,rem_lm_uncertainty,rem_lm_uncertainty_p1k,rem_lm_litigious,rem_lm_litigious_p1k,rem_lm_constraining,rem_lm_constraining_p1k,rem_lm_strong_modal,rem_lm_strong_modal_p1k,rem_lm_weak_modal,rem_lm_weak_modal_p1k,rem_th_positive_guidance,rem_th_positive_guidance_p1k,rem_th_negative_caution,rem_th_negative_caution_p1k,rem_th_hedging_evasion,rem_th_hedging_evasion_p1k,rem_th_capital_actions,rem_th_capital_actions_p1k,rem_n_words,qa_lm_negative,qa_lm_negative_p1k,qa_lm_positive,qa_lm_positive_p1k,qa_lm_uncertainty,qa_lm_uncertainty_p1k,qa_lm_litigious,qa_lm_litigious_p1k,qa_lm_constraining,qa_lm_constraining_p1k,qa_lm_strong_modal,qa_lm_strong_modal_p1k,qa_lm_weak_modal,qa_lm_weak_modal_p1k,qa_th_positive_guidance,qa_th_positive_guidance_p1k,qa_th_negative_caution,qa_th_negative_caution_p1k,qa_th_hedging_evasion,qa_th_hedging_evasion_p1k,qa_th_capital_actions,qa_th_capital_actions_p1k,qa_n_words
JKIL,J.Kumar Infraprojects Limited,Construction,2022-06-06,2022-05-31,https://nsearchives.nseindia.com/corporate/JKIL_06062022101034_SEDICSL.pdf,pdfplumber,split,8627,0.2266666666666666,0.08,0.1533333333333333,75,75,4,3.0698388334612434,26,19.95395241749808,10,7.674597083653108,5,3.837298541826554,10,7.674597083653108,6,4.604758250191865,7,5.372217958557176,2,1.5349194167306217,1,0.7674597083653109,0,0.0,0,0.0,1303,22.0,3.0691964285714284,93.0,12.974330357142858,63.0,8.7890625,6.0,0.8370535714285714,21.0,2.9296875,68.0,9.486607142857142,37.0,5.161830357142857,17.0,2.3716517857142856,0.0,0.0,0.0,0.0,3.0,0.4185267857142857,7168.0
SONACOMS,Sona BLW Precision Forgings Limited,,2024-07-30,2024-07-30,https://nsearchives.nseindia.com/corporate/SONACOMS_30072024095110_Transcript.pdf,pdfplumber,whole,9215,0.0666666666666666,,0.0666666666666666,75,0,41,4.502031404414187,133,14.604150653343584,30,3.294169320303064,12,1.3176677281212257,10,1.098056440101021,76,8.345228944767761,20,2.196112880202042,8,0.878445152080817,4,0.4392225760404085,0,0.0,0,0.0,9107,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,AU Small Finance Bank Limited,,2024-05-02,,https://nsearchives.nseindia.com/corporate/AUBANK_02052024190149_Disclosure_Con_call_Transcript.pdf,pdfplumber,split,9558,0.44,0.1866666666666666,0.3133333333333333,75,75,5,1.9372336303758235,50,19.37233630375823,19,7.361487795428129,12,4.649360712901976,33,12.785741960480436,20,7.748934521503293,8,3.0995738086013174,0,0.0,2,0.7748934521503293,0,0.0,0,0.0,2581,19.0,2.808158439255099,55.0,8.12887969258055,51.0,7.537688442211055,2.0,0.2955956251847472,17.0,2.512562814070352,79.0,11.676027194797516,29.0,4.286136565178835,0.0,0.0,3.0,0.4433934377771209,2.0,0.2955956251847472,3.0,0.4433934377771209,6766.0
VIYASH,Viyash Scientific Limited,,2024-11-22,,https://nsearchives.nseindia.com/corporate/SEQUENT_22112024185026_SeQuentScientific-Earnings-Nov14-2024transcript.pdf,pdfplumber,split,8957,0.4533333333333333,0.1333333333333333,0.2933333333333333,75,75,5,1.319957761351637,126,33.262935586061246,12,3.167898627243928,14,3.695881731784583,28,7.391763463569165,23,6.071805702217529,7,1.847940865892292,0,0.0,0,0.0,0,0.0,2,0.5279831045406547,3788,7.0,1.3930348258706469,69.0,13.73134328358209,32.0,6.3681592039801,11.0,2.189054726368159,13.0,2.587064676616916,36.0,7.164179104477612,23.0,4.577114427860696,0.0,0.0,0.0,0.0,1.0,0.1990049751243781,0.0,0.0,5025.0
CUPID,Cupid Limited,,2023-08-07,2023-08-07,https://nsearchives.nseindia.com/corporate/CUPID_07082023124043_Q1FY24_Concall_Transcript.pdf,pdfplumber,split,5622,0.04,0.0533333333333333,0.05,25,75,1,2.538071065989848,3,7.614213197969543,0,0.0,0,0.0,12,30.456852791878173,3,7.614213197969543,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,394,39.0,7.641065830721003,23.0,4.506269592476489,32.0,6.269592476489028,8.0,1.567398119122257,26.0,5.094043887147335,21.0,4.114420062695925,21.0,4.114420062695925,7.0,1.371473354231975,0.0,0.0,0.0,0.0,8.0,1.567398119122257,5104.0
UTIAMC,UTI Asset Management Company Limited,,2023-08-02,2023-08-02,https://nsearchives.nseindia.com/corporate/UTIAMC_02082023163555_Disclosure.pdf,pdfplumber,split,7511,0.3333333333333333,0.1866666666666666,0.26,75,75,1,0.5834305717619603,27,15.752625437572927,9,5.250875145857643,5,2.9171528588098017,11,6.417736289381564,6,3.500583430571762,4,2.3337222870478413,0,0.0,0,0.0,0,0.0,2,1.166861143523921,1714,19.0,3.418495861820799,63.0,11.33501259445844,44.0,7.916516732637639,2.0,0.3598416696653472,4.0,0.7196833393306945,49.0,8.816120906801007,31.0,5.577545879812883,0.0,0.0,1.0,0.1799208348326736,0.0,0.0,0.0,0.0,5558.0
GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilisers,2026-02-17,2026-02-17,https://nsearchives.nseindia.com/corporate/GSFC_17022026164104_transcript100226.pdf,pdfplumber,whole,5968,0.1733333333333333,,0.1733333333333333,75,0,22,3.793103448275862,105,18.103448275862068,32,5.517241379310345,5,0.8620689655172413,40,6.896551724137931,57,9.827586206896552,15,2.586206896551724,0,0.0,2,0.3448275862068966,1,0.1724137931034483,5,0.8620689655172413,5800,,,,,,,,,,,,,,,,,,,,,,,
PNBHOUSING,PNB Housing Finance Limited,,2025-07-31,,https://nsearchives.nseindia.com/corporate/PNBHOUSING_31072025161414_Earnings_call_Transcript_July_22_2025.pdf,pdfplumber,split,8058,0.05,0.2133333333333333,0.1789473684210526,20,75,0,0.0,4,9.0702947845805,0,0.0,4,9.0702947845805,15,34.01360544217687,4,9.0702947845805,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,441,27.0,3.6749693752552064,107.0,14.56376752415952,62.0,8.438818565400844,1.0,0.1361099768613039,21.0,2.8583095140873827,65.0,8.847148495984756,42.0,5.716619028174765,1.0,0.1361099768613039,2.0,0.2722199537226079,0.0,0.0,0.0,0.0,7347.0
TCPLPACK,TCPL Packaging Limited,,2022-02-15,,https://nsearchives.nseindia.com/corporate/TCPLPACK_15022022112852_Transcript_Conference_Call.pdf,pdfplumber,split,3903,0.1111111111111111,0.2533333333333333,0.2258064516129032,18,75,0,0.0,4,14.184397163120568,0,0.0,2,7.092198581560283,5,17.73049645390071,3,10.638297872340424,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,282,13.0,3.617139677239844,63.0,17.529215358931552,26.0,7.234279354479688,1.0,0.2782415136338341,2.0,0.5564830272676683,35.0,9.738452977184195,19.0,5.286588759042849,3.0,0.8347245409015025,0.0,0.0,1.0,0.2782415136338341,5.0,1.391207568169171,3594.0
PETRONET,Petronet LNG Limited,Gas,2024-02-05,2024-02-05,https://nsearchives.nseindia.com/corporate/PETRONET_05022024174823_intimationtranscriptsigned.pdf,pdfplumber,split,6443,0.0294117647058823,0.0933333333333333,0.073394495412844,34,75,0,0.0,4,8.080808080808081,0,0.0,2,4.040404040404041,15,30.303030303030305,4,8.080808080808081,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,495,33.0,5.71527537235885,41.0,7.100796674748874,40.0,6.927606511950121,18.0,3.1174229303775545,24.0,4.156563907170073,110.0,19.050917907862832,34.0,5.888465535157603,1.0,0.173190162798753,0.0,0.0,0.0,0.0,3.0,0.5195704883962591,5774.0
