Earnings Date,reported_eps
2014-05-07,0.2
2014-07-31,0.36
2014-10-31,0.51
2015-05-28,0.43
2015-07-15,1.41
2015-10-20,1.53
2016-01-21,0.87
2016-10-18,1.58
2017-04-27,2.14
2017-10-16,1.88
2018-01-16,0.84
2018-05-21,0.12
2018-07-19,1.87
2018-10-22,1.79
2019-01-24,0.84
2019-10-22,1.17
2020-01-21,1.29
2020-06-23,0.37
2024-07-15,5.86
2024-11-04,2.89
2025-01-16,1.84
2026-01-19,3.01
2026-05-19,2.28
2026-07-21,6.0
