Earnings Date,reported_eps
2020-07-31,1.3
2020-11-03,2.14
2021-01-29,0.75
2021-06-25,0.65
2021-07-30,1.22
2021-10-29,2.07
2022-05-03,2.26
2022-07-21,2.86
2022-10-28,2.84
2023-01-20,1.09
2023-05-23,1.66
2023-07-14,1.76
2023-10-20,5.17
2024-01-23,1.41
2024-05-07,2.13
2024-07-19,3.0
2024-10-24,4.88
2025-01-28,0.96
2025-05-15,2.34
2025-07-30,4.25
2025-10-17,4.04
2026-01-23,2.78
2026-05-11,2.07
2026-07-22,2.57
