Earnings Date,reported_eps
2020-08-27,2.34
2020-11-02,2.7
2021-02-03,4.02
2021-06-25,5.04
2021-08-11,3.64
2021-11-13,5.28
2022-02-12,3.16
2022-05-28,5.39
2022-08-09,6.49
2022-11-14,5.11
2023-02-14,5.04
2023-05-26,7.19
2023-08-11,6.1
2023-10-31,5.45
2024-02-06,5.89
2024-05-24,15.68
2024-08-10,16.4
2024-11-12,3.16
2025-02-10,3.22
2025-05-30,4.71
2025-08-13,3.15
2025-11-12,3.21
2026-02-09,3.01
2026-05-19,3.91
2026-08-08,10.55
