Earnings Date,reported_eps
2019-01-24,3.12
2019-05-02,4.59
2019-08-12,2.36
2019-11-13,2.07
2020-02-12,2.35
2020-07-28,0.22
2020-11-13,0.99
2021-02-13,1.68
2021-07-30,0.22
2021-11-11,1.09
2022-02-10,0.79
2022-05-30,-0.31
2022-08-11,1.78
2022-11-10,0.17
2023-01-31,0.15
2023-05-26,-1.99
2023-10-20,-0.99
2024-01-19,-0.69
2024-05-30,6.92
2024-11-12,2.36
2025-05-02,3.44
2025-10-16,3.34
2026-01-27,3.97
2026-04-21,4.34
2026-07-21,2.88
