Earnings Date,reported_eps
2020-07-27,0.08
2020-10-28,1.16
2021-02-03,1.78
2021-05-26,1.58
2021-07-30,0.57
2021-10-28,1.36
2022-02-02,1.21
2022-05-19,2.09
2022-07-27,1.23
2022-10-27,0.99
2023-02-02,0.82
2023-05-30,1.21
2023-08-09,1.47
2023-10-31,1.19
2024-02-01,1.33
2024-05-16,1.74
2024-07-24,2.25
2024-10-29,1.44
2025-01-28,1.37
2025-05-14,2.07
2025-07-29,1.68
2025-10-29,1.48
2026-01-28,1.67
2026-05-12,2.55
2026-07-29,2.96
