phase,test_id,hypothesis,sample,start_date,end_date,universe,signal_definition,bucket,size_group,sector_group,filing_group,holding_period,portfolio_size,gross_return,benchmark_return,excess_return,net_return,cost,volatility,sharpe,max_drawdown,win_rate,trade_count,positive_fold_pct,best_fold,worst_fold,best_fold_removed,status,notes
08_backtest,PORT_ALL_Q4_Q5_10S_40D_SUE,"Tradeable portfolio with 10 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,40d,10,1.52,10.32,-9.38,0.94,0.585,14.83,0.138,-23.02,47.1,210,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 7.1%"
08_backtest,PORT_ALL_Q4_Q5_10S_60D_FIF,"Tradeable portfolio with 10 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,60d,10,14.04,11.12,2.33,13.45,0.585,18.75,0.772,-23.58,57.5,200,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 6.9%"
08_backtest,PORT_ALL_Q4_Q5_10S_60D_SUE,"Tradeable portfolio with 10 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,60d,10,14.04,11.12,2.33,13.45,0.585,18.75,0.772,-23.58,57.5,200,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 6.9%"
08_backtest,PORT_ALL_Q4_Q5_10S_90D_FIF,"Tradeable portfolio with 10 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,90d,10,10.66,11.13,-1.05,10.08,0.585,15.98,0.685,-23.08,56.0,116,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 4.1%"
08_backtest,PORT_ALL_Q4_Q5_10S_90D_SUE,"Tradeable portfolio with 10 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,90d,10,10.66,11.13,-1.05,10.08,0.585,15.98,0.685,-23.08,56.0,116,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 4.1%"
08_backtest,PORT_ALL_Q4_Q5_20S_20D_FIF,"Tradeable portfolio with 20 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,20d,20,5.46,9.98,-5.09,4.88,0.585,12.76,0.441,-23.13,52.8,644,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 20.9%"
08_backtest,PORT_ALL_Q4_Q5_20S_20D_SUE,"Tradeable portfolio with 20 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,20d,20,5.46,9.98,-5.09,4.88,0.585,12.76,0.441,-23.13,52.8,644,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 20.9%"
08_backtest,PORT_ALL_Q4_Q5_20S_40D_FIF,"Tradeable portfolio with 20 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,40d,20,1.93,9.98,-8.63,1.34,0.585,13.89,0.166,-26.59,48.1,420,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 14.2%"
08_backtest,PORT_ALL_Q4_Q5_20S_40D_SUE,"Tradeable portfolio with 20 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,40d,20,1.93,9.98,-8.63,1.34,0.585,13.89,0.166,-26.59,48.1,420,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 14.2%"
08_backtest,PORT_ALL_Q4_Q5_20S_60D_FIF,"Tradeable portfolio with 20 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,60d,20,12.11,11.11,0.43,11.53,0.585,17.66,0.712,-27.52,53.8,400,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 13.8%"
08_backtest,PORT_ALL_Q4_Q5_20S_60D_SUE,"Tradeable portfolio with 20 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,60d,20,12.11,11.11,0.43,11.53,0.585,17.66,0.712,-27.52,53.8,400,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 13.8%"
08_backtest,PORT_ALL_Q4_Q5_20S_90D_FIF,"Tradeable portfolio with 20 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,90d,20,10.61,11.03,-1.0,10.03,0.585,14.49,0.737,-19.38,54.9,226,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 7.9%"
08_backtest,PORT_ALL_Q4_Q5_20S_90D_SUE,"Tradeable portfolio with 20 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,90d,20,10.61,11.03,-1.0,10.03,0.585,14.49,0.737,-19.38,54.9,226,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 7.9%"
08_backtest,PORT_ALL_Q4_Q5_30S_20D_FIF,"Tradeable portfolio with 30 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,20d,30,5.5,9.98,-5.06,4.92,0.585,11.94,0.465,-21.86,51.1,904,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 29.3%"
08_backtest,PORT_ALL_Q4_Q5_30S_20D_SUE,"Tradeable portfolio with 30 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,20d,30,5.5,9.98,-5.06,4.92,0.585,11.94,0.465,-21.86,51.1,904,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 29.3%"
08_backtest,PORT_ALL_Q4_Q5_30S_40D_FIF,"Tradeable portfolio with 30 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,40d,30,3.58,10.26,-7.27,2.99,0.585,13.59,0.286,-23.74,48.1,630,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 21.3%"
08_backtest,PORT_ALL_Q4_Q5_30S_40D_SUE,"Tradeable portfolio with 30 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,40d,30,3.58,10.26,-7.27,2.99,0.585,13.59,0.286,-23.74,48.1,630,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 21.3%"
08_backtest,PORT_ALL_Q4_Q5_30S_60D_FIF,"Tradeable portfolio with 30 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,60d,30,13.02,10.74,1.7,12.44,0.585,16.87,0.786,-27.21,52.6,597,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 20.6%"
08_backtest,PORT_ALL_Q4_Q5_30S_60D_SUE,"Tradeable portfolio with 30 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,60d,30,13.02,10.74,1.7,12.44,0.585,16.87,0.786,-27.21,52.6,597,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 20.6%"
08_backtest,PORT_ALL_Q4_Q5_30S_90D_FIF,"Tradeable portfolio with 30 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,90d,30,11.96,11.03,0.35,11.38,0.585,14.28,0.832,-19.14,55.8,326,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 11.5%"
