phase,test_id,hypothesis,sample,start_date,end_date,universe,signal_definition,bucket,size_group,sector_group,filing_group,holding_period,portfolio_size,gross_return,benchmark_return,excess_return,net_return,cost,volatility,sharpe,max_drawdown,win_rate,trade_count,positive_fold_pct,best_fold,worst_fold,best_fold_removed,status,notes
08_backtest,PORT_ALL_Q4_Q5_30S_90D_SUE,"Tradeable portfolio with 30 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,All_Sectors,Q4_Q5,Long-Only Top SUE,All,All_Sectors,All,90d,30,11.96,11.03,0.35,11.38,0.585,14.28,0.832,-19.14,55.8,326,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 11.5%"
08_backtest,PORT_NON_Q5_only_10S_20D_FIF,"Tradeable portfolio with 10 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,20d,10,10.95,9.93,0.44,10.36,0.585,13.56,0.801,-23.72,57.5,318,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 24.8%"
08_backtest,PORT_NON_Q5_only_10S_20D_SUE,"Tradeable portfolio with 10 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,20d,10,10.95,9.93,0.44,10.36,0.585,13.56,0.801,-23.72,57.5,318,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 24.8%"
08_backtest,PORT_NON_Q5_only_10S_40D_FIF,"Tradeable portfolio with 10 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,40d,10,8.46,9.98,-2.1,7.88,0.585,15.35,0.575,-22.27,53.3,210,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 17.2%"
08_backtest,PORT_NON_Q5_only_10S_40D_SUE,"Tradeable portfolio with 10 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,40d,10,8.46,9.98,-2.1,7.88,0.585,15.35,0.575,-22.27,53.3,210,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 17.2%"
08_backtest,PORT_NON_Q5_only_10S_60D_FIF,"Tradeable portfolio with 10 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,60d,10,17.11,11.11,5.41,16.52,0.585,19.42,0.892,-29.09,56.3,199,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 16.6%"
08_backtest,PORT_NON_Q5_only_10S_60D_SUE,"Tradeable portfolio with 10 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,60d,10,17.11,11.11,5.41,16.52,0.585,19.42,0.892,-29.09,56.3,199,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 16.6%"
08_backtest,PORT_NON_Q5_only_10S_90D_FIF,"Tradeable portfolio with 10 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,90d,10,8.93,11.13,-2.78,8.35,0.585,15.93,0.587,-26.45,57.3,110,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 9.4%"
08_backtest,PORT_NON_Q5_only_10S_90D_SUE,"Tradeable portfolio with 10 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,90d,10,8.93,11.13,-2.78,8.35,0.585,15.93,0.587,-26.45,57.3,110,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 9.4%"
08_backtest,PORT_NON_Q5_only_20S_20D_FIF,"Tradeable portfolio with 20 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,20d,20,8.32,9.93,-2.2,7.73,0.585,11.93,0.689,-21.88,53.7,561,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 43.8%"
08_backtest,PORT_NON_Q5_only_20S_20D_SUE,"Tradeable portfolio with 20 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,20d,20,8.32,9.93,-2.2,7.73,0.585,11.93,0.689,-21.88,53.7,561,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 43.8%"
08_backtest,PORT_NON_Q5_only_20S_40D_FIF,"Tradeable portfolio with 20 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,40d,20,7.8,10.26,-3.03,7.22,0.585,14.2,0.566,-22.17,51.3,419,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 34.3%"
08_backtest,PORT_NON_Q5_only_20S_40D_SUE,"Tradeable portfolio with 20 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,40d,20,7.8,10.26,-3.03,7.22,0.585,14.2,0.566,-22.17,51.3,419,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 34.3%"
08_backtest,PORT_NON_Q5_only_20S_60D_FIF,"Tradeable portfolio with 20 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,60d,20,14.95,10.88,3.48,14.36,0.585,17.47,0.863,-29.15,56.0,389,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 32.5%"
08_backtest,PORT_NON_Q5_only_20S_60D_SUE,"Tradeable portfolio with 20 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,60d,20,14.95,10.88,3.48,14.36,0.585,17.47,0.863,-29.15,56.0,389,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 32.5%"
08_backtest,PORT_NON_Q5_only_20S_90D_FIF,"Tradeable portfolio with 20 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,90d,20,12.7,11.13,0.98,12.11,0.585,14.67,0.858,-22.06,57.6,210,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 17.9%"
08_backtest,PORT_NON_Q5_only_20S_90D_SUE,"Tradeable portfolio with 20 slots, 90d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,90d,20,12.7,11.13,0.98,12.11,0.585,14.67,0.858,-22.06,57.6,210,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 17.9%"
08_backtest,PORT_NON_Q5_only_30S_20D_FIF,"Tradeable portfolio with 30 slots, 20d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,20d,30,9.21,9.93,-1.29,8.63,0.585,10.8,0.827,-18.16,55.0,765,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 59.8%"
08_backtest,PORT_NON_Q5_only_30S_20D_SUE,"Tradeable portfolio with 30 slots, 20d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,20d,30,9.21,9.93,-1.29,8.63,0.585,10.8,0.827,-18.16,55.0,765,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 59.8%"
08_backtest,PORT_NON_Q5_only_30S_40D_FIF,"Tradeable portfolio with 30 slots, 40d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,40d,30,9.75,10.26,-1.1,9.16,0.585,13.6,0.717,-16.45,52.8,614,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 50.2%"
08_backtest,PORT_NON_Q5_only_30S_40D_SUE,"Tradeable portfolio with 30 slots, 40d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,40d,30,9.75,10.26,-1.1,9.16,0.585,13.6,0.717,-16.45,52.8,614,,N/A,N/A,,UNDERPERFORMED,"Queue: SUE_RANK, Capacity: 50.2%"
08_backtest,PORT_NON_Q5_only_30S_60D_FIF,"Tradeable portfolio with 30 slots, 60d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,60d,30,17.41,11.05,5.78,16.83,0.585,16.82,1.017,-25.12,57.9,579,,N/A,N/A,,VALIDATED,"Queue: FIFO, Capacity: 48.3%"
08_backtest,PORT_NON_Q5_only_30S_60D_SUE,"Tradeable portfolio with 30 slots, 60d holding under SUE_RANK",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,60d,30,17.41,11.05,5.78,16.83,0.585,16.82,1.017,-25.12,57.9,579,,N/A,N/A,,VALIDATED,"Queue: SUE_RANK, Capacity: 48.3%"
08_backtest,PORT_NON_Q5_only_30S_90D_FIF,"Tradeable portfolio with 30 slots, 90d holding under FIFO",Full (2021-2026),2021-08-10,2026-08-17,Non_Financials,Q5_only,Long-Only Top SUE,All,Non_Financials,All,90d,30,11.12,10.83,-0.29,10.54,0.585,13.44,0.819,-19.75,56.1,310,,N/A,N/A,,UNDERPERFORMED,"Queue: FIFO, Capacity: 26.4%"
