trade_id,symbol,filing_date,filing_timestamp,signal_date,entry_date,entry_price,exit_date,exit_price,holding_days,SUE,SUE_bucket,sector,sector_group,size_group,filing_timing_group,priority_rank,slot,entry_reason,exit_reason,gross_return,transaction_cost,cost,net_return,portfolio_weight,portfolio_pnl,entry_year,sample_id
TR_00111,KPITTECH,26-Jul-2022,2022-07-26 16:42:00,27-Jul-2022,2022-07-28,519.84,2022-10-27,715.36,60,1.3865,5,Commercial & Industrial,Non-Financials,Mid,Mid,5,21,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.3761,0.00585,0.00585,0.3703,0.033333,0.012342,2022,SMP_11
TR_00154,CARERATING,09-Nov-2022,2022-11-09 19:33:00,10-Nov-2022,2022-11-11,514.09,2023-02-06,558.08,60,4.0222,5,Commercial & Industrial,Non-Financials,Small,Mid,1,25,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.08560000000000001,0.00585,0.00585,0.0797,0.033333,0.002658,2022,SMP_12
TR_00164,CCL,19-Jan-2023,2023-01-19 12:01:00,19-Jan-2023,2023-01-20,510.52,2023-04-24,556.28,60,3.8206,5,Commercial & Industrial,Non-Financials,Small,Early,2,14,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.08960000000000001,0.00585,0.00585,0.08380000000000001,0.033333,0.002793,2023,SMP_13
TR_00166,SWSOLAR,19-Jan-2023,2023-01-19 19:03:00,20-Jan-2023,2023-01-23,273.95,2023-04-25,299.55,60,1.378,5,Commercial & Industrial,Non-Financials,Small,Early,2,16,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.0934,0.00585,0.00585,0.0876,0.033333,0.00292,2023,SMP_14
TR_00168,KEI,23-Jan-2023,2023-01-23 18:28:00,24-Jan-2023,2023-01-25,1500.44,2023-04-27,1892.24,60,2.9755,5,Commercial & Industrial,Non-Financials,Mid,Early,1,2,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.2611,0.00585,0.00585,0.2553,0.033333,0.008509,2023,SMP_15
TR_00178,COALINDIA,31-Jan-2023,2023-01-31 18:11:00,01-Feb-2023,2023-02-02,171.7,2023-05-05,188.95,60,1.5138,5,Commercial & Industrial,Non-Financials,Large,Mid,2,8,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.1005,0.00585,0.00585,0.0947,0.033333,0.003155,2023,SMP_16
TR_00177,KPITTECH,01-Feb-2023,2023-02-01 14:19:00,01-Feb-2023,2023-02-02,723.99,2023-05-05,863.92,60,2.5858,5,Commercial & Industrial,Non-Financials,Large,Mid,1,7,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.19329999999999997,0.00585,0.00585,0.18739999999999998,0.033333,0.006247,2023,SMP_17
TR_00189,VINATIORGA,06-Feb-2023,2023-02-06 14:39:00,06-Feb-2023,2023-02-07,1838.12,2023-05-10,1958.13,60,2.3975,5,Commercial & Industrial,Non-Financials,Small,Mid,5,30,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.0653,0.00585,0.00585,0.0594,0.033333,0.001981,2023,SMP_18
TR_00200,INDHOTEL,27-Apr-2023,2023-04-27 19:05:00,28-Apr-2023,2023-05-02,337.78,2023-07-26,386.17,60,1.351,5,Commercial & Industrial,Non-Financials,Large,Mid,4,15,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.1433,0.00585,0.00585,0.1374,0.033333,0.004581,2023,SMP_19
TR_00219,DRREDDY,10-May-2023,2023-05-10 19:38:00,11-May-2023,2023-05-12,885.36,2023-08-07,1105.44,60,1.8606,5,Commercial & Industrial,Non-Financials,Large,Mid,2,30,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.2486,0.00585,0.00585,0.2427,0.033333,0.008091,2023,SMP_20
TR_00228,PRAJIND,26-Jul-2023,2023-07-26 15:09:00,26-Jul-2023,2023-07-27,393.87,2023-10-25,501.69,60,1.7936,5,Commercial & Industrial,Non-Financials,Mid,Mid,3,5,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.2737,0.00585,0.00585,0.26789999999999997,0.033333,0.00893,2023,SMP_21
TR_00236,MARICO,28-Jul-2023,2023-07-28 17:52:00,31-Jul-2023,2023-08-01,541.99,2023-10-30,512.34,60,2.4008,5,Commercial & Industrial,Non-Financials,Large,Mid,2,9,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.0547,0.00585,0.00585,-0.060599999999999994,0.033333,-0.002019,2023,SMP_22
TR_00235,MOTILALOFS,28-Jul-2023,2023-07-28 15:50:00,31-Jul-2023,2023-08-01,821.2,2023-10-30,991.05,60,3.4941,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,8,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.20679999999999998,0.00585,0.00585,0.201,0.033333,0.006699,2023,SMP_23
TR_00251,CEATLTD,16-Oct-2023,2023-10-16 20:17:00,17-Oct-2023,2023-10-18,2161.99,2024-01-16,2421.33,60,1.6964,5,Commercial & Industrial,Non-Financials,Small,Early,1,1,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.12,0.00585,0.00585,0.11410000000000001,0.033333,0.003803,2023,SMP_24
TR_00262,DBCORP,26-Oct-2023,2023-10-26 16:42:00,27-Oct-2023,2023-10-30,270.71,2024-01-29,290.81,60,1.4551,5,Commercial & Industrial,Non-Financials,Small,Mid,5,9,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.07429999999999999,0.00585,0.00585,0.0684,0.033333,0.00228,2023,SMP_25
TR_00269,KPITTECH,30-Oct-2023,2023-10-30 16:54:00,31-Oct-2023,2023-11-01,1198.23,2024-01-31,1518.15,60,6.9393,5,Commercial & Industrial,Non-Financials,Large,Mid,1,20,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.267,0.00585,0.00585,0.2611,0.033333,0.008705,2023,SMP_26
TR_00275,AMBUJACEM,01-Nov-2023,2023-11-01 17:00:00,02-Nov-2023,2023-11-03,416.14,2024-02-02,550.97,60,1.6796,5,Commercial & Industrial,Non-Financials,Large,Mid,3,26,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.324,0.00585,0.00585,0.3181,0.033333,0.010605,2023,SMP_27
TR_00310,INFY,19-Apr-2024,2024-04-19 11:25:00,19-Apr-2024,2024-04-22,1308.5,2024-07-19,1685.34,60,4.6345,5,Commercial & Industrial,Non-Financials,Large,Early,1,1,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.28800000000000003,0.00585,0.00585,0.2821,0.033333,0.009405,2024,SMP_28
TR_00342,HERITGFOOD,23-Jul-2024,2024-07-23 14:29:00,23-Jul-2024,2024-07-24,575.94,2024-10-18,621.52,60,2.7091,5,Commercial & Industrial,Non-Financials,Small,Early,1,10,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.0791,0.00585,0.00585,0.0733,0.033333,0.002443,2024,SMP_29
TR_00349,KEI,29-Jul-2024,2024-07-29 18:17:00,30-Jul-2024,2024-07-31,4297.91,2024-10-25,3843.08,60,3.7965,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,8,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,-0.1058,0.00585,0.00585,-0.1117,0.033333,-0.003722,2024,SMP_30
TR_00356,ASTERDM,01-Aug-2024,2024-08-01 13:24:00,01-Aug-2024,2024-08-02,360.89,2024-10-29,424.44,60,71.5925,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,17,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.1761,0.00585,0.00585,0.1703,0.033333,0.005675,2024,SMP_31
TR_00362,GPPL,07-Aug-2024,2024-08-07 19:06:00,08-Aug-2024,2024-08-09,205.41,2024-11-05,172.77,60,1.9223,5,Commercial & Industrial,Non-Financials,Mid,Mid,3,23,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.1589,0.00585,0.00585,-0.16469999999999999,0.033333,-0.005492,2024,SMP_32
TR_00363,EICHERMOT,08-Aug-2024,2024-08-08 18:58:00,09-Aug-2024,2024-08-12,4688.47,2024-11-06,4803.9,60,2.8414,5,Commercial & Industrial,Non-Financials,Large,Mid,1,24,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.0246,0.00585,0.00585,0.018799999999999997,0.033333,0.000626,2024,SMP_33
TR_00383,BEL,25-Oct-2024,2024-10-25 13:54:00,25-Oct-2024,2024-10-28,273.0,2025-01-23,270.29,60,2.2607,5,Commercial & Industrial,Non-Financials,Large,Early,3,14,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,-0.009899999999999999,0.00585,0.00585,-0.0158,0.033333,-0.000526,2024,SMP_34
TR_00403,KEI,21-Jan-2025,2025-01-21 19:07:00,22-Jan-2025,2025-01-23,4108.36,2025-04-24,2976.98,60,2.1712,5,Commercial & Industrial,Non-Financials,Mid,Early,1,4,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.2754,0.00585,0.00585,-0.2812,0.033333,-0.009374,2025,SMP_35
TR_00412,SIS,29-Jan-2025,2025-01-29 11:30:00,29-Jan-2025,2025-01-30,318.51,2025-05-02,319.1,60,1.5934,5,Commercial & Industrial,Non-Financials,Small,Mid,2,13,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.0018,0.00585,0.00585,-0.004,0.033333,-0.000133,2025,SMP_36
TR_00416,ASAHIINDIA,30-Jan-2025,2025-01-30 12:37:00,30-Jan-2025,2025-01-31,645.29,2025-05-05,733.45,60,2.6471,5,Commercial & Industrial,Non-Financials,Small,Mid,3,17,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.1366,0.00585,0.00585,0.1308,0.033333,0.004359,2025,SMP_37
TR_00443,VBL,30-Apr-2025,2025-04-30 17:01:47,02-May-2025,2025-05-05,530.31,2025-07-28,484.68,60,2.6308,5,Commercial & Industrial,Non-Financials,Large,Mid,1,14,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.0861,0.00585,0.00585,-0.0919,0.033333,-0.003064,2025,SMP_38
TR_00450,APLAPOLLO,07-May-2025,2025-05-07 20:02:42,08-May-2025,2025-05-09,1604.3,2025-08-01,1582.46,60,1.7459,5,Commercial & Industrial,Non-Financials,Mid,Mid,1,21,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.013600000000000001,0.00585,0.00585,-0.0195,0.033333,-0.000649,2025,SMP_39
TR_00465,DALBHARAT,22-Jul-2025,2025-07-22 19:20:01,23-Jul-2025,2025-07-24,2239.22,2025-10-21,2174.93,60,1.7876,5,Commercial & Industrial,Non-Financials,Mid,Early,2,6,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.0287,0.00585,0.00585,-0.0346,0.033333,-0.001152,2025,SMP_40
TR_00466,PERSISTENT,23-Jul-2025,2025-07-23 20:30:00,24-Jul-2025,2025-07-25,5137.66,2025-10-23,5794.91,60,5.8084,5,Commercial & Industrial,Non-Financials,Large,Early,1,7,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.12789999999999999,0.00585,0.00585,0.12210000000000001,0.033333,0.004069,2025,SMP_41
TR_00504,LT,29-Oct-2025,2025-10-29 19:55:10,30-Oct-2025,2025-10-31,3962.4,2026-01-28,3757.3,60,2.356,5,Commercial & Industrial,Non-Financials,Large,Mid,2,15,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.0518,0.00585,0.00585,-0.0576,0.033333,-0.00192,2025,SMP_42
TR_00517,CHAMBLFERT,04-Nov-2025,2025-11-04 21:48:44,06-Nov-2025,2025-11-07,473.16,2026-02-03,424.98,60,2.2075,5,Commercial & Industrial,Non-Financials,Mid,Mid,3,28,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,-0.1018,0.00585,0.00585,-0.10769999999999999,0.033333,-0.003589,2025,SMP_43
TR_00522,HSCL,16-Jan-2026,2026-01-16 17:10:44,19-Jan-2026,2026-01-20,461.37,2026-04-22,522.39,60,6.9029,5,Commercial & Industrial,Non-Financials,Mid,Early,1,3,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.1323,0.00585,0.00585,0.1264,0.033333,0.004213,2026,SMP_44
TR_00524,HINDZINC,19-Jan-2026,2026-01-19 18:12:15,20-Jan-2026,2026-01-21,669.76,2026-04-23,581.48,60,2.4992,5,Commercial & Industrial,Non-Financials,Large,Early,1,5,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.1318,0.00585,0.00585,-0.1377,0.033333,-0.004589,2026,SMP_45
TR_00531,LAURUSLABS,23-Jan-2026,2026-01-23 19:33:06,27-Jan-2026,2026-01-28,1009.0,2026-04-29,1105.0,60,1.746,5,Commercial & Industrial,Non-Financials,Large,Mid,2,12,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.0951,0.00585,0.00585,0.08929999999999999,0.033333,0.002977,2026,SMP_46
TR_00538,BEL,28-Jan-2026,2026-01-28 18:32:21,29-Jan-2026,2026-01-30,444.35,2026-05-01,430.72,60,2.7192,5,Commercial & Industrial,Non-Financials,Large,Mid,4,19,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.030699999999999998,0.00585,0.00585,-0.0365,0.033333,-0.001218,2026,SMP_47
TR_00543,POWERGRID,30-Jan-2026,2026-01-30 23:35:13,02-Feb-2026,2026-02-03,272.99,2026-05-05,319.45,60,1.6386,5,Commercial & Industrial,Non-Financials,Large,Mid,2,24,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.1702,0.00585,0.00585,0.16440000000000002,0.033333,0.005479,2026,SMP_48
TR_00551,BAJAJCON,17-Apr-2026,2026-04-17 20:41:19,20-Apr-2026,2026-04-21,470.0,2026-07-14,590.5,60,2.9924,5,Commercial & Industrial,Non-Financials,Mid,Early,2,2,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.2564,0.00585,0.00585,0.2505,0.033333,0.008351,2026,SMP_49
TR_00561,PHOENIXLTD,27-Apr-2026,2026-04-27 21:11:36,28-Apr-2026,2026-04-29,1781.34,2026-07-23,2032.91,60,2.7979,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,12,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.1412,0.00585,0.00585,0.1354,0.033333,0.004512,2026,SMP_50
