trade_id,symbol,filing_date,filing_timestamp,signal_date,entry_date,entry_price,exit_date,exit_price,holding_days,SUE,SUE_bucket,sector,sector_group,size_group,filing_timing_group,priority_rank,slot,entry_reason,exit_reason,gross_return,transaction_cost,cost,net_return,portfolio_weight,portfolio_pnl,entry_year,sample_id
TR_00003,HINDALCO,11-Aug-2021,2021-08-11 17:24:00,12-Aug-2021,2021-08-13,422.84,2021-11-11,438.83,60,3.0824,5,Commercial & Industrial,Non-Financials,Large,Mid,2,3,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.0378,0.00585,0.00585,0.032,0.033333,0.001066,2021,SMP_01
TR_00007,CUMMINSIND,12-Aug-2021,2021-08-12 16:38:00,13-Aug-2021,2021-08-16,914.81,2021-11-12,858.83,60,3.8741,5,Commercial & Industrial,Non-Financials,Large,Mid,1,7,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.061200000000000004,0.00585,0.00585,-0.067,0.033333,-0.002235,2021,SMP_02
TR_00011,SUNDRMFAST,12-Aug-2021,2021-08-12 16:46:00,13-Aug-2021,2021-08-16,753.74,2021-11-12,793.16,60,1.9948,5,Commercial & Industrial,Non-Financials,Small,Mid,5,11,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.052300000000000006,0.00585,0.00585,0.0464,0.033333,0.001548,2021,SMP_03
TR_00030,PERSISTENT,28-Oct-2021,2021-10-28 12:06:00,28-Oct-2021,2021-10-29,1924.87,2022-01-25,1995.19,60,2.2918,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,30,SUE_RANK_PRIORITY,60D_HOLD_COMPLETE,0.0365,0.00585,0.00585,0.030699999999999998,0.033333,0.001023,2021,SMP_04
TR_00056,GSFC,29-Jan-2022,2022-01-29 14:37:00,31-Jan-2022,2022-02-01,113.53,2022-05-02,148.2,60,1.513,5,Commercial & Industrial,Non-Financials,Mid,Mid,2,26,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.3053,0.00585,0.00585,0.2995,0.033333,0.009983,2022,SMP_05
TR_00071,HCLTECH,21-Apr-2022,2022-04-21 20:37:00,22-Apr-2022,2022-04-25,906.55,2022-07-19,755.98,60,2.5514,5,Commercial & Industrial,Non-Financials,Large,Early,1,11,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.1661,0.00585,0.00585,-0.17190000000000003,0.033333,-0.005731,2022,SMP_06
TR_00077,IEX,27-Apr-2022,2022-04-27 18:41:00,28-Apr-2022,2022-04-29,200.31,2022-07-25,147.06,60,2.3128,5,Commercial & Industrial,Non-Financials,Large,Mid,2,17,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.2659,0.00585,0.00585,-0.2717,0.033333,-0.009057,2022,SMP_07
TR_00082,CDSL,29-Apr-2022,2022-04-29 19:23:00,02-May-2022,2022-05-04,614.41,2022-07-27,532.62,60,2.2013,5,Commercial & Industrial,Non-Financials,Large,Mid,2,22,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.1331,0.00585,0.00585,-0.139,0.033333,-0.004632,2022,SMP_08
TR_00083,MPHASIS,29-Apr-2022,2022-04-29 17:57:00,02-May-2022,2022-05-04,2460.36,2022-07-27,2018.83,60,2.1902,5,Commercial & Industrial,Non-Financials,Large,Mid,3,23,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,-0.1795,0.00585,0.00585,-0.18530000000000002,0.033333,-0.006177,2022,SMP_09
TR_00087,ERIS,04-May-2022,2022-05-04 12:46:00,04-May-2022,2022-05-05,655.62,2022-07-28,664.47,60,1.551,5,Commercial & Industrial,Non-Financials,Small,Mid,4,27,Q5_SUE_SIGNAL_NON_FINANCIAL,60D_HOLD_COMPLETE,0.013500000000000002,0.00585,0.00585,0.0077,0.033333,0.000255,2022,SMP_10
