symbol,period_end,event_day,pat_current,pat_prior_yoy,yoy_diff_reconstructed,prior_yoy_count,sd_reconstructed,sue,sue_reconstructed,sue_diff,status
SIEMENS,2026-03-31,2026-06-04,3704000000.0,8312000000.0,-4608000000.0,8,2244714725.7781205,-2.052822101214958,-2.052822101214958,0.0,EXACT_MATCH
VOLTAS,2022-06-30,2022-08-03,1095200000.0,1224400000.0,-129200000.0,8,563682672.7297144,-0.2292069745098433,-0.22920697450984331,2.7755575615628914e-17,EXACT_MATCH
TECHM,2024-12-31,2025-01-20,9888032000.0,5237640000.0,4650392000.0,8,5548645516.354688,0.8381130108767849,0.8381130108767849,0.0,EXACT_MATCH
KEC,2022-12-31,2023-02-01,176010000.0,936100000.0,-760090000.0,8,430115452.7316723,-1.7671766851729052,-1.7671766851729052,0.0,EXACT_MATCH
SOBHA,2023-09-30,2023-11-07,149460000.0,192000000.0,-42540000.0,8,183803810.44938728,-0.2314424270965477,-0.23144242709654778,8.326672684688674e-17,EXACT_MATCH
GLAXO,2022-06-30,2022-07-26,1186800000.0,1210800000.0,-24000000.0,8,5362339793.088832,-0.0044756581876687,-0.004475658187668753,5.377642775528102e-17,EXACT_MATCH
ASTRAL,2024-09-30,2024-11-08,1087000000.0,1317000000.0,-230000000.0,8,449499086.28542125,-0.5116806841604021,-0.5116806841604021,0.0,EXACT_MATCH
EMAMILTD,2021-12-31,2022-02-04,2195200000.0,2089600000.0,105600000.0,7,646558666.3618538,0.1633262463160609,0.16332624631606094,2.7755575615628914e-17,EXACT_MATCH
AVANTIFEED,2026-03-31,2026-05-29,1388554000.0,1571918000.0,-183364000.0,8,160194878.40306076,-1.1446308510478358,-1.1446308510478358,0.0,EXACT_MATCH
HAL,2026-03-31,2026-05-15,41960400000.0,39766300000.0,2194100000.0,8,5413288847.8097515,0.4053173702134416,0.40531737021344166,5.551115123125783e-17,EXACT_MATCH
CERA,2022-12-31,2023-02-03,568888000.0,444873000.0,124015000.0,8,84632140.46811226,1.4653416457867614,1.4653416457867614,0.0,EXACT_MATCH
PIIND,2025-09-30,2025-11-12,4093000000.0,5082000000.0,-989000000.0,8,799469277.083241,-1.2370706771975493,-1.2370706771975493,0.0,EXACT_MATCH
CESC,2025-12-31,2026-02-09,3040000000.0,3730000000.0,-690000000.0,8,292916370.3175362,-2.35562115989627,-2.35562115989627,0.0,EXACT_MATCH
BDL,2023-09-30,2023-11-06,1470933000.0,758150000.0,712783000.0,8,933670375.9366654,0.7634203872913184,0.7634203872913184,0.0,EXACT_MATCH
STARCEMENT,2026-06-30,2026-08-10,739090000.0,981646000.0,-242556000.0,8,573030693.103158,-0.4232862269322363,-0.42328622693223633,5.551115123125783e-17,EXACT_MATCH
HAL,2021-09-30,2021-11-12,8467400000.0,6151900000.0,2315500000.0,7,2713001591.9817,0.853482728076342,0.853482728076342,0.0,EXACT_MATCH
BHARTIARTL,2025-09-30,2025-11-04,86508000000.0,41534000000.0,44974000000.0,8,54428293280.504135,0.8262981859126087,0.8262981859126087,0.0,EXACT_MATCH
MFSL,2025-12-31,2026-02-12,447600000.0,698100000.0,-250500000.0,8,806667743.6041611,-0.3105367755016153,-0.31053677550161535,5.551115123125783e-17,EXACT_MATCH
IFBIND,2023-12-31,2024-01-29,174500000.0,-11400000.0,185900000.0,8,352764700.00756675,0.526980165521132,0.526980165521132,0.0,EXACT_MATCH
GPPL,2025-03-31,2025-06-03,1123590000.0,658359000.0,465231000.0,8,263635655.1327378,1.7646740527784872,1.7646740527784872,0.0,EXACT_MATCH
SJVN,2025-12-31,2026-02-11,2243100000.0,1487500000.0,755600000.0,8,1033745838.3920379,0.7309340187287372,0.7309340187287372,0.0,EXACT_MATCH
ONGC,2021-12-31,2022-02-14,116366700000.0,37635300000.0,78731400000.0,8,95408736041.5776,0.8252011636092749,0.8252011636092749,0.0,EXACT_MATCH
