N,M,n,medK,top,spread,universe,top_vs_uni,bot_vs_uni,folds_top_pos,folds_botvu_neg,bot_vs_uni_ex_worst
20,20,255,20,0.004451596554064711,0.0059175378731392714,0.0011824991488001229,0.0032690974052645874,-0.002648440467874683,0.6818181818181818,0.5454545454545454,-0.0018513901191799516
20,40,254,20,0.007419161591555011,0.009350831322917409,0.0028830432787590723,0.00453611831279594,-0.004814713010121467,0.5909090909090909,0.6818181818181818,-0.0030596947738276946
20,60,253,20,0.00823179508503463,0.009966432598333729,0.004200569974160882,0.0040312251108737505,-0.00593520748745998,0.5909090909090909,0.6818181818181818,-0.0033989157731086107
20,90,252,20,0.012301540078397585,0.013621483593540658,0.008190596615172942,0.004110943463224646,-0.009510540130316015,0.7272727272727273,0.8181818181818182,-0.007529798304384674
40,20,255,20,0.0035554247200162052,0.004110224929279395,0.0011673174912926636,0.0023881072287235427,-0.001722117700555852,0.7272727272727273,0.5909090909090909,-0.0006270385672872566
40,40,254,20,0.005900582309224186,0.00672121985810497,0.002801596243934224,0.0030989860652899633,-0.0036222337928150075,0.6818181818181818,0.6818181818181818,-0.00172386152369771
40,60,253,20,0.007340043562240123,0.007728401555193039,0.004044785296787075,0.0032952582654530477,-0.00443314328973999,0.5909090909090909,0.5,-0.0018773046921970698
40,90,252,20,0.013906186681542228,0.01173200757523523,0.008103653941346843,0.005802532740195387,-0.005929474835039844,0.6363636363636364,0.5454545454545454,-0.0036857501806606395
60,20,254,20,0.002909895982066328,0.003804843094929031,0.0011499016686698671,0.0017599943133964613,-0.002044848781532569,0.5909090909090909,0.5454545454545454,-0.0012270274872517879
60,40,253,20,0.005731226862372732,0.0070831999153824175,0.00261007870845438,0.0031211481539183497,-0.003962051761464069,0.5454545454545454,0.5909090909090909,-0.0024693663329747994
60,60,252,20,0.008137773456307073,0.008386017305355624,0.0038413080197986617,0.004296465436508412,-0.004089551868847211,0.6363636363636364,0.5454545454545454,-0.002325755501755606
60,90,251,20,0.014243136882334213,0.012649129127885772,0.007927146045067881,0.0063159908372663305,-0.006333138290619442,0.6818181818181818,0.6363636363636364,-0.004371397838358159
90,20,252,20,0.0022498940222236727,0.00317763971793927,0.0008425744174081508,0.001407319604815522,-0.001770320113123748,0.5,0.5454545454545454,-0.0008919932895058649
90,40,251,20,0.004290304213659693,0.005366066835131129,0.0023116735636570882,0.001978630650002605,-0.003387436185128524,0.5454545454545454,0.6818181818181818,-0.0022394389830248185
90,60,250,20,0.006409203089338934,0.007841950416069866,0.0036621304499102497,0.0027470726394286855,-0.005094877776641182,0.6363636363636364,0.6818181818181818,-0.003638881671736218
90,90,249,20,0.013696304721465238,0.014768271639788756,0.007796706913324771,0.005899597808140469,-0.008868673831648289,0.6363636363636364,0.7727272727272727,-0.0075089298457669314
