N,M,n_dates,top,middle,bottom,spread,top_net,top_hit,spread_hit,monotonic,n_folds,folds_top_pos,folds_spread_pos,top_ex_best_fold,spread_ex_best_fold
20,20,255,0.004148079283859662,0.0010076857683322083,-0.0011326210058630686,0.0052807002897227295,0.00014807928385966208,0.5607843137254902,0.5647058823529412,True,22,0.6363636363636364,0.5909090909090909,0.0029498564675457836,0.0034595936950784236
20,40,254,0.006201645719794538,0.0038667450171290547,-0.000825344937512477,0.0070269906573070156,0.0022016457197945377,0.5551181102362205,0.5748031496062992,True,22,0.6363636363636364,0.6363636363636364,0.004224009583094813,0.004440223472061312
20,60,253,0.007572003566604236,0.006035136571555855,-0.0003486984295789525,0.00792070199618319,0.0035720035666042356,0.5612648221343873,0.5652173913043478,True,22,0.6363636363636364,0.6818181818181818,0.0061174763702682025,0.004314649933764884
20,90,252,0.011828226343004754,0.013364243099391977,0.00013713120223374342,0.011691095140771013,0.007828226343004754,0.5753968253968254,0.5793650793650794,False,22,0.7727272727272727,0.7272727272727273,0.009114212006921162,0.008161293135329739
40,20,255,0.003426946360032631,0.0014386329505704854,-0.000915387664095821,0.004342334024128452,-0.000573053639967369,0.5490196078431373,0.5490196078431373,True,22,0.6818181818181818,0.6818181818181818,0.0029591425180416136,0.0031153049113457204
40,40,254,0.005137598341230521,0.004793868127161122,-0.0009987931013636531,0.006136391442594173,0.0011375983412305205,0.5511811023622047,0.562992125984252,True,22,0.6818181818181818,0.5454545454545454,0.004118235923522532,0.0032185741046503206
40,60,253,0.006834223917262513,0.006888241277578343,-0.0009665066042279347,0.007800730521490446,0.0028342239172625128,0.525691699604743,0.5612648221343873,False,22,0.6363636363636364,0.6363636363636364,0.004949093188575439,0.003353569324257817
40,90,252,0.014071872526536352,0.010741370932554653,0.0005021180117667475,0.013569754514769602,0.010071872526536352,0.5912698412698413,0.5952380952380952,True,22,0.6818181818181818,0.6818181818181818,0.01123656134302615,0.009653950527431858
60,20,254,0.0021822829798785635,0.0022464955227969935,-0.0006542577341557374,0.0028365407140343,-0.0018177170201214366,0.5118110236220472,0.5354330708661418,False,22,0.5909090909090909,0.5909090909090909,0.0016274832223537445,0.0015302646087943983
60,40,253,0.004566640164316318,0.004751409480896349,-0.0009311307020045778,0.005497770866320896,0.0005666401643163177,0.5612648221343873,0.5573122529644269,False,22,0.6363636363636364,0.5454545454545454,0.003619205020372349,0.0029451326148779117
60,60,252,0.006736858581941951,0.006005953700511473,-0.0003444780500652354,0.007081336632007185,0.0027368585819419512,0.5912698412698413,0.5595238095238095,True,22,0.5909090909090909,0.6363636363636364,0.005041187361667339,0.003786072782092071
60,90,251,0.012899689423078262,0.010394524466688222,0.001767330327685782,0.01113235909539248,0.008899689423078262,0.6095617529880478,0.5816733067729084,True,22,0.7272727272727273,0.6818181818181818,0.010808929793294989,0.00790761689764453
90,20,252,0.002115438996220351,0.0018351741293345578,-0.001060685845242428,0.003176124841462779,-0.0018845610037796492,0.5277777777777778,0.5277777777777778,True,22,0.5,0.6818181818181818,0.0013521979675384693,0.0019937633502933897
90,40,251,0.004118636621199814,0.004138682810603229,-0.0008215055748054505,0.004940142196005265,0.0001186366211998139,0.5179282868525896,0.5378486055776892,False,22,0.5909090909090909,0.6363636363636364,0.0030057559084893646,0.0028461999967440608
90,60,250,0.006387659040318755,0.0062664274687431526,-0.0008998149418942467,0.007287473982213,0.0023876590403187547,0.552,0.588,True,22,0.6818181818181818,0.6818181818181818,0.004920482454449878,0.00419737929910588
90,90,249,0.013926784862359978,0.011005196571292154,-0.00018442900681132974,0.014111213869171307,0.009926784862359978,0.6385542168674698,0.5863453815261044,True,22,0.7272727272727273,0.6363636363636364,0.01208176818631268,0.011203065298658388
