year,n,excluded,passed
2005,7,-0.002339993186983102,0.0009749971612429588
2006,12,-0.01219481689628471,0.004975912715416422
2007,12,-0.030558160299732007,0.014123147064415162
2008,12,-0.029317815647067424,0.013531299529415744
2009,12,0.010141181818050335,-0.004680545454484765
2010,12,-0.007573881964651784,0.0034956378298392848
2011,12,8.601449059067803e-05,-3.9698995657223964e-05
2012,12,-0.001432800121976486,0.0006612923639891533
2013,12,-0.0024415623626677907,0.0011268749366158985
2014,12,0.016988218766405824,-0.007840716353725782
2015,12,0.0005675378170843286,-0.0002619405309619985
2016,12,-0.002958667323346015,0.0013655387646212328
2017,12,0.0005077981137752291,-0.0002343683602039516
2018,12,-0.008711366323851761,0.003882892208688671
2019,12,0.009474345808425084,-0.004553550009732237
2020,12,0.0010165823215957926,-0.0006367956120006298
2021,12,0.003780498401176309,-0.0017358813650351658
2022,12,-0.02169042784872525,0.00948956218381729
2023,12,-0.025300731168813206,0.011069069886355776
2024,12,0.003464021042979229,-0.0015155092063034146
2025,12,0.006500431652875297,-0.0028439388481329396
2026,5,0.007675704454919134,-0.003358120699027128
