year,n,excluded,passed
2005,5,-0.000696678790998611,0.00029028282958274836
2006,12,-0.006188946193582003,0.0026310510711890773
2007,12,-0.02105106152862019,0.009736756469860556
2008,12,-0.005809387761022654,0.002681255889702769
2009,12,-0.0022143528939374594,0.0010220090279711347
2010,12,-0.003982211125447774,0.00183794359636051
2011,12,-0.002460637677828295,0.001135678928228449
2012,12,0.0005461230046409186,-0.00025205677137273263
2013,12,-0.007155375795227715,0.0033024811362589433
2014,12,0.003835941711757366,-0.0017704346361957111
2015,12,0.0025752216608816623,-0.0011885638434838454
2016,12,-0.0016595337542391825,0.0007659386558026981
2017,12,0.001440197269098236,-0.000664706431891495
2018,12,-0.0054096840629684236,0.0024075271316356
2019,12,0.0015100862997147824,-0.0006471798427349073
2020,12,0.0035027491234235647,-0.001878370613525267
2021,12,0.0025340520229030885,-0.0010924138716210611
2022,12,-0.0022504519593535403,0.0009845727322171753
2023,12,-0.005589537499408606,0.0024454226559912653
2024,12,0.0013936086071076853,-0.0006097037656096128
2025,12,0.002174632218232986,-0.0009514015954769305
2026,7,0.004166513589306004,-0.0018228496953213782
