N,M,n,medK,excluded,passed,gap,excl_raw,univ_drift,folds,folds_excl_neg,excl_ex_worst,obs_hit
20,20,255,19,-0.0024257483841341153,0.0011439550766573754,0.0035697034607914905,-0.0013559071131451278,0.0010698412709889873,22,0.5454545454545454,-0.0017018568240017233,0.5647058823529412
20,40,254,19,-0.00466855490789866,0.002201197455373024,0.006869752363271683,-0.0019683927984046577,0.0027001621094940023,22,0.5454545454545454,-0.0030333444137351367,0.562992125984252
20,60,253,19,-0.005622835484004533,0.0026144526421484544,0.008237288126152988,-0.0016919690962885114,0.0039308663877160215,22,0.6818181818181818,-0.003309939114675768,0.5691699604743083
20,90,252,19,-0.00974309689362625,0.004425426878646076,0.014168523772272327,-0.0017747652067862847,0.007968331686839965,22,0.7272727272727273,-0.008015448269930232,0.6150793650793651
40,20,255,19,-0.0018605672655491348,0.0008531518623201657,0.0027137191278693005,-0.000805909907787889,0.001054657357761245,22,0.5454545454545454,-0.0007081551517992054,0.5450980392156862
40,40,254,19,-0.004069545037818846,0.0018110357131746282,0.005880580750993474,-0.0014523902496129553,0.002617154788205891,22,0.6818181818181818,-0.0022803222764286625,0.5590551181102362
40,60,253,19,-0.00456243528351429,0.002015733448902259,0.00657816873241655,-0.0007934220141634547,0.0037690132693508336,22,0.5,-0.0020967202051082913,0.5612648221343873
40,90,252,19,-0.006093627653884245,0.0026623804026941643,0.00875600805657841,0.0017827543447993322,0.007876381998683577,22,0.5454545454545454,-0.003969237641457367,0.5873015873015873
60,20,254,19,-0.0019599106690028783,0.000900755598389928,0.0028606662673928062,-0.0009177975022887416,0.0010421131667141365,22,0.5454545454545454,-0.0011388575005802193,0.5393700787401575
60,40,253,19,-0.00406450017400283,0.001816366739445666,0.005880866913448496,-0.0016304915917371124,0.002434008582265718,22,0.5909090909090909,-0.002731885871940252,0.5691699604743083
60,60,252,19,-0.004181923121921374,0.0018356101968127119,0.006017533318734085,-0.0006167726998259865,0.0035651504220953847,22,0.5,-0.0025599870550709666,0.5515873015873016
60,90,251,19,-0.006259855289496681,0.0027455865190550276,0.009005441808551708,0.00143864341450928,0.007698498704005961,22,0.5909090909090909,-0.004498065594471568,0.5896414342629482
90,20,252,19,-0.0020056373763347526,0.0009025441958743789,0.0029081815722091318,-0.0012928647981312457,0.0007127725782035064,22,0.5454545454545454,-0.0009398891431879986,0.5436507936507936
90,40,251,19,-0.0031073075977660694,0.0013706919795017744,0.004477999577267844,-0.001013821663481666,0.0020934859342844033,22,0.6363636363636364,-0.0016867135807691659,0.5298804780876494
90,60,250,19,-0.004412552835267645,0.0019570406435559075,0.006369593478823553,-0.0010532574868578855,0.0033592953484097585,22,0.6363636363636364,-0.0024254349220765403,0.548
90,90,249,19,-0.00844763250859849,0.0037646957220534728,0.012212328230651963,-0.000934854272250121,0.007512778236348367,22,0.7272727272727273,-0.0062022997006064085,0.6104417670682731
