year,n,top,middle,bottom,spread
2005,5,0.08662511833408779,-0.046401295534292196,0.0010244421459879721,0.08560067618809981
2006,12,0.020949135705389352,-0.004299537605154541,-0.0001851274821361148,0.021134263187525464
2007,12,0.0602456809488968,0.031581655839900365,-0.027593050615330076,0.08783873156422688
2008,12,-0.020229462042419225,-0.019036319254875367,0.00315924096882342,-0.023388703011242646
2009,12,0.02153380780860556,0.05170822098469671,0.09077789835584833,-0.06924409054724279
2010,12,0.023940521662870657,0.014908527940947916,-0.011983019241666474,0.03592354090453713
2011,12,0.01705306814263675,0.008573613294298869,-0.010293580653211265,0.027346648795848014
2012,12,0.00743973101178978,0.010795552679225573,-0.008058532547152003,0.01549826355894178
2013,12,0.015882692498776694,0.006438219395194372,-0.04762833963525617,0.06351103213403286
2014,12,-0.0036234403444516667,0.04660559571365489,0.022998960427806633,-0.0266224007722583
2015,12,0.013050418913925929,-0.015152699101960751,-0.013508909280567916,0.026559328194493845
2016,12,0.025933545357986292,0.012452909728651866,0.006228970156316227,0.019704575201670068
2017,12,-0.002796876766085518,0.0027794457884303693,0.004263244070349917,-0.007060120836435435
2018,12,-0.021011222315462555,-0.0186661304748962,-0.03249665726731951,0.011485434951856957
2019,12,-0.012295003193074111,-0.012891034288090722,-0.04806568734797057,0.03577068415489646
2020,12,-0.006938079725318437,0.054029263930535094,0.03575255574771049,-0.042690635473028926
2021,12,0.018773124734919155,0.015435501913381026,0.023019694928259626,-0.004246570193340471
2022,12,0.01513359240488036,0.002421039478262772,-0.019319854931037998,0.03445344733591836
2023,12,0.07232782265795983,0.03298414599256063,0.015479069722742966,0.05684875293521685
2024,12,0.004063186023405861,0.005170779370501715,-0.0031564159432469555,0.007219601966652817
2025,12,0.003039670440634853,0.002126754859069295,0.006121558756485791,-0.0030818883158509375
2026,4,0.0012452179866999803,0.059178587427800244,0.030702687075164794,-0.029457469088464812
