year,n,top,middle,bottom,spread
2005,8,0.02931163056998676,0.00829078216141208,0.004249626223259766,0.025062004346726993
2006,12,0.013713269982545852,0.0034897595824321327,0.0023096451209553685,0.01140362486159048
2007,12,0.052957808250659794,0.035000995122669694,-0.02039393806449823,0.07335174631515802
2008,12,0.00189856964226356,-0.00664355641993727,-0.0331319482415029,0.03503051788376646
2009,12,0.07850783021983383,0.0426716909485503,0.044131338843073104,0.03437649137676074
2010,12,0.005640687000121626,0.023358788624101994,-0.003340625359664952,0.008981312359786576
2011,12,0.01416636458386495,0.00390766955836709,-0.0020743699676602882,0.01624073455152524
2012,12,0.005304632332728247,-0.0051729208440771555,0.012326250158541219,-0.007021617825812971
2013,12,0.017547275221255692,-0.0021012442661347747,-0.03953353531621615,0.05708081053747185
2014,12,0.004272987807703685,0.03496932815775236,0.028401123768111314,-0.024128135960407627
2015,12,-0.007310290721817922,0.0016099589198180903,-0.012305523098285595,0.004995232376467676
2016,12,0.016259558704416525,0.0217566832342757,0.0052700728034587585,0.010989485900957769
2017,12,0.005600560944258586,0.004744021167726184,-0.006379422644903691,0.01197998358916228
2018,12,-0.01538634711031147,-0.023444131473541404,-0.03448014414449931,0.019093797034187843
2019,12,-0.05108781743736252,-0.015404800967133788,-0.007180159430455938,-0.04390765800690658
2020,12,0.015474939851374506,0.04366686438430675,0.024553847225598405,-0.0090789073742239
2021,12,0.017147128768518875,0.029782556855002976,0.012181975629076287,0.00496515313944259
2022,12,0.0044266828486164206,0.0032033028848554718,-0.009395208781366756,0.013821891629983178
2023,12,0.059283989505954,0.036495486379556095,0.025011562487753315,0.034272427018200685
2024,12,-0.00960364795840245,0.003759739941854323,0.011921457467208747,-0.0215251054256112
2025,12,-0.005834009099154537,0.025403261955381982,-0.008281268800037505,0.002447259700882965
2026,4,0.017614478458124208,0.04220538970139008,0.031306624330150724,-0.013692145872026516
