date,year,n_sectors,top,bottom,middle,spread
2005-06-30,2005,20,0.08600581108483867,0.03289883601264402,-0.008774359811734023,0.05310697507219465
2005-07-29,2005,20,-0.0989206835866545,0.021589678899536186,0.0318042857072056,-0.12051036248619068
2005-08-31,2005,20,-0.012016618541224008,-0.012110231651347133,-0.03307559715594721,9.361311012312523e-05
2005-09-30,2005,20,0.08393212918669106,-0.008293935856669377,-0.06896072110818441,0.09222606504336044
2005-10-31,2005,20,0.11886906570145546,-0.06890396232555702,-0.0048131612866051665,0.18777302802701248
2005-11-30,2005,20,0.0927792908808844,0.055506756119654464,-0.0758692111938725,0.03727253476122993
2005-12-30,2005,20,0.11820220254529028,-0.013441138183382792,0.013505396466585912,0.13164334072867306
2006-01-31,2006,20,0.06499221230446366,-0.051260839341297014,-0.012472294776814968,0.11625305164576066
2006-02-28,2006,20,0.11115803156457466,-0.05673925781373015,-0.06496844463391827,0.1678972893783048
2006-03-31,2006,21,0.017775799954460023,-0.01036833971730736,-0.039143489481019235,0.028144139671767383
2006-04-29,2006,21,-0.047891076125824404,0.04514649127350756,-0.02212293120581085,-0.09303756739933197
2006-05-31,2006,21,-0.028134869350633047,0.04042954079129589,-0.034833516213802054,-0.06856441014192893
2006-06-30,2006,21,0.006801516716932632,0.04384666690236881,0.049745330594249335,-0.03704515018543618
2006-07-31,2006,21,0.08808314989523953,0.029681088638237547,0.024151247552122963,0.05840206125700199
2006-08-31,2006,21,0.06874375151808618,0.07072403838496087,-0.018017255595721014,-0.001980286866874695
2006-09-29,2006,21,0.040722754478059765,-0.042368304022741214,0.03580488648663586,0.08309105850080098
2006-10-31,2006,21,-0.03782299720213032,-0.04262761699541314,0.07777071509201404,0.0048046197932828175
2006-11-30,2006,21,-0.09389444221921216,-0.026792800868316386,0.05496087287128493,-0.06710164135089577
2006-12-29,2006,21,0.013549866469799181,-0.0325122428195105,0.005148410374548813,0.04606210928930968
2007-01-31,2007,21,0.020366755367409443,0.0023178931674774045,-0.012920239454858777,0.01804886219993204
2007-02-28,2007,21,0.03468332539689145,0.07614614426035267,-0.016837632628567762,-0.04146281886346122
2007-03-30,2007,22,-0.019355457140579894,0.12286111654261991,0.04556284355663849,-0.14221657368319982
2007-04-30,2007,22,0.058770418620180634,0.07789926357964654,0.002862841747415426,-0.0191288449594659
2007-05-31,2007,22,0.05288438036279227,-0.08635581613189557,0.037341455909542645,0.13924019649468783
2007-06-29,2007,22,0.09386629867669398,-0.237403410041557,0.11808297039902667,0.33126970871825095
2007-07-31,2007,22,0.19888273608545082,-0.14083945737254694,0.005320623513515782,0.33972219345799776
2007-08-31,2007,22,0.1567788658566665,-0.19333650140285602,0.1908580090746205,0.3501153672595225
2007-09-28,2007,22,0.10009319398770947,-0.09529512689750351,0.06602435148222485,0.19538832088521296
2007-10-31,2007,22,-0.013270266616197663,0.0901430557556329,0.012928477489997772,-0.10341332237183057
2007-11-30,2007,22,-0.03451750623589497,0.11148677486046907,-0.032434458121163565,-0.14600428109636404
2007-12-31,2007,22,-0.0575518889998014,0.11306141550078457,-0.04838867950372991,-0.17061330450058595
2008-01-31,2008,22,-0.0946998749658161,0.09070878160593752,-0.007264777094264041,-0.18540865657175362
2008-02-29,2008,22,0.041673595664934844,-0.04659709899818519,-0.002835557099963887,0.08827069466312004
2008-03-31,2008,22,0.06746929993403437,-0.025985828676842546,-0.04758226708395444,0.09345512861087692
2008-04-30,2008,22,0.06578626517227368,-0.0655994918993114,-0.021656441621801567,0.13138575707158506
2008-05-30,2008,22,-0.001333690292622853,-0.022038942345818966,-0.02799157023633994,0.020705252053196115
2008-06-30,2008,22,-0.058365539503360465,0.060272255639448935,-0.018900964670372375,-0.1186377951428094
2008-07-31,2008,22,0.0232754964454923,-0.017729207121591144,-0.04152835183281901,0.04100470356708344
2008-08-29,2008,22,0.05979545480062855,-0.1037765301217624,0.009187319260576338,0.16357198492239095
2008-09-30,2008,22,0.042789712188149705,-0.12473903419830565,-0.02020171664378484,0.16752874638645535
2008-10-31,2008,22,-0.06795712898363726,-0.0928054035816845,0.000227356947217483,0.02484827459804724
