year,n,excluded,passed
2005,8,-0.0016539379859763538,0.0006891408274901454
2006,12,-0.009156399592613147,0.004578199796306569
2007,12,-0.01453605809646801,0.006708949890677542
2008,12,0.004074000638809937,-0.001880307987143034
2009,12,-0.015391158309836464,0.0071036115276168375
2010,12,-0.011417815576587165,0.0052697610353479194
2011,12,0.002324238954763342,-0.0010727256714292358
2012,12,0.0019483723109695959,-0.0008992487589090454
2013,12,-0.008982910183765345,0.004145958546353236
2014,12,-0.007770111122545523,0.003586205133482548
2015,12,-0.0041993913206203005,0.0019381806095170619
2016,12,-0.00498336974538201,0.0023000168055609268
2017,12,0.00602767378682319,-0.0027820032862260896
2018,12,0.00312503374269062,-0.0014103957285739423
2019,12,0.011541546306893094,-0.005112218701585232
2020,12,0.0043899832882508365,-0.0019353022134479877
2021,12,0.0074852660821974155,-0.003218063025475634
2022,12,0.0007779145994762426,-0.00034033763727085487
2023,12,-0.0023892433073138646,0.001045293946949816
2024,12,-0.005685263754735461,0.0024873028926967644
2025,12,-0.008982476435229855,0.003929833440413062
2026,7,0.00232395410632657,-0.0010167299215178788
