N,M,n,medK,top,spread,universe,top_vs_uni,bot_vs_uni,folds_top_pos,folds_botvu_neg,bot_vs_uni_ex_worst
20,20,255,22,0.004148079283859662,0.0052807002897227295,0.001311715383459514,0.0028363639004001474,-0.002444336389322582,0.6363636363636364,0.5454545454545454,-0.0015893141506612338
20,40,254,22,0.006201645719794538,0.0070269906573070156,0.0030582810883115273,0.0031433646314830096,-0.003883626025824005,0.6363636363636364,0.6363636363636364,-0.002186753180840653
20,60,253,22,0.007572003566604236,0.00792070199618319,0.004441203873782932,0.0031307996928213043,-0.004789902303361884,0.6363636363636364,0.6363636363636364,-0.0022647212159482033
20,90,252,22,0.011828226343004754,0.011691095140771013,0.008553556260686893,0.003274670082317861,-0.00841642505845315,0.7727272727272727,0.7727272727272727,-0.00646125676924361
40,20,255,22,0.003426946360032631,0.004342334024128452,0.0012939512415202287,0.002132995118512402,-0.0022093389056160495,0.6818181818181818,0.5909090909090909,-0.0012625029116433417
40,40,254,22,0.005137598341230521,0.006136391442594173,0.002987451075381634,0.0021501472658488857,-0.003986244176745287,0.6818181818181818,0.6818181818181818,-0.002148569466570891
40,60,253,22,0.006834223917262513,0.007800730521490446,0.0043016624787907045,0.0025325614384718075,-0.005268169083018641,0.6363636363636364,0.6363636363636364,-0.002811174748411242
40,90,252,22,0.014071872526536352,0.013569754514769602,0.008463085080907536,0.005608787445628818,-0.007960967069140786,0.6818181818181818,0.6363636363636364,-0.005832376740241007
60,20,254,22,0.0021822829798785635,0.0028365407140343,0.0012849351672584164,0.0008973478126201466,-0.0019391929014141538,0.5909090909090909,0.6363636363636364,-0.001020926093927108
60,40,253,22,0.004566640164316318,0.005497770866320896,0.002814691417539067,0.001751948746777251,-0.003745822119543645,0.6363636363636364,0.5909090909090909,-0.0021172994751329876
60,60,252,22,0.006736858581941951,0.007081336632007185,0.004112405767941134,0.002624452814000819,-0.004456883818006367,0.5909090909090909,0.5454545454545454,-0.0025079371346506535
60,90,251,22,0.012899689423078262,0.01113235909539248,0.008326093854077196,0.004573595569001069,-0.0065587635263914135,0.7272727272727273,0.6363636363636364,-0.004446887277406493
90,20,252,22,0.002115438996220351,0.003176124841462779,0.0010015412229661773,0.0011138977732541727,-0.0020622270682086057,0.5,0.6363636363636364,-0.0011442107333484585
90,40,251,22,0.004118636621199814,0.004940142196005265,0.002556791712070227,0.001561844909129586,-0.003378297286875678,0.5909090909090909,0.6363636363636364,-0.0020119036406270434
90,60,250,22,0.006387659040318755,0.007287473982213,0.003988961317385443,0.002398697722933311,-0.004888776259279689,0.6818181818181818,0.6818181818181818,-0.0029577258838763727
90,90,249,22,0.013926784862359978,0.014111213869171307,0.008264445997336205,0.005662338865023774,-0.008448875004147535,0.7272727272727273,0.6818181818181818,-0.006158439650916138
