year,n,excluded,passed
2005,8,-0.019374130594060693,0.008072554414191947
2006,12,-0.0018908539695110433,0.0009454269847555376
2007,12,-0.04023245532896574,0.018568825536445736
2008,12,-0.02804619287429901,0.012944396711214905
2009,12,-0.016447524860293588,0.0075911653201354845
2010,12,-0.021459483788048992,0.009904377132945695
2011,12,-0.010957150420884127,0.005057146348100378
2012,12,0.006721793613786271,-0.0031023662832859768
2013,12,-0.03156018855110134,0.01456624086973908
2014,12,0.001015330256457286,-0.0004686139645187378
2015,12,-0.009537179298848326,0.0044017750610069245
2016,12,-0.008006406806992246,0.0036952646801502974
2017,12,-0.0014781119488650079,0.0006822055148607656
2018,12,-0.010363837521438568,0.0045180767380342025
2019,12,0.01340883616124896,-0.006461681888647507
2020,12,0.0018102115245435466,-0.0006698408153318711
2021,12,-0.0038152905569760216,0.0018827946048684617
2022,12,-0.014531693025927628,0.006357615698843331
2023,12,-0.017757531308244215,0.007768919947356837
2024,12,0.010355518904155954,-0.004530539520568227
2025,12,-0.01016984255324243,0.004449306117043566
2026,4,0.003759313950006337,-0.0016446998531277684
