year,n,top,middle,bottom,spread
2005,7,0.021583957538526533,-0.01708418562305714,-1.7861221898544645e-05,0.021601818760425075
2006,12,0.02187305118703588,0.007010134431649756,-0.004220371263959751,0.026093422450995635
2007,12,0.0362753307020286,0.02196267439574447,-0.02074904358824182,0.05702437429027043
2008,12,-0.0012922247782392187,-0.007308960950843705,-0.0388895316599746,0.03759730688173538
2009,12,0.02589351791730367,0.04411153234519044,0.044589207513588476,-0.018695689596284808
2010,12,0.011984313937047438,0.0071621673861713185,0.003228679332255532,0.008755634604791904
2011,12,0.010873962136320399,-0.002394778552141298,0.004245002074095546,0.006628960062224851
2012,12,0.007669593008574148,-0.002199143606231123,-0.003727465462216166,0.011397058470790313
2013,12,0.0022624135214722265,-0.013552825106664083,-0.013971921240163112,0.016234334761635338
2014,12,-0.023299574447592033,0.04127980401146919,0.03749388236492667,-0.06079345681251871
2015,12,-0.0017685976738712323,-0.009096575293110264,-0.004531269825254912,0.00276267215138368
2016,12,0.013868549764530282,0.007838891543085915,0.002626111460291174,0.011242438304239107
2017,12,-0.0038796116437220672,0.011467667539588396,-0.00273550403273227,-0.001144107610989797
2018,12,-0.004309798736788829,-0.022026300593482314,-0.029526936063281033,0.025217137326492205
2019,12,-0.025883908927666083,-0.010648926230075908,-0.0018894789412089417,-0.02399442998645714
2020,12,-0.0013754003006734086,0.024668153253215242,0.005498079273252879,-0.006873479573926287
2021,12,0.016659163267025146,0.0005175325993022617,0.01085727474683891,0.005801888520186239
2022,12,0.0035650202916702213,0.0045678594134966185,-0.017256873661208663,0.020821893952878884
2023,12,0.04336098797958657,0.02552547992774132,-0.0030585142839268283,0.0464195022635134
2024,12,0.0009988296151815436,-0.005299693162137573,0.0013336825668337805,-0.00033485295165223684
2025,12,-0.003705497576463922,-0.0018941159377870347,0.009221727050852859,-0.012927224627316783
2026,5,-0.002128154206685181,0.03456054058402227,0.03417514472152757,-0.036303298928212754
