N,M,n,medK,top,spread,universe,top_vs_uni,bot_vs_uni,folds_top_pos,folds_botvu_neg,bot_vs_uni_ex_worst
20,20,255,19,0.004472513248088655,0.005828420361233783,0.0010698412709889875,0.0034026719770996676,-0.0024257483841341153,0.7272727272727273,0.5454545454545454,-0.001701856824001724
20,40,254,19,0.007521975301834541,0.0094903681002392,0.0027001621094940053,0.004821813192340535,-0.004668554907898662,0.6363636363636364,0.5454545454545454,-0.003033344413735139
20,60,253,19,0.008645297537174645,0.010337266633463156,0.00393086638771602,0.004714431149458622,-0.005622835484004533,0.5909090909090909,0.6818181818181818,-0.003309939114675768
20,90,252,19,0.0131253495046361,0.014900114711422382,0.007968331686839965,0.005157017817796132,-0.009743096893626253,0.7727272727272727,0.7272727272727273,-0.008015448269930234
40,20,255,19,0.003602481169547857,0.004408391077335748,0.0010546573577612452,0.0025478238117866126,-0.0018605672655491342,0.7272727272727273,0.5454545454545454,-0.0007081551517992056
40,40,254,19,0.00559866999775272,0.007051060247365676,0.002617154788205893,0.0029815152095468275,-0.004069545037818848,0.6818181818181818,0.6818181818181818,-0.002280322276428664
40,60,253,19,0.006932078004878038,0.007725500019041494,0.0037690132693508323,0.0031630647355272044,-0.004562435283514289,0.5454545454545454,0.5,-0.0020967202051082904
40,90,252,19,0.01402303461863201,0.012240280273832678,0.007876381998683579,0.006146652619948434,-0.006093627653884245,0.5909090909090909,0.5454545454545454,-0.003969237641457368
60,20,254,19,0.002710541150303526,0.0036283386525922676,0.001042113166714137,0.0016684279835893895,-0.001959910669002878,0.5,0.5454545454545454,-0.001138857500580219
60,40,253,19,0.005021039954137273,0.006651531545874387,0.0024340085822657192,0.0025870313718715553,-0.0040645001740028325,0.6363636363636364,0.5909090909090909,-0.0027318858719402534
60,60,252,19,0.007295308069609032,0.007912080769435021,0.0035651504220953843,0.003730157647513648,-0.004181923121921374,0.6363636363636364,0.5,-0.002559987055070965
60,90,251,19,0.013165056308872746,0.011726412894363467,0.007698498704005961,0.005466557604866784,-0.006259855289496682,0.6818181818181818,0.5909090909090909,-0.004498065594471569
90,20,252,19,0.0024852453779212005,0.0037781101760524464,0.000712772578203507,0.0017724727997176933,-0.0020056373763347526,0.5,0.5454545454545454,-0.000939889143187999
90,40,251,19,0.0051005927327320705,0.0061144143962137375,0.002093485934284404,0.0030071067984476663,-0.003107307597766072,0.5454545454545454,0.6363636363636364,-0.0016867135807691672
90,60,250,19,0.007250732369768918,0.008303989856626807,0.003359295348409757,0.0038914370213591607,-0.004412552835267645,0.6818181818181818,0.6363636363636364,-0.002425434922076539
90,90,249,19,0.013991271335256164,0.014926125607506285,0.007512778236348369,0.006478493098907795,-0.008447632508598492,0.6818181818181818,0.7272727272727273,-0.0062022997006064085
