date,year,K,excluded,passed,excl_raw_vs_n500,pass_raw_vs_n500,universe_vs_n500
2005-05-31,2005,17,-0.02181642427800981,0.00909017678250415,0.030381922481624996,0.061288523542138956,0.052198346759634806
2005-06-30,2005,17,0.0960242315838527,-0.04001009649327192,0.16319624571745056,0.02716191764032594,0.06717201413359786
2005-07-29,2005,17,-0.010621207716425045,0.004425503215177103,-0.013286286154292615,0.0017604247773095327,-0.00266507843786757
2005-08-31,2005,17,0.01798113990295777,-0.007492141626232407,0.0008992863884335761,-0.024573995140756602,-0.017081853514524195
2005-09-30,2005,17,-0.01838261775982021,0.007659424066591758,-0.03332094838156181,-0.007278906555149844,-0.014938330621741602
2005-10-31,2005,17,-0.07645576316603431,0.03185656798584752,-0.07145697691856578,0.03685535423331604,0.004998786247468523
2005-11-30,2005,17,-0.03378250132203994,0.014076042217516599,-0.03538869679709786,0.012469846742458685,-0.0016061954750579144
2005-12-30,2005,17,0.04505959027400755,-0.018774829280836458,0.06107113151759144,-0.0027632880372525648,0.016011541243583893
2006-01-31,2006,18,-0.11006684925690743,0.055033424628453675,-0.05502003737018149,0.11008023651517962,0.055046811886725944
2006-02-28,2006,18,-0.05548444567867192,0.027742222839335945,-0.009896117646622831,0.07333055087138503,0.04558832803204908
2006-03-31,2006,18,-0.03974561311389593,0.01987280655694801,-0.04670797199547283,0.012910447675371112,-0.006962358881576897
2006-04-29,2006,18,0.032265262477149476,-0.01613263123857464,0.003033416162967928,-0.04536447755275619,-0.029231846314181548
2006-05-31,2006,18,0.024983801248016295,-0.012491900624008147,-0.007680733355920587,-0.045156435227945026,-0.03266453460393688
2006-06-30,2006,18,0.0636681892744985,-0.031834094637249274,0.08017170274145913,-0.01533058117028864,0.016503513466960634
2006-07-31,2006,18,0.01584025440610476,-0.007920127203052435,0.03596043274955518,0.012200051140397988,0.020120178343450423
2006-08-31,2006,18,0.0010152851994126855,-0.0005076425997063705,0.03232730716498153,0.030804379365862472,0.03131202196556884
2006-09-29,2006,18,-0.063817297960614,0.031908648980307014,-0.05514037105073107,0.040585575890189934,0.00867692690988292
2006-10-31,2006,18,-0.04207886384275081,0.021039431921375404,-0.02564042734618381,0.0374778684179424,0.016438436496566997
2006-11-30,2006,18,0.011617807091862997,-0.005808903545931485,-0.007147807364964676,-0.024574518002759158,-0.018765614456827673
2006-12-29,2006,18,-0.0045201658739811995,0.002260082936990593,-0.028659783210972026,-0.021879534400000233,-0.024139617336990826
2007-01-31,2007,19,-0.06525740217431301,0.03011880100352908,-0.08622921710175085,0.009146986076091239,-0.020971814927437844
2007-02-28,2007,19,0.06461972363562601,-0.029824487831827423,0.08059316276888828,-0.013851048698565155,0.01597343913326227
2007-03-30,2007,19,-0.02472870774988095,0.011413249730714309,0.02049444430530628,0.05663640178590154,0.04522315205518723
2007-04-30,2007,19,-0.12683636178503183,0.05853985928539929,-0.08237256704222126,0.10300365402820985,0.044463794742810564
2007-05-31,2007,19,0.025225791023892843,-0.011642672780258236,0.033320473975808396,-0.003547989828342684,0.008094682951915552
2007-06-29,2007,19,-0.04251294662308526,0.01962135997988554,-0.032396261371727145,0.029738045231243654,0.010116685251358115
2007-07-31,2007,19,-0.05383515784975659,0.024846995930656923,-0.06368125578466233,0.015000897995751189,-0.009846097934905734
2007-08-31,2007,19,-0.08662540201648364,0.03998095477683855,-0.07617592774404777,0.05043042904927442,0.010449474272435866
2007-09-28,2007,19,-0.17130452629329956,0.07906362751998441,-0.13733312046984097,0.113035033343443,0.03397140582345859
2007-10-31,2007,19,-0.06403386420109,0.02955409116973385,-0.02344946554646299,0.07013848982436086,0.04058439865462701
2007-11-30,2007,19,-0.013913778046155567,0.006421743713610276,0.00014374140467961205,0.020479263164445455,0.01405751945083518
2007-12-31,2007,19,0.050683588835365834,-0.023392425616322765,0.028091334915010424,-0.045984679536678175,-0.02259225392035541
2008-01-31,2008,19,-0.0015140708866592523,0.0006988019476888915,-0.022557067083609973,-0.02034419424926183,-0.02104299619695072
2008-02-29,2008,19,-0.018499125281385503,0.00853805782217791,-0.021793855097758774,0.00524332800580464,-0.0032947298163732708
2008-03-31,2008,19,-0.08272984702498212,0.03818300631922253,-0.08690897799332295,0.0340038753508817,-0.004179130968340827
2008-04-30,2008,19,-0.025157366654326496,0.01161109230199689,-0.036920370067572955,-0.00015191111124956969,-0.011763003413246459
2008-05-30,2008,19,-0.010903316163930865,0.005032299767968096,-0.027464940610927885,-0.011529324679028924,-0.01656162444699702
2008-06-30,2008,19,0.044651439180498555,-0.020608356544845486,0.027711838297876545,-0.03754795742746749,-0.016939600882622006
2008-07-31,2008,19,-0.024498945621006907,0.01130720567123411,-0.036215264883178,-0.0004091135909369825,-0.011716319262171093
2008-08-29,2008,19,-0.04221805352342517,0.019485255472350083,-0.07498797541840663,-0.013284666422631375,-0.03276992189498146
2008-09-30,2008,19,-0.0682428698732592,0.03149670917227357,-0.0800904889658467,0.01964909007968607,-0.011847619092587497
2008-10-31,2008,19,-0.059297392358309456,0.027368027242296672,-0.09204769204095922,-0.005382272440353095,-0.03275029968264977
2008-11-28,2008,19,-0.04840333236117095,0.022339999551309667,-0.0639319494872089,0.006811382425271708,-0.01552861712603796
2008-12-31,2008,19,0.0754320662018717,-0.03481479978547925,0.03536698374621735,-0.07487988224113362,-0.04006508245565436
2009-01-30,2009,19,0.01723631747094001,-0.007955223448126103,0.03168583658309493,0.006494295664028815,0.014449519112154918
2009-02-27,2009,19,0.17553742039487186,-0.08101727095147948,0.3346041637252972,0.07804947237894588,0.15906674333042536
2009-03-31,2009,19,0.011551859053230529,-0.005331627255337312,0.11508853372154626,0.09820504741297842,0.10353667466831573
2009-04-29,2009,19,-0.10794350884203247,0.049820081004014805,-0.024910467954278703,0.13285312189176857,0.08303304088775376
2009-05-29,2009,19,0.07371285838328037,-0.034021319253821694,0.10209132647269883,-0.005642851164403242,0.028378468089418456
2009-06-30,2009,19,0.05886517191504073,-0.02716854088386489,0.09429035273016456,0.008256639931258941,0.03542518081512383
2009-07-31,2009,19,-0.019668245265197812,0.009077651660860532,-0.00761720243701593,0.021128694489042414,0.012051042828181882
2009-08-31,2009,19,0.07565116810060894,-0.034915923738742576,0.07202459967631866,-0.038542492163032856,-0.00362656842429028
2009-09-30,2009,19,-0.06623588137116267,0.030570406786690485,-0.06562372282576294,0.031182565332090212,0.0006121585453997269
2009-10-30,2009,19,-0.05357107384066481,0.024725111003383746,-0.05494947466286365,0.023346710181184907,-0.0013784008221988386
2009-11-30,2009,19,-0.059318014637879245,0.02737754521748273,-0.044108672646565907,0.04258688720879607,0.015209341991313338
2009-12-31,2009,19,-0.0524093782112124,0.02418894378979034,-0.031401662995904356,0.04519665900509839,0.021007715215308045
2010-01-29,2010,19,-0.0389815844615766,0.017991500520727663,-0.0039354065316086415,0.053037678450695624,0.03504617792996796
2010-02-26,2010,19,-0.03971348934857573,0.01832930277626572,-0.02100638083453767,0.03703641129030378,0.01870710851403806
