year,n,top,middle,bottom,spread
2005,5,0.0012420700313508614,-0.006098165982205711,-0.009158315605932544,0.010400385637283406
2006,12,0.01664684706718254,-0.0051922943800564655,-0.00018246530687922227,0.016829312374061763
2007,12,0.009650103059688843,0.01711832134929282,-0.017474337071341214,0.027124440131030058
2008,12,-0.0022987121141806563,-0.004392574078539182,-0.008491127318024686,0.006192415203844029
2009,12,0.006360795692085877,0.014667852573042527,0.007044392070916411,-0.0006835963788305333
2010,12,0.005374894493986059,0.0035539928075659804,-0.0011348488148941712,0.006509743308880232
2011,12,-0.0006701130277032922,0.0032297008296838735,-0.0028521631751492068,0.0021820501474459166
2012,12,0.0021919362736157596,0.0004965396309651546,0.0009265916995604166,0.001265344574055343
2013,12,-0.003422965354482268,-0.000870679098547505,-0.009024478101236619,0.00560151274675435
2014,12,-0.0013791340102051665,0.007891506374573486,0.010358417749827617,-0.011737551760032784
2015,12,-0.004411380667465061,-0.002870802419725097,0.00048326855206847624,-0.004894649219533538
2016,12,0.007916093072572608,-0.0015934430172695653,0.00013753098535437594,0.007778562087218233
2017,12,-0.0004301684241692141,0.0007736789453206572,0.00033411476097064,-0.0007642831851398541
2018,12,-0.001777169255514484,-0.008051339228776088,-0.010811486774610435,0.009034317519095952
2019,12,-0.007799735111742129,0.0024537549656817406,-0.0013802636225437696,-0.006419471489198359
2020,12,-0.01030954061287223,0.010427980976557496,0.004485774349937024,-0.014795314962809253
2021,12,0.01059051736963003,-0.0009439624942802351,0.006934339312113215,0.0036561780575168168
2022,12,-0.0008011856286592014,-0.00030101851444620467,-0.004251945213839065,0.003450759585179864
2023,12,0.011996560046312083,0.004368929619976107,0.0006456377270667261,0.011350922319245357
2024,12,0.005254768792954498,-0.0044356296296262036,0.00015439800366133183,0.005100370789293165
2025,12,0.0013723356213248474,-0.003136396031347607,0.0005074098868319343,0.0008649257344929134
2026,7,-0.00025381292821990753,0.013517897191826977,0.008799089804441938,-0.009052902732661846
