date,NIFTY CONSUMER SERVICES
2020-12-21,1456.11
2020-12-22,1476.47
2020-12-23,1501.72
2020-12-24,1499.34
2020-12-28,1509.16
2020-12-29,1505.54
2020-12-30,1515.79
2020-12-31,1531.15
2021-01-01,1548.75
2021-01-04,1562.36
2021-01-05,1606.24
2021-01-06,1589.2
2021-01-07,1608.32
2021-01-08,1628.11
2021-01-11,1641.12
2021-01-12,1633.41
2021-01-13,1622.16
2021-01-14,1606.28
2021-01-15,1571.39
2021-01-18,1560.38
2021-01-19,1570.69
2021-01-20,1589.29
2021-01-21,1582.93
2021-01-22,1588.84
2021-01-25,1557.41
2021-01-27,1526.37
2021-01-28,1517.83
2021-01-29,1478.85
2021-02-01,1504.28
2021-02-02,1549.76
2021-02-03,1552.09
2021-02-04,1587.79
2021-02-05,1600.74
2021-02-08,1618.35
2021-02-09,1605.42
2021-02-10,1626.21
2021-02-11,1661.57
2021-02-12,1654.09
2021-02-15,1682.82
2021-02-16,1656.13
2021-02-17,1637.71
2021-02-18,1680.99
2021-02-19,1674.66
2021-02-22,1683.91
2021-02-23,1698.39
2021-02-24,1682.08
2021-02-25,1701.78
2021-02-26,1685.4
2021-03-01,1709.12
2021-03-02,1761.35
2021-03-03,1779.29
2021-03-04,1796.15
2021-03-05,1760.74
2021-03-08,1765.37
2021-03-09,1754.87
2021-03-10,1777.51
2021-03-12,1761.3
2021-03-15,1740.37
2021-03-16,1739.28
2021-03-17,1690.47
2021-03-18,1648.85
2021-03-19,1652.74
2021-03-22,1660.8
2021-03-23,1674.0
2021-03-24,1634.19
2021-03-25,1583.82
2021-03-26,1609.58
2021-03-30,1589.03
2021-03-31,1598.03
2021-04-01,1618.5
2021-04-05,1598.37
2021-04-06,1591.74
2021-04-07,1625.49
2021-04-08,1650.68
2021-04-09,1655.68
2021-04-12,1582.26
2021-04-13,1584.87
2021-04-15,1593.85
2021-04-16,1602.42
2021-04-19,1572.45
2021-04-20,1582.65
2021-04-22,1593.71
2021-04-23,1608.46
2021-04-26,1639.94
2021-04-27,1661.81
2021-04-28,1677.87
2021-04-29,1675.22
2021-04-30,1644.24
2021-05-03,1645.32
2021-05-04,1618.13
2021-05-05,1626.67
2021-05-06,1625.64
2021-05-07,1609.76
2021-05-10,1601.33
2021-05-11,1600.76
2021-05-12,1583.5
2021-05-14,1573.04
2021-05-17,1590.98
2021-05-18,1663.14
2021-05-19,1660.43
2021-05-20,1658.82
2021-05-21,1668.45
2021-05-24,1672.37
2021-05-25,1691.61
2021-05-26,1707.37
2021-05-27,1700.97
2021-05-28,1698.88
2021-05-31,1706.41
2021-06-01,1696.44
2021-06-02,1710.44
2021-06-03,1737.93
2021-06-04,1747.1
2021-06-07,1769.63
2021-06-08,1776.32
2021-06-09,1762.81
2021-06-10,1786.82
2021-06-11,1779.65
2021-06-14,1781.95
2021-06-15,1813.79
2021-06-16,1807.61
2021-06-17,1800.97
2021-06-18,1811.2
2021-06-21,1811.65
2021-06-22,1815.34
2021-06-23,1802.86
2021-06-24,1797.69
2021-06-25,1811.8
2021-06-28,1817.82
2021-06-29,1800.4
2021-06-30,1797.45
2021-07-01,1832.01
2021-07-02,1855.34
2021-07-05,1884.55
2021-07-06,1878.59
2021-07-07,1886.23
2021-07-08,1893.37
2021-07-09,1888.4
2021-07-12,1888.76
2021-07-13,1885.37
2021-07-14,1890.21
2021-07-15,1879.18
2021-07-16,1877.49
2021-07-19,1859.13
2021-07-20,1850.38
2021-07-22,1905.47
2021-07-23,1904.85
2021-07-26,1910.01
2021-07-27,1931.55
2021-07-28,1937.39
2021-07-29,1953.5
2021-07-30,1956.44
2021-08-02,1977.72
2021-08-03,1988.16
2021-08-04,1976.93
2021-08-05,1963.03
2021-08-06,1965.13
2021-08-09,1961.81
2021-08-10,1974.79
2021-08-11,1943.52
2021-08-12,1968.72
2021-08-13,1969.56
2021-08-16,1968.8
2021-08-17,1989.63
2021-08-18,2007.34
2021-08-20,1980.01
2021-08-23,1959.35
2021-08-24,1987.46
2021-08-25,2016.21
2021-08-26,2028.53
2021-08-27,2038.79
2021-08-30,2087.45
2021-08-31,2119.49
2021-09-01,2123.61
2021-09-02,2154.55
2021-09-03,2150.36
2021-09-06,2176.77
2021-09-07,2177.59
2021-09-08,2228.1
2021-09-09,2231.96
2021-09-13,2234.43
2021-09-14,2258.91
2021-09-15,2263.4
2021-09-16,2281.58
2021-09-17,2271.62
2021-09-20,2269.46
2021-09-21,2286.23
2021-09-22,2312.89
2021-09-23,2344.81
2021-09-24,2324.64
2021-09-27,2350.96
2021-09-28,2336.16
2021-09-29,2305.59
2021-09-30,2312.35
2021-10-01,2318.8
2021-10-04,2347.73
2021-10-05,2350.11
2021-10-06,2316.68
2021-10-07,2375.53
