date,NIFTY CONSUMER DURABLES
2006-03-06,2027.73
2006-03-07,2058.19
2006-03-08,2003.18
2006-03-09,2016.97
2006-03-10,2033.15
2006-03-13,2036.55
2006-03-14,2050.98
2006-03-16,2055.24
2006-03-17,2058.72
2006-03-20,2074.95
2006-03-21,2074.71
2006-03-22,2049.17
2006-03-23,2058.18
2006-03-24,2090.73
2006-03-27,2070.93
2006-03-28,2049.36
2006-03-29,2062.79
2006-03-30,2095.42
2006-03-31,2148.52
2006-04-03,2195.17
2006-04-04,2194.38
2006-04-05,2208.89
2006-04-07,2225.04
2006-04-10,2228.55
2006-04-12,2194.06
2006-04-13,2148.77
2006-04-17,2207.76
2006-04-18,2230.0
2006-04-19,2246.12
2006-04-20,2239.91
2006-04-21,2253.79
2006-04-24,2287.26
2006-04-25,2269.3
2006-04-26,2330.28
2006-04-27,2313.2
2006-04-28,2299.83
2006-04-29,2364.64
2006-05-02,2391.99
2006-05-03,2400.3
2006-05-04,2407.32
2006-05-05,2469.23
2006-05-08,2490.31
2006-05-09,2498.8
2006-05-10,2506.85
2006-05-11,2500.05
2006-05-12,2470.33
2006-05-15,2395.32
2006-05-16,2358.27
2006-05-17,2465.61
2006-05-18,2279.35
2006-05-19,2187.43
2006-05-22,1969.67
2006-05-23,2048.28
2006-05-24,2066.55
2006-05-25,2030.36
2006-05-26,2101.33
2006-05-29,2119.27
2006-05-30,2129.19
2006-05-31,2063.9
2006-06-01,2000.44
2006-06-02,2009.6
2006-06-05,1957.3
2006-06-06,1877.94
2006-06-07,1723.46
2006-06-08,1626.13
2006-06-09,1714.04
2006-06-12,1675.84
2006-06-13,1582.19
2006-06-14,1537.17
2006-06-15,1620.31
2006-06-16,1684.11
2006-06-19,1728.95
2006-06-20,1748.79
2006-06-21,1794.54
2006-06-22,1810.55
2006-06-23,1823.76
2006-06-25,1838.55
2006-06-26,1776.02
2006-06-27,1742.54
2006-06-28,1705.52
2006-06-29,1718.41
2006-06-30,1793.78
2006-07-03,1798.12
2006-07-04,1801.65
2006-07-05,1823.65
2006-07-06,1858.51
2006-07-07,1827.44
2006-07-10,1827.73
2006-07-11,1822.92
2006-07-12,1846.68
2006-07-13,1847.74
2006-07-14,1827.11
2006-07-17,1785.77
2006-07-18,1751.5
2006-07-19,1708.79
2006-07-20,1733.77
2006-07-21,1688.57
2006-07-24,1670.08
2006-07-25,1703.12
2006-07-26,1730.26
2006-07-27,1766.01
2006-07-28,1771.77
2006-07-31,1801.25
2006-08-01,1800.11
2006-08-02,1822.96
2006-08-03,1829.33
2006-08-04,1813.6
2006-08-07,1810.81
2006-08-08,1816.36
2006-08-09,1870.99
2006-08-10,1908.95
2006-08-11,1937.48
2006-08-14,1958.41
2006-08-16,1955.48
2006-08-17,1936.08
2006-08-18,1960.84
2006-08-21,1968.74
2006-08-22,1995.53
2006-08-23,1952.09
2006-08-24,1961.64
2006-08-25,1984.51
2006-08-28,1988.62
2006-08-29,2011.68
2006-08-30,1999.99
2006-08-31,1970.81
2006-09-01,1992.38
2006-09-04,2021.97
2006-09-05,2007.35
2006-09-06,2009.76
2006-09-07,2016.39
2006-09-08,2041.49
2006-09-11,1987.23
2006-09-12,2013.2
2006-09-13,2045.92
2006-09-14,2026.59
2006-09-15,2022.99
2006-09-18,2025.33
2006-09-19,1992.45
2006-09-20,2005.91
2006-09-21,2014.58
2006-09-22,2002.2
2006-09-25,1987.84
2006-09-26,2001.51
2006-09-27,2014.32
2006-09-28,2020.21
2006-09-29,2065.25
2006-10-03,2084.05
2006-10-04,2070.93
2006-10-05,2101.69
2006-10-06,2123.68
2006-10-09,2116.3
2006-10-10,2148.58
2006-10-11,2129.44
2006-10-12,2170.89
2006-10-13,2176.18
2006-10-16,2207.53
2006-10-17,2204.19
2006-10-18,2208.96
2006-10-19,2205.54
2006-10-20,2228.88
2006-10-21,2243.33
2006-10-23,2208.23
2006-10-26,2154.06
2006-10-27,2162.67
2006-10-30,2133.02
2006-10-31,2103.95
2006-11-01,2108.86
2006-11-02,2119.73
2006-11-03,2139.78
2006-11-06,2140.68
2006-11-07,2171.52
2006-11-08,2110.0
2006-11-09,2117.87
2006-11-10,2136.2
2006-11-13,2148.89
2006-11-14,2125.38
2006-11-15,2119.81
2006-11-16,2123.41
2006-11-17,2105.06
2006-11-20,2093.26
2006-11-21,2121.67
2006-11-22,2125.25
2006-11-23,2141.63
2006-11-24,2154.04
2006-11-27,2199.92
2006-11-28,2175.63
2006-11-29,2194.51
2006-11-30,2184.29
2006-12-01,2196.43
2006-12-04,2226.95
2006-12-05,2233.74
2006-12-06,2178.89
2006-12-07,2196.11
2006-12-08,2187.37
2006-12-11,2123.33
2006-12-12,2063.13
2006-12-13,2084.99
2006-12-14,2160.65
2006-12-15,2203.66
2006-12-18,2189.52
2006-12-19,2147.61
2006-12-20,2166.96
2006-12-21,2204.7
2006-12-22,2229.0
2006-12-26,2254.56
2006-12-27,2269.84
2006-12-28,2268.37
2006-12-29,2310.97
2007-01-02,2341.59
2007-01-03,2373.86
2007-01-04,2377.89
2007-01-05,2380.15
2007-01-08,2397.04
2007-01-09,2408.22
2007-01-10,2380.33
2007-01-11,2450.08
2007-01-12,2504.19
2007-01-15,2526.11
2007-01-16,2526.6
2007-01-17,2537.06
2007-01-18,2503.5
2007-01-19,2492.79
2007-01-22,2509.26
2007-01-23,2458.93
2007-01-24,2449.86
2007-01-25,2462.47
2007-01-29,2499.34
2007-01-31,2497.02
2007-02-01,2534.07
2007-02-02,2572.78
2007-02-05,2606.67
2007-02-06,2585.25
2007-02-07,2585.65
2007-02-08,2563.49
2007-02-09,2534.84
2007-02-12,2431.18
2007-02-13,2412.56
2007-02-14,2420.37
2007-02-15,2505.87
2007-02-19,2510.57
2007-02-20,2475.29
2007-02-21,2491.13
2007-02-22,2439.02
2007-02-23,2376.99
2007-02-26,2365.47
2007-02-27,2340.96
2007-02-28,2256.48
2007-03-01,2286.76
2007-03-02,2282.02
2007-03-05,2156.63
2007-03-06,2161.04
2007-03-07,2143.34
2007-03-08,2214.49
2007-03-09,2229.75
2007-03-12,2242.8
2007-03-13,2294.31
2007-03-14,2236.47
2007-03-15,2233.99
2007-03-16,2205.35
2007-03-19,2232.14
2007-03-20,2235.01
2007-03-21,2235.73
2007-03-22,2254.02
2007-03-23,2244.47
2007-03-26,2242.1
2007-03-28,2202.62
2007-03-29,2219.53
2007-03-30,2244.34
2007-04-02,2167.53
2007-04-03,2196.48
2007-04-04,2231.34
2007-04-05,2247.81
2007-04-09,2312.09
2007-04-10,2323.04
2007-04-11,2343.06
2007-04-12,2337.82
2007-04-13,2360.04
2007-04-16,2403.49
2007-04-17,2392.21
2007-04-18,2391.02
2007-04-19,2384.53
2007-04-20,2406.35
2007-04-23,2371.28
2007-04-24,2383.82
2007-04-25,2392.32
2007-04-26,2377.27
2007-04-27,2345.62
2007-04-30,2336.65
2007-05-03,2377.88
2007-05-04,2412.74
2007-05-07,2407.62
2007-05-08,2380.69
2007-05-09,2372.88
2007-05-10,2388.97
2007-05-11,2379.46
2007-05-14,2409.22
2007-05-15,2422.68
2007-05-16,2427.28
2007-05-17,2458.11
2007-05-18,2468.6
2007-05-21,2473.55
2007-05-22,2456.25
2007-05-23,2445.42
2007-05-24,2440.46
2007-05-25,2445.1
2007-05-28,2439.95
2007-05-29,2480.5
2007-05-30,2518.4
2007-05-31,2597.04
2007-06-01,2586.12
2007-06-04,2563.64
2007-06-05,2550.21
2007-06-06,2510.18
2007-06-07,2502.98
2007-06-08,2438.88
2007-06-11,2418.69
2007-06-12,2397.99
2007-06-13,2414.24
2007-06-14,2442.15
2007-06-15,2464.04
2007-06-18,2441.7
2007-06-19,2448.21
2007-06-20,2476.36
2007-06-21,2514.26
2007-06-22,2511.97
2007-06-25,2506.02
2007-06-26,2555.88
2007-06-27,2574.53
2007-06-28,2601.91
2007-06-29,2604.14
2007-07-02,2609.74
2007-07-03,2612.94
2007-07-04,2590.05
2007-07-05,2587.97
2007-07-06,2578.1
2007-07-09,2573.81
2007-07-10,2542.65
2007-07-11,2569.57
2007-07-12,2577.76
2007-07-13,2570.73
2007-07-16,2595.34
2007-07-17,2611.09
2007-07-18,2631.43
2007-07-19,2661.32
2007-07-20,2631.09
2007-07-23,2647.22
2007-07-24,2615.51
2007-07-25,2625.28
2007-07-26,2602.34
2007-07-27,2524.74
2007-07-30,2525.55
2007-07-31,2563.43
2007-08-01,2467.33
2007-08-02,2510.45
2007-08-03,2548.99
2007-08-06,2516.72
2007-08-07,2528.57
2007-08-08,2554.2
2007-08-09,2498.76
2007-08-10,2489.9
2007-08-13,2514.36
2007-08-14,2559.77
2007-08-16,2472.39
2007-08-17,2412.51
2007-08-20,2429.45
2007-08-21,2393.39
2007-08-22,2381.5
2007-08-23,2368.72
2007-08-24,2403.63
2007-08-27,2502.6
2007-08-28,2522.92
2007-08-29,2533.65
2007-08-30,2553.35
2007-08-31,2596.63
2007-09-03,2676.55
2007-09-04,2684.43
2007-09-05,2697.17
2007-09-06,2727.75
2007-09-07,2723.78
2007-09-10,2759.34
2007-09-11,2760.57
2007-09-12,2791.83
2007-09-13,2795.05
2007-09-14,2778.55
2007-09-17,2847.44
2007-09-18,2846.15
2007-09-19,2885.14
2007-09-20,2892.54
2007-09-21,2887.53
2007-09-24,2891.62
2007-09-25,2906.48
2007-09-26,2906.59
2007-09-27,2928.69
2007-09-28,2938.93
2007-10-01,2924.78
2007-10-03,2913.55
2007-10-04,2973.55
2007-10-05,2916.3
2007-10-08,2838.72
2007-10-09,2915.01
2007-10-10,2909.97
2007-10-11,2966.65
2007-10-12,2954.41
2007-10-15,3033.01
2007-10-16,3092.02
2007-10-17,3041.17
2007-10-18,2997.46
2007-10-19,2977.22
2007-10-22,3007.32
2007-10-23,3098.85
2007-10-24,3144.79
2007-10-25,3172.24
2007-10-26,3221.61
2007-10-29,3271.1
