date,NIFTY FMCG
1996-12-05,1074.68
1996-12-06,1089.83
1996-12-09,1104.26
1996-12-10,1096.33
1996-12-11,1125.98
1996-12-12,1112.67
1996-12-13,1106.36
1996-12-16,1116.94
1996-12-17,1125.39
1996-12-18,1133.03
1996-12-19,1135.53
1996-12-20,1158.03
1996-12-23,1162.15
1996-12-24,1171.29
1996-12-26,1203.04
1996-12-31,1189.06
1997-01-01,1230.42
1997-01-02,1220.61
1997-01-03,1217.89
1997-01-06,1201.9
1997-01-07,1199.12
1997-01-08,1222.83
1997-01-09,1249.86
1997-01-10,1297.2
1997-01-13,1307.6
1997-01-14,1325.73
1997-01-15,1385.28
1997-01-16,1342.77
1997-01-17,1341.32
1997-01-20,1323.45
1997-01-21,1312.57
1997-01-22,1342.16
1997-01-24,1327.78
1997-01-27,1349.93
1997-01-28,1350.59
1997-01-29,1368.12
1997-01-30,1353.47
1997-01-31,1330.85
1997-02-03,1313.59
1997-02-04,1324.5
1997-02-05,1325.96
1997-02-06,1324.6
1997-02-07,1352.69
1997-02-10,1352.9
1997-02-11,1365.28
1997-02-12,1389.25
1997-02-13,1388.76
1997-02-14,1391.2
1997-02-17,1397.67
1997-02-18,1371.25
1997-02-19,1387.79
1997-02-20,1373.8
1997-02-21,1348.23
1997-02-24,1310.56
1997-02-25,1318.75
1997-02-26,1314.18
1997-02-27,1348.99
1997-02-28,1431.24
1997-03-01,1495.03
1997-03-03,1512.59
1997-03-04,1539.37
1997-03-05,1556.36
1997-03-06,1536.25
1997-03-10,1470.39
1997-03-11,1453.57
1997-03-12,1482.08
1997-03-13,1471.39
1997-03-14,1476.12
1997-03-17,1467.06
1997-03-18,1447.27
1997-03-19,1442.64
1997-03-20,1452.06
1997-03-21,1461.94
1997-03-25,1453.99
1997-03-26,1452.8
1997-03-27,1449.11
1997-03-31,1336.86
1997-04-01,1332.64
1997-04-02,1385.49
1997-04-03,1398.95
1997-04-04,1390.96
1997-04-07,1384.09
1997-04-09,1434.7
1997-04-10,1414.64
1997-04-11,1426.66
1997-04-12,1419.38
1997-04-15,1442.46
1997-04-17,1454.63
1997-04-21,1476.74
1997-04-22,1470.91
1997-04-23,1482.22
1997-04-24,1484.7
1997-04-25,1493.68
1997-04-28,1491.43
1997-04-29,1482.17
1997-04-30,1506.74
1997-05-02,1491.06
