date,NIFTY POWER
2006-03-09,1411.03
2006-03-10,1424.6
2006-03-13,1426.42
2006-03-14,1418.68
2006-03-16,1423.5
2006-03-17,1409.6
2006-03-20,1414.31
2006-03-21,1400.87
2006-03-22,1389.3
2006-03-23,1380.02
2006-03-24,1401.3
2006-03-27,1401.93
2006-03-28,1388.35
2006-03-29,1396.08
2006-03-30,1389.34
2006-03-31,1398.71
2006-04-03,1420.36
2006-04-04,1427.23
2006-04-05,1451.91
2006-04-07,1445.44
2006-04-10,1459.27
2006-04-12,1438.19
2006-04-13,1406.2
2006-04-17,1436.88
2006-04-18,1455.86
2006-04-19,1451.85
2006-04-20,1447.53
2006-04-21,1432.49
2006-04-24,1425.82
2006-04-25,1385.28
2006-04-26,1403.11
2006-04-27,1383.27
2006-04-28,1395.49
2006-04-29,1414.07
2006-05-02,1422.46
2006-05-03,1441.49
2006-05-04,1442.72
2006-05-05,1451.66
2006-05-08,1506.83
2006-05-09,1506.24
2006-05-10,1517.84
2006-05-11,1481.34
2006-05-12,1466.73
2006-05-15,1408.88
2006-05-16,1405.45
2006-05-17,1437.62
2006-05-18,1340.36
2006-05-19,1296.01
2006-05-22,1239.31
2006-05-23,1294.1
2006-05-24,1283.71
2006-05-25,1275.08
2006-05-26,1296.84
2006-05-29,1294.94
2006-05-30,1293.26
2006-05-31,1251.24
2006-06-01,1199.19
2006-06-02,1201.9
2006-06-05,1188.24
2006-06-06,1152.05
2006-06-07,1103.77
2006-06-08,1021.43
2006-06-09,1085.67
2006-06-12,1038.87
2006-06-13,963.64
2006-06-14,972.03
2006-06-15,1021.19
2006-06-16,1052.56
2006-06-19,1062.89
2006-06-20,1076.67
2006-06-21,1097.3
2006-06-22,1154.92
2006-06-23,1160.39
2006-06-25,1155.41
2006-06-26,1092.81
2006-06-27,1090.68
2006-06-28,1088.53
2006-06-29,1096.68
2006-06-30,1130.63
2006-07-03,1128.48
2006-07-04,1127.25
2006-07-05,1147.04
2006-07-06,1145.36
2006-07-07,1116.46
2006-07-10,1123.65
2006-07-11,1121.2
2006-07-12,1123.01
2006-07-13,1128.94
2006-07-14,1125.38
2006-07-17,1091.74
2006-07-18,1084.84
2006-07-19,1064.43
2006-07-20,1089.21
2006-07-21,1060.11
2006-07-24,1059.6
2006-07-25,1083.12
2006-07-26,1102.0
2006-07-27,1110.03
2006-07-28,1115.71
2006-07-31,1121.74
2006-08-01,1116.26
2006-08-02,1156.73
2006-08-03,1156.12
2006-08-04,1154.87
2006-08-07,1153.98
2006-08-08,1165.03
2006-08-09,1172.22
2006-08-10,1177.17
2006-08-11,1183.79
2006-08-14,1200.55
2006-08-16,1212.99
2006-08-17,1211.11
2006-08-18,1214.3
2006-08-21,1209.48
2006-08-22,1212.8
2006-08-23,1200.85
2006-08-24,1209.2
2006-08-25,1209.92
2006-08-28,1223.8
2006-08-29,1228.9
2006-08-30,1209.84
2006-08-31,1203.17
2006-09-01,1216.83
2006-09-04,1230.22
2006-09-05,1247.78
2006-09-06,1259.94
2006-09-07,1251.55
2006-09-08,1267.54
2006-09-11,1199.48
2006-09-12,1203.91
2006-09-13,1239.81
2006-09-14,1247.51
2006-09-15,1246.85
2006-09-18,1246.38
2006-09-19,1221.31
2006-09-20,1233.28
2006-09-21,1239.56
2006-09-22,1235.14
2006-09-25,1227.97
2006-09-26,1232.41
2006-09-27,1246.47
2006-09-28,1257.26
