date,year,K,strongU,midU,weakU,strongB,weakB,disp
2017-09-29,2017,40,-0.007197019688229893,-0.06598362379532521,0.07825630685242624,0.02405850127665369,0.10951182781730984,0.2869325556777333
2017-12-29,2017,42,0.06150644190540413,-0.054964061943489385,-0.006542379961914652,-0.0960770181934852,-0.16412584006080397,0.27744333751251876
2018-03-28,2018,36,0.06720280559916637,-0.01568826281874609,-0.05151454278042023,-0.05206512494570111,-0.17078247332528773,0.23263282443015204
2018-06-29,2018,44,-0.0040892614617810364,0.03085450820869623,-0.031173033633871822,-0.04400605276762739,-0.07108982493971817,0.23461119265702232
2018-09-28,2018,53,-0.10569088610052634,-0.015445977310863331,0.12295403721266773,-0.12310221558663766,0.10554270772655638,0.2431454048224869
2018-12-31,2018,49,-0.019063809764239478,0.07873490790034354,-0.06459202987987556,-0.08085282773820034,-0.12638104785383641,0.22996686046968554
2019-03-29,2019,60,0.08539747563435647,0.01770868732138451,-0.103106162955741,0.014627348662963242,-0.17387628992713425,0.21763522873806762
2019-06-28,2019,58,-0.005900005587468031,0.0035829519633880196,0.0021284772049543735,-0.11594421759615117,-0.10791573480372875,0.20371795350630256
2019-09-30,2019,51,0.01855062450645422,-0.022499173129550777,0.003948548623096358,-0.10045046119654255,-0.11505253707990043,0.2412545537643042
2019-12-31,2019,64,0.08034708108733193,0.06418559056607004,-0.14758912834702442,0.09574323484816805,-0.13219297458618828,0.2923921462853715
2020-03-31,2020,57,0.006609181245066282,-0.09900257822876898,0.09239339698370258,0.16032316445529576,0.24610738019393197,0.40948536175145667
2020-06-30,2020,41,0.021685701616695245,0.030157450202817945,-0.05648275954302354,0.051969835400704156,-0.026198625759014604,0.27811823585627593
2020-09-30,2020,52,-0.09229608791658322,-0.07627426246502789,0.17305707170308343,-0.09058115668947045,0.17477200293019624,0.4163342346285458
2020-12-31,2020,54,0.006771879958151354,-0.02575728915148288,0.01898540919333162,0.1249659700785059,0.13717949931368612,0.29165268385679727
2021-03-31,2021,40,-0.02597153013989191,0.1265044350370231,-0.11026401528459447,-0.0013475892207645557,-0.08564007436546714,0.32897320818414777
2021-06-30,2021,43,-0.033220944342451424,0.027237659537598935,0.0040377376950240075,-0.15703513563011587,-0.11977645359264046,0.2795061143348758
2021-09-30,2021,74,0.04436339386361899,0.026142015890325224,-0.07268391107813803,-0.02151269534640432,-0.13856000028816132,0.20936763809138217
2021-12-31,2021,221,0.024842439557254032,-0.024333347489956837,0.00015757498722218427,-0.0032108055155257997,-0.027895670085557683,0.19625037568812065
2022-03-31,2022,191,0.014445499174243868,-0.019951556702467992,0.0061394402806834525,0.022230137839392726,0.013924078945832315,0.226992183272314
2022-06-30,2022,253,0.0017366335581846702,0.009770172337252117,-0.011623117470880259,0.018142368869090042,0.004782617840025094,0.23528607138651406
2022-09-30,2022,229,-0.026828467855743228,0.018353491879896933,0.008233482661637133,-0.008959518974454551,0.02610243154292581,0.2107562821043874
2022-12-30,2022,224,-0.01344048470722657,0.017181867591311756,-0.0042057576838504095,0.05509020286572332,0.06432492988909949,0.19576834790297817
2023-03-31,2023,253,0.04642716381559685,-0.03535333686259449,-0.01065295389511432,0.14881215001791914,0.09173203230720794,0.2579364032357286
2023-06-30,2023,233,0.07296352058755685,-0.07391731628527003,0.0028737259908370675,0.15877509772150666,0.0886853031247869,0.29863166276877817
2023-09-29,2023,195,0.03677310400065162,-0.027644942266840635,-0.00912816173381095,0.09942791557668312,0.053526649842220525,0.27861610824667155
2023-12-29,2023,221,0.06320350621419005,-0.04110450576146211,-0.020972849609948153,0.16971056676996676,0.08553421094582858,0.3214912716710453
2024-03-28,2024,245,0.036269139319804786,-0.03965500251033636,0.004364999054984423,0.10736338551369717,0.07545924524887687,0.23666672473412187
2024-06-28,2024,249,0.005846582783484077,-0.009359928239987157,0.003513345456503104,-0.013347436806579422,-0.015680674133560397,0.1946037987659968
2024-09-30,2024,275,-0.0015465857385742825,-0.0017112869883343952,0.003295483429949091,-0.032203939203865495,-0.027361870035342156,0.16903992166102105
2024-12-31,2024,233,-0.011094981809921415,-0.00511640978275582,0.016344285353268304,-0.03194544649944071,-0.004506179336250991,0.1835695829548504
2025-03-28,2025,219,-0.021018531570534106,0.002107823779437008,0.018910707791097055,0.005471002175220549,0.04540024153685174,0.17320351030991277
2025-06-30,2025,252,0.016480781629342616,-0.003338161628555084,-0.01314262000078755,-0.01749057826747418,-0.04711397989760435,0.16964278741680117
2025-09-30,2025,207,0.024866686024590745,-0.01212912551112681,-0.012737560513463937,0.04789364764482751,0.01028940110677283,0.20170514447487292
2025-12-31,2025,235,0.04007492313723775,-0.054520362499829444,0.015144418368999796,0.048598243382140416,0.023667738613902468,0.20291916727542872
2026-03-30,2026,132,0.04582299531806922,-0.04151409115241996,-0.004308904165649254,0.10730111580527893,0.05716921632156044,0.30788986624451503
