year,n,strong,mid,weak
2017,2,2.75,-5.68,3.25
2018,4,-1.47,1.07,0.39
2019,4,3.48,1.84,-5.39
2020,4,-0.59,-2.4,2.92
2021,4,1.56,0.02,-1.61
2022,4,-1.11,0.52,0.58
2023,4,2.47,-1.55,-0.89
2024,4,0.04,-0.45,0.41
2025,4,0.7,-0.67,-0.01
2026,1,0.4,-1.11,0.72
