M,n,folds,medK,strongU,midU,weakU,spread,strongB,weakB,disp,strongU_norm,weakU_norm,f_weak_neg,f_strong_pos,weakU_exworst,strongU_exbest,monotonic,p_weak,p_strong
60,35,10,191,0.007478303184205446,-0.005418642046753378,-0.00205090533830678,0.009529208522512227,0.005232663186796131,-0.00429654533571609,0.16985674192401268,0.04402712014546323,-0.012074324016083363,0.4,0.7,0.006395295394776515,0.00526448349951808,False,0.50825,0.07885
90,35,10,191,0.011458099762083897,-0.005523749324573948,-0.00635293167125225,0.017811031433336146,0.010613271040787997,-0.007197760392548149,0.22140794332000616,0.05175107807908785,-0.0286933322083671,0.6,0.7,0.001000228808702909,0.006255013411620987,True,0.2983,0.0569
120,35,10,132,0.012995113252950894,-0.008935515437418466,-0.004456612562704018,0.017451725815654913,0.013439190535008467,-0.004012535280646448,0.2495468212766053,0.052074849867739706,-0.017858823205622695,0.6,0.7,0.0040951122270454976,0.011867779927962991,False,0.37835,0.0453
180,34,9,99,0.021532730744704253,-0.014658593624601597,-0.006874161583856433,0.028406892328560685,0.023594012303865333,-0.004812880024695357,0.3273286120176268,0.06578322197982713,-0.02100079654352445,0.4444444444444444,0.7777777777777778,0.003668575945083935,0.017214570684336426,False,0.36705,0.02605
