date,year,K,strongU,midU,weakU,strongB,weakB,disp
2019-06-28,2019,173,0.011653097833624953,0.03139559610130388,-0.044150293798132435,0.061318650192939195,0.005515258561181846,0.3079425901501408
2019-09-30,2019,219,-0.006959445063736977,-0.03943328850518385,0.046392733568920805,0.052397338365876914,0.1057495169985347,0.5374778554995431
2019-12-31,2019,243,0.029770763279462497,0.03676592103947784,-0.06653668431894035,0.23951074014453114,0.14320329254612826,0.5155288827305106
2020-03-31,2020,278,-0.20473927115883309,0.06907105921258685,0.13416666718075554,0.019046184011826894,0.3579521223514156,0.7083613143920664
2020-06-30,2020,146,-0.12241286255548767,0.016111579896686882,0.10562996682977234,0.01571089285020877,0.24375372223546876,0.4732681126781851
2020-09-30,2020,303,-0.15293147652404218,0.04548827612776783,0.10744320039627417,0.004501186738448626,0.2648758636587648,0.5051367802939988
2020-12-31,2020,271,-0.11883160391907613,0.11165089727259933,0.005940141121225413,0.05038247365858978,0.17515421869889136,0.44105311038956735
2021-03-31,2021,301,-0.06391990476417528,0.005112513034365408,0.05875626659946623,0.06958520565693993,0.19226137702058144,0.429973097419559
2021-06-30,2021,280,-0.00860450410048919,0.00021750871305601107,0.008384656584067073,-0.020180238531130268,-0.003191077846573992,0.3436426349757808
2021-09-30,2021,270,-0.003473220812467005,-0.023635091088243035,0.02710831190071002,0.03228981940616034,0.06287135211933736,0.2994068471784942
2021-12-31,2021,340,-0.029584391978102403,-0.013208257608213998,0.042909536821787345,0.017219121262285336,0.08971305006217507,0.3788370565254578
2022-03-31,2022,231,0.016104069770953883,-0.006975878818031841,-0.009128190952922102,0.025197481738770844,-3.4778985105114735e-05,0.2772906505959109
2022-06-30,2022,297,-0.0023623128635154125,0.018721496803283524,-0.01635918393976812,0.01131410918942266,-0.0026827618868300873,0.2693114335755284
2022-09-30,2022,269,0.019156410170542204,-0.02972716190066572,0.011238777840250855,0.03685780718302491,0.028940174852733563,0.27675332646703255
2022-12-30,2022,231,-0.0034012836414419466,0.022461856029815035,-0.019060572388373075,0.15927127867384272,0.1436119899269116,0.34575495420668656
2023-03-31,2023,291,-0.10478316562108728,-0.05954895276918977,0.16433211839027684,0.13904333036269262,0.40815861437405676,0.5272455057565626
2023-06-30,2023,259,-0.056106754706004465,-0.08185055122916035,0.13890905653085264,0.12932840600193635,0.3243442172387936,0.45628311276331884
2023-09-29,2023,203,-0.06074555182943239,-0.04005670398948438,0.10199797832606561,0.11391557255464724,0.27665910271014527,0.4043195664862769
2023-12-29,2023,302,-0.02129179807041675,0.00030664601190577676,0.020979019138272843,0.06744023586615999,0.10971105307484952,0.38145079528331055
2024-03-28,2024,273,-0.031615028664629355,0.04358514698221382,-0.011970118317584414,0.03568978049266122,0.055334690839706185,0.29323571714803903
2024-06-28,2024,267,-0.027673817450571084,0.05295251467727902,-0.02527869722670793,-0.1291119595522474,-0.12671683932838426,0.2167233087886527
2024-09-30,2024,311,0.00039361046439928874,0.003234534569604069,-0.0036909515305004917,-0.058702647178880865,-0.06278720917378063,0.22266086317992673
2024-12-31,2024,239,0.037517841336728655,-0.030247946645737926,-0.006504123889832834,-0.013731789688501077,-0.05775375491506256,0.22351564112853464
2025-03-28,2025,227,-0.006381980622948653,-0.005158807250863418,0.011678356067168445,-0.03088257123830969,-0.012822234548192618,0.35795325511832343
2025-06-30,2025,250,-0.038826807730741895,0.0009971840225773475,0.03781760944283226,-0.06441895201069525,0.012225465162878854,0.3196023768950904
2025-09-30,2025,206,-0.024638181249041723,0.045382850111518463,-0.022079458571639038,0.055233740671860404,0.05779246334926309,0.32966197685892257
2025-12-31,2025,135,-0.046913719793909535,0.06749654731160135,-0.02058282751769179,-0.029849349147850326,-0.0035184568716325887,0.3665710303420435
