N,M,n,folds,medK,strong,mid,weak,spread,strongB,weakB,disp,s_norm,w_norm,f_strong_pos,f_weak_neg,strong_exbest,weak_exworst,mono,p_strong,p_weak
1,120,5,5,197,-0.011863991256500712,0.0182426143680132,-0.006375444409584622,-0.00548854684691609,0.047763419393136816,0.05325196624005289,0.2667122377350714,-0.044482365553414775,-0.02390383157415308,0.2,0.6,-0.01585608240886673,-0.000547989258773937,False,0.9081,0.31345
1,180,5,5,184,-0.008374411674974025,0.021206558172438782,-0.012584072531088605,0.004209660856114581,0.10631438854974842,0.10210472769363381,0.40458999016932645,-0.020698514245172547,-0.03110327204541565,0.4,0.4,-0.01648219025125371,0.005615032380773923,False,0.6467,0.3409
1,250,4,4,192,-0.035958902746030016,0.03189702756401275,0.004115413253441908,-0.04007431599947192,0.12985125240612394,0.16992556840559592,0.5525169040035314,-0.06508199565564819,0.007448483880984761,0.25,0.5,-0.0590347486957488,0.025916425666669084,False,0.9366,0.5632
2,120,4,4,185,0.007292464125656284,0.007643029109354768,-0.015015409863049708,0.02230787398870599,0.06053717480017449,0.038229300811468477,0.24483524366252502,0.029785189487294732,-0.06132862915662006,0.75,0.75,-0.005459122637644249,-0.001272779866085175,False,0.37295,0.24855
2,180,4,4,163,0.01261821966405756,0.0019840634315946865,-0.015199777249776465,0.027817996913834027,0.1052271423090353,0.07740914539520129,0.3467454266948263,0.03639044293773186,-0.04383555219360953,0.5,0.75,-0.02272373066671694,0.018186781154363424,True,0.3726,0.31225
