N,M,n,folds,medK,strong,mid,weak,spread,strongB,weakB,disp,s_norm,w_norm,f_strong_pos,f_weak_neg,strong_exbest,weak_exworst,mono,p_strong,p_weak
1,60,15,5,250,-0.0066632142631018595,0.0041414501417296745,0.0024616311375640293,-0.009124845400665889,0.009124678431735414,0.018249523832401297,0.17160687200698627,-0.03882836500178498,0.014344595346180624,0.4,0.4,-0.014483538962716869,0.009826999385886532,False,0.84685,0.6221
1,120,15,5,242,-0.01432099988289984,0.004065849583513481,0.010132944344857609,-0.02445394422775745,0.02846046508059682,0.05291440930835429,0.2588642330098656,-0.05532243568911295,0.03914385632591982,0.2,0.6,-0.025155862255785328,0.024808620768563314,False,0.9082,0.78025
1,180,14,4,244,-0.026873823384815414,0.010914165941664935,0.01571299754468012,-0.042586820929495534,0.028642494740627744,0.07122931567012328,0.3359499664497459,-0.07999352900318095,0.04677183841014194,0.25,0.75,-0.03213421666027714,0.02292904053214212,False,0.9321,0.5624
1,250,12,4,254,-0.048817541896825245,0.005012333239824652,0.04355120969414283,-0.09236875159096808,0.05266131406661054,0.14503006565757864,0.45726302203217667,-0.10676030981002889,0.09524323550282231,0.0,0.5,-0.056471627615341045,0.0508542115529928,False,1.0,0.7518
2,60,14,5,241,-0.004679499454309881,0.0012422061222607007,0.003431494865879816,-0.008110994320189698,0.015489321796749982,0.023600316116939683,0.17426764486870708,-0.026852371005733205,0.019690946466081514,0.6,0.4,-0.012345853138861516,0.013164324359355316,False,0.5359,0.5006
2,120,14,5,240,-0.016490946901643856,-0.0022820750785881205,0.01882378013649621,-0.035314727038140065,0.030938555360653368,0.06625328239879344,0.26168137751056736,-0.0630191840876331,0.07193396914817164,0.2,0.4,-0.026026465126062284,0.03098976422656904,False,0.87455,0.8489
2,180,13,4,239,-0.027578172030062915,-0.0005227598809430704,0.028229573630869215,-0.055807745660932134,0.031730214144987924,0.08753795980592004,0.3411696560758195,-0.08083418773894155,0.08274350642894115,0.25,0.5,-0.031192985261363562,0.033977500192352364,False,0.8746,0.6288
2,250,11,4,241,-0.046422628933765336,-0.017689781718800656,0.06440085889530459,-0.11082348782906992,0.05710723936002708,0.167930727189097,0.45986250012769747,-0.1009489334765814,0.14004372802179207,0.0,0.25,-0.05512797773405361,0.06866102892288774,False,1.0,0.9359
4,60,12,4,246,-0.00665364359854323,0.001170812095922046,0.005531511089583584,-0.012185154688126813,0.015200433669960788,0.027385588358087604,0.17648268532523245,-0.03770139595440489,0.03134308093391596,0.25,0.25,-0.016894530460703022,0.019113030335746843,False,0.93865,0.8795
4,120,12,4,240,-0.01902189407319643,0.00041525518870131803,0.01871517700607488,-0.03773707107927131,0.0254384239157953,0.0631754949950666,0.2622757035224348,-0.07252632942253957,0.07135688420515095,0.0,0.25,-0.03348765005617384,0.040049580011853055,False,1.0,0.9387
4,180,11,3,238,-0.028463211213719575,0.0007436629074657923,0.027915027756386712,-0.056378238970106284,0.016465286865027365,0.07284352583513366,0.32827779555306263,-0.0867046495355145,0.08503477278856816,0.0,0.3333333333333333,-0.04091738566427352,0.05829011105174754,False,1.0,0.7486
4,250,9,3,250,-0.031053936501004478,-0.01386200154427061,0.045548606606589694,-0.07660254310759418,0.04230763857729951,0.11891018168489367,0.40702722906301103,-0.07629449403788434,0.11190555165423198,0.0,0.3333333333333333,-0.04449699009439534,0.08037703074590394,False,1.0,0.87925
