N,M,n,folds,medK,strong,mid,weak,spread,strongB,weakB,disp,s_norm,w_norm,f_strong_pos,f_weak_neg,strong_exbest,weak_exworst,mono,p_strong,p_weak
1,60,29,8,267,-0.009587319054051038,0.0013092472735662796,0.008241877756192655,-0.017829196810243694,0.00499102067609398,0.022820217486337682,0.1838457414388167,-0.052148714346161064,0.04483039798305868,0.375,0.375,-0.016756534876582786,0.014377186627316471,False,0.8944,0.85015
1,120,29,8,259,-0.018189605690745896,0.005157987671081199,0.012910519356606342,-0.03110012504735224,0.024636047420262812,0.05573617246761507,0.2763213190833399,-0.06582773182716249,0.046722849324240756,0.25,0.5,-0.0295772098322544,0.026016155635914567,False,0.9133,0.89155
1,180,28,7,263,-0.030908366703460206,0.008041779330044447,0.02270143640331298,-0.053609803106773185,0.03882903290604733,0.09243883601282053,0.37609732758339837,-0.08218183017162327,0.06036053632494639,0.2857142857142857,0.5714285714285714,-0.039991846821663915,0.03187073838236815,False,0.9398,0.79945
1,250,26,7,268,-0.050570486944505985,-0.0015816094072134432,0.05198495955274026,-0.10255544649724624,0.0666347266200158,0.169190173117262,0.5291816115420219,-0.09556357560714338,0.0982365192192854,0.14285714285714285,0.42857142857142855,-0.059528436063117,0.0578137531626573,False,0.98405,0.91215
2,60,28,8,268,-0.009154952900350368,-0.0008531438013377928,0.010011784667143905,-0.019166737567494273,0.006642360681488204,0.02580909824898248,0.18581278622434363,-0.049269768170297004,0.05388103192778154,0.5,0.375,-0.01573649887294168,0.016294500531414142,False,0.84805,0.88625
2,120,28,8,263,-0.021608577928112722,0.004692910565682552,0.016859325532798727,-0.038467903460911446,0.023490604542110872,0.06195850800302233,0.2794085469995112,-0.07733685372248304,0.060339333616835356,0.25,0.375,-0.031172907791224048,0.026717598344920816,False,0.9237,0.92045
2,180,27,7,267,-0.03783708482460884,0.008929981041217337,0.028827529418022437,-0.06666461424263127,0.03660651287685967,0.10327112711949094,0.378109696178795,-0.10006906780490758,0.07624118003149778,0.2857142857142857,0.42857142857142855,-0.044002737763074555,0.03510989745144824,False,0.9533,0.87515
2,250,25,7,269,-0.06010265446278625,-0.0028395201570554714,0.06308893133916173,-0.12319158580194797,0.06265898939154871,0.18585057519349668,0.5377840465767677,-0.1117598315631825,0.11731276102508165,0.0,0.14285714285714285,-0.06633655764818672,0.06993870355162199,False,1.0,0.9926
4,60,26,8,266,-0.012677430595223213,-0.0006298560545190084,0.013294917329869614,-0.02597234792509283,0.005388113540743577,0.0313604614658364,0.18791513628464357,-0.06746359471554295,0.0707495819268715,0.375,0.25,-0.017547345818086445,0.017431150755047566,False,0.76265,0.7803
4,120,26,8,261,-0.03199210086278032,0.003838161889768485,0.02810499694545399,-0.060097097808234315,0.018705273826928968,0.07880237163516328,0.2825052304695322,-0.1132442780249006,0.09948487289507044,0.25,0.125,-0.03756675307027154,0.034143062419897646,False,0.98865,0.98825
4,180,25,7,264,-0.04758550164931872,0.0030851505733384297,0.044326570845693726,-0.09191207249501245,0.030130353946067577,0.12204242644108003,0.37512591542254936,-0.12685207737705206,0.11816451229652686,0.14285714285714285,0.2857142857142857,-0.054188262054507434,0.04788183588794625,False,0.9924,0.86715
4,250,23,7,269,-0.06720786280812756,-0.008785451159129865,0.07606439262945465,-0.1432722554375822,0.06068810696049681,0.2039603623980791,0.5169289115790674,-0.1300137432878867,0.14714671771230606,0.0,0.14285714285714285,-0.07466012023956456,0.08565701815412424,False,1.0,0.99115
