year,n,strong,mid,weak
2017,2,2.72,-6.05,3.59
2018,4,-1.54,1.96,-0.61
2019,4,4.46,1.57,-6.12
2020,4,-1.43,-4.27,5.7
2021,4,0.25,3.89,-4.47
2022,4,-0.6,0.63,-0.04
2023,4,5.48,-4.45,-0.95
2024,4,0.74,-1.4,0.69
2025,4,1.51,-1.7,0.2
2026,1,4.58,-4.15,-0.43
