date,year,K,strongU,midU,weakU,strongB,weakB,disp
2017-09-29,2017,40,0.02983130316891978,-0.08201423713863816,0.058491721441921225,0.1857283272097323,0.21438874548273373,0.2654914019657117
2017-12-29,2017,42,0.02515411258194657,-0.031617077276042974,0.0064629646940963835,-0.06342532445796793,-0.08211647234581812,0.1297143621942583
2018-03-28,2018,36,0.012069169425883116,0.023556498271435283,-0.03562566769731836,-0.0772467439980333,-0.12494158112123478,0.1990323621991269
2018-06-29,2018,44,-0.016850832319067626,-0.0023751560812032974,0.01956529641187138,-0.06672304229321994,-0.030306913562280935,0.1856418577154549
2018-09-28,2018,53,-0.028383801684748657,-0.009995952708098473,0.039555748829093976,-0.005321497077857973,0.06261805343598466,0.13990361910042606
2018-12-31,2018,49,-0.02578354486494031,0.031532215895525774,-0.007719434524055855,-0.03321736460282115,-0.0151532542619367,0.1784322972300017
2019-03-29,2019,60,0.02242767410683008,0.0457972090377647,-0.06822488314459475,-0.02385191892937153,-0.11450447618079636,0.15190246203146593
2019-06-28,2019,58,0.023629707567594836,-0.005308598051801722,-0.01804170961832982,-0.0260677927510611,-0.06773920993698575,0.14888675652199757
2019-09-30,2019,51,0.02830511326012781,-0.03171659609316881,0.0034114828330410038,-0.053471216066837426,-0.07836484649392424,0.13744144916435366
2019-12-31,2019,64,0.06471855857172651,0.06491300654941115,-0.13272266067110972,0.022165036891034495,-0.17527618235180176,0.2276128726396368
2020-03-31,2020,57,-0.0502605847550574,-0.07739340674361621,0.12765399149867376,0.040026185151157245,0.2179407614048885,0.2700130296527415
2020-06-30,2020,41,0.05395878628655936,0.03284636096047403,-0.09185843354864474,0.04940621997001615,-0.09641099986518793,0.19672380835646558
2020-09-30,2020,52,-0.02916470990619821,-0.039421955090450655,0.07090560353138133,-0.0899723565668897,0.010097956870689845,0.17368437411971616
2020-12-31,2020,54,0.0016851439532235726,-0.011917153082845577,0.010232009129622056,-0.007129765842539132,0.001417099333859334,0.18450209640407728
2021-03-31,2021,40,-0.01382739493165089,0.018147596023122797,-0.005716170016327528,0.09399831236102096,0.10210953727634436,0.1791723836671722
2021-06-30,2021,43,-0.020534061390971525,-0.022715019015784522,0.044871581765026355,-0.12703669222413158,-0.0616310490681337,0.22174132429966142
2021-09-30,2021,74,0.04853786835010577,0.021860524917708145,-0.0722201036776229,0.04295878308755614,-0.07779918894017253,0.16287369571622107
2021-12-31,2021,221,0.04824471218446948,-0.016376209525820785,-0.031419839383968716,0.006848730592767263,-0.07281582097567094,0.18316752292948066
2022-03-31,2022,191,-0.014643804254369695,0.005793154238050715,0.00866674035796822,-0.024277678983778486,-0.0009671343714405672,0.1384664984852638
2022-06-30,2022,253,-0.0016653127895992247,-0.0008417633574652308,0.0025170971394151745,0.02367755642614766,0.02785996635516208,0.15451215239155452
2022-09-30,2022,229,-0.02195556846820296,0.008096472902139128,0.013752563027877815,-0.029345074620703456,0.006363056875377325,0.1758199772880424
2022-12-30,2022,224,-0.006001210025711414,0.007695914959369471,-0.0019027026352626346,0.013137226775522495,0.017235734165971267,0.12421851380039527
2023-03-31,2023,253,0.012004520226668643,-0.007811453698484363,-0.004100073031773786,0.04455715031310978,0.028452557054667288,0.1406966895410322
2023-06-30,2023,233,0.03685300872169522,-0.03837520416921192,0.0025189539973663713,0.1055178137320561,0.07118375900772723,0.17186521791390225
2023-09-29,2023,195,0.022623152546236317,-0.01873393861352468,-0.0038892139327117155,0.06061753494783023,0.034105168468882174,0.16332108308024898
2023-12-29,2023,221,0.02720905037187884,0.002851148238254148,-0.03013831226049615,0.03228763729071371,-0.02505972534166126,0.19360378407953188
2024-03-28,2024,245,0.003593863174137287,-0.0029876334834359995,-0.0005324609627151857,0.08610593329297994,0.08197960915612748,0.2206111426910725
2024-06-28,2024,249,-0.00922657089178554,-0.002481184360013498,0.011707755251798986,-0.02881376137022716,-0.00787943522664264,0.1385815002428751
2024-09-30,2024,275,0.014186345412043349,-0.023507713233668272,0.00983802085972753,0.005251382974848298,0.0009030584225324795,0.1284640196283259
2024-12-31,2024,233,-0.006759271327787532,0.010901604715638247,-0.004425491951893305,-0.04541809588772874,-0.04308431651183449,0.14270430810898946
2025-03-28,2025,219,-0.02396523432008625,-0.0004793135837341499,0.02444454790382036,0.008730903419820316,0.05714068564372696,0.14451538847282736
2025-06-30,2025,252,0.015373550121963984,-0.008447790623146587,-0.006925759498817397,0.014426726876977273,-0.007872582743804112,0.10064091215574972
2025-09-30,2025,207,0.022999687411755933,0.0065776969718753285,-0.029577384383631257,0.004592122913296012,-0.04798494888209118,0.14290806589567379
2025-12-31,2025,235,0.013398375169977,-0.02458575385146332,0.01150258065394098,0.011371762083145054,0.009475967567109056,0.13600953200209406
2026-03-30,2026,228,0.003958810763624387,-0.011118765535517938,0.007159954771893633,0.03305619090130177,0.036257334909571004,0.19210950565489382
