year,n,strong,mid,weak
2017,2,0.79,-3.39,2.78
2018,4,-0.94,1.55,-0.63
2019,4,3.83,1.64,-5.56
2020,4,0.3,-3.41,2.92
2021,4,1.38,2.79,-4.43
2022,4,-1.05,1.33,-0.31
2023,4,4.95,-4.19,-0.69
2024,4,-0.1,-1.25,1.37
2025,4,1.2,-1.72,0.53
2026,1,0.21,0.44,-0.66
