date,K,n_excluded,excluded,passed
2009-08-31,19,6,NIFTY BANK|NIFTY CEMENT|NIFTY FMCG|NIFTY METAL|NIFTY POWER|NIFTY PSU BANK,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2009-09-30,19,6,NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY FMCG|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY PSU BANK
2009-10-30,19,6,NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY NBFC|NIFTY OIL & GAS|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY POWER|NIFTY PSU BANK
2009-11-30,19,6,NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY NBFC|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY OIL & GAS|NIFTY PSU BANK
2009-12-31,19,6,NIFTY BANK|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY OIL & GAS|NIFTY PSU BANK|NIFTY REALTY,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY POWER|NIFTY TELECOMMUNICATIONS
2010-01-29,19,6,NIFTY AUTO|NIFTY CONSTRUCTION|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY NBFC|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
2010-02-26,19,6,NIFTY CONSTRUCTION|NIFTY MEDIA|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS
2010-03-31,19,6,NIFTY AUTO|NIFTY IT|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY PSU BANK
2010-04-30,19,6,NIFTY CEMENT|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY METAL|NIFTY OIL & GAS|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY IT|NIFTY NBFC|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY
2010-05-31,19,6,NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY METAL|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK
2010-06-30,19,6,NIFTY BANK|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY IT|NIFTY METAL|NIFTY PSU BANK,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2010-07-30,19,6,NIFTY AUTO|NIFTY CEMENT|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY OIL & GAS|NIFTY POWER,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2010-08-31,19,6,NIFTY CONSTRUCTION|NIFTY IT|NIFTY METAL|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY PSU BANK
2010-09-30,19,6,NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY OIL & GAS|NIFTY POWER|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY PSU BANK|NIFTY REALTY
