date,K,n_excluded,excluded,passed
2007-03-30,19,6,NIFTY AUTO|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY IT|NIFTY NBFC|NIFTY PSU BANK,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2007-04-30,19,6,NIFTY AUTO|NIFTY CHEMICALS|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2007-05-31,19,6,NIFTY AUTO|NIFTY CEMENT|NIFTY IT|NIFTY METAL|NIFTY POWER|NIFTY TELECOMMUNICATIONS,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY PSU BANK|NIFTY REALTY
2007-06-29,19,6,NIFTY AUTO|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY OIL & GAS|NIFTY REALTY,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY POWER|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
2007-07-31,19,6,NIFTY CAPITAL GOODS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY
2007-08-31,19,6,NIFTY BANK|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY IT|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER
2007-09-28,19,6,NIFTY AUTO|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY TELECOMMUNICATIONS,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY
2007-10-31,19,6,NIFTY AUTO|NIFTY CEMENT|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA,NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2007-11-30,19,6,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY HEALTHCARE|NIFTY IT|NIFTY TELECOMMUNICATIONS,NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY
2007-12-31,19,6,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY FMCG|NIFTY PSU BANK,NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2008-01-31,19,6,NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
2008-02-29,19,6,NIFTY BANK|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY MEDIA|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY
2008-03-31,19,6,NIFTY BANK|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY NBFC|NIFTY PSU BANK|NIFTY REALTY,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER|NIFTY TELECOMMUNICATIONS
2008-04-30,19,6,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY MEDIA,NIFTY BANK|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY METAL|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2008-05-30,19,6,NIFTY BANK|NIFTY CEMENT|NIFTY CONSTRUCTION|NIFTY OIL & GAS|NIFTY PSU BANK|NIFTY REALTY,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC|NIFTY POWER|NIFTY TELECOMMUNICATIONS
2008-06-30,19,6,NIFTY BANK|NIFTY CONSTRUCTION|NIFTY METAL|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY,NIFTY AUTO|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY TELECOMMUNICATIONS
2008-07-31,19,6,NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY METAL|NIFTY NBFC,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY FMCG|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY REALTY|NIFTY TELECOMMUNICATIONS
2008-08-29,19,6,NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER|NIFTY REALTY|NIFTY TELECOMMUNICATIONS,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY MEDIA|NIFTY NBFC|NIFTY PSU BANK
2008-09-30,19,6,NIFTY CHEMICALS|NIFTY CONSTRUCTION|NIFTY CONSUMER DURABLES|NIFTY IT|NIFTY METAL|NIFTY REALTY,NIFTY AUTO|NIFTY BANK|NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY MEDIA|NIFTY NBFC|NIFTY OIL & GAS|NIFTY POWER|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS
