horizon,metric,q1_pct,q2_pct,q3_pct,q4_pct,q5_pct,spread_pct,p_val,fold_pos_pct,spread_ex_best,inversions
5d,xs_univ,-0.07819815586019437,-0.1837149372604004,-0.14424679541708613,-0.04037819152497146,0.4250323050795718,0.5032304609397661,0.007689651946684463,61.904761904761905,0.4516947885860166,1
5d,raw,-0.36361132418288933,-0.42480432836587084,-0.24191020243890898,-0.16486365517517337,0.39401518751022424,0.7576265116931136,0.00010262400403190789,66.66666666666666,0.5319086880967017,1
10d,xs_univ,-0.20976555759453638,-0.24748058951999696,-0.08657537767434609,-0.03090890583446425,0.6594180037634142,0.8691835613579505,0.00016837295084798655,80.95238095238095,0.8567840286622923,1
10d,raw,-0.40590494182583986,-0.2943601010063547,0.11502830098044219,0.07906507583547213,0.8808463342271972,1.286751276053037,2.156562131529474e-07,85.71428571428571,0.8921674238683138,1
20d,xs_univ,-0.352774904204084,-0.27109884167341364,-0.25242787386022153,0.014357858146173852,0.9900151656664238,1.3427900698705078,2.000152622778934e-05,80.95238095238095,1.3023816082937738,0
20d,raw,0.03194991015717924,0.3338445977962711,0.7403249061091566,0.944019158340993,2.0801633074217682,2.048213397264589,4.46083684800494e-09,80.95238095238095,1.3224586069139659,0
30d,xs_univ,-0.38912771403127067,-0.5022476594801861,-0.033695955212064074,0.18432828160278336,0.7880663411022649,1.1771940551335354,0.001679521524197799,76.19047619047619,0.9303879915509119,1
30d,raw,0.5567952479263415,0.45047368580123354,1.6011097773684786,1.7740132722089,2.5353325419132906,1.9785372939869488,2.541930661112648e-06,76.19047619047619,0.9748512580522599,1
40d,xs_univ,-0.5776201642187695,-0.3191187609974102,-0.26930574647840105,0.2927036484832372,1.0134560297063449,1.5910761939251143,0.00032582246310972036,71.42857142857143,1.2233301238682064,0
40d,raw,1.6483254059977703,1.8285047619312287,2.6327700202836253,3.0364703244119746,3.7852176154242385,2.1368922094264677,9.658773313554186e-06,76.19047619047619,1.0331779718546963,0
60d,xs_univ,-1.5784486022658293,0.06740404822147547,-0.056512831162166675,0.6449094262841966,1.1956983279866393,2.774146930252469,3.877567761966755e-07,85.0,2.9024629357849716,1
60d,raw,1.7878414813450607,3.3545437037501653,4.2521668858425885,4.864983130743345,5.568113539914334,3.7802720585692713,2.778018953338938e-10,80.0,2.8303087847493513,0
90d,xs_univ,-2.122319748590774,-0.0862413180453837,-0.4538909518355178,1.3713552266843776,1.4536358118136872,3.5759555604044606,7.617835376205685e-07,85.0,3.5794336051435724,1
90d,raw,2.43172744761505,4.3869374646644905,5.359330663827707,7.252983437768046,7.325147031218513,4.893419583603464,2.6672014294896995e-09,85.0,3.403357908993571,0
126d,xs_univ,-2.8101346932126203,0.11533354463708581,0.22302054271347901,1.604329781534541,1.089016702885583,3.8991513960982034,1.844233897156539e-05,94.73684210526315,4.025652943378585,1
126d,raw,5.095053461364923,7.653068061945382,9.249242525999417,10.689809099365542,10.31509365929157,5.220040197926648,2.8960345841867737e-07,89.47368421052632,3.654862720998078,1
