date,year,K,topU,midU,botU,topB,botB,disp
2005-05-31,2005,179,0.07183573412811636,-0.07470056418133814,0.005397052567843316,0.1813715581590939,0.11493287659882087,0.35719795984370956
2005-06-30,2005,149,0.07274994443894572,-0.0708230882851309,0.0009638821435374029,0.20337363865331376,0.1315875763579054,0.6133984513935249
2005-07-29,2005,173,0.07455996213261187,0.0037006691663925826,-0.07839047933993053,0.1445126504415624,-0.008437791030980012,0.3858791194318726
2005-08-31,2005,164,0.05265276712675499,-0.012112102890360747,-0.04009206783304751,0.06138925671718921,-0.031355578242613286,0.3669968525355569
2005-09-30,2005,159,0.032840759925460455,0.0049296172965697695,-0.037770377222030214,0.04119832103708144,-0.02941281611040924,0.15702498708668017
2005-10-31,2005,170,0.01295998096899834,0.012037805953301112,-0.02542770856348888,0.029779037979409093,-0.008608651553078125,0.2130158156606796
2005-11-30,2005,152,-0.009703170016843971,0.005917084006029529,0.0035494026505732633,-0.014383964320284015,-0.0011313916528667757,0.20628600061436625
2005-12-30,2005,151,0.0409602042345343,-0.01251187677810129,-0.02819808992087092,-0.008193824231009592,-0.07735211838641481,0.2169912788635847
2006-01-31,2006,171,0.10663876694515052,-0.04916405262692869,-0.05747471431822183,0.1918959964628644,0.027782515199492056,0.580356267962441
2006-02-28,2006,153,0.022016155216159152,-0.0940032803669667,0.07198712515080759,0.131759954871171,0.18173092480581945,0.6266235933390778
2006-03-31,2006,149,-0.0059172716218825645,-0.028295494200119217,0.035367683952618856,-0.016901970241258106,0.024382985333243314,0.1860173986630451
2006-05-31,2006,149,-0.05769428588621628,0.04438033798319057,0.011502505536364876,-0.1283971083222527,-0.059200316899671535,0.1377443100500015
2006-06-30,2006,179,0.14907205015412922,-0.08280263431202639,-0.06346254688237302,0.22576047023324877,0.013225873196746578,1.061018867327971
2006-07-31,2006,159,0.1321768924081333,-0.07879639826497621,-0.05338049414315722,0.1857412121523786,0.00018382560108807987,0.8791004983796554
2006-08-31,2006,159,0.042696183434839594,-0.008333347514227226,-0.034362835920612296,0.02823428098613752,-0.04882473836931435,0.28777369861489316
2006-09-29,2006,136,-0.4135158955245891,0.8193664159094011,-0.4240586629605764,-0.03752514981761434,-0.04806791725360164,4.543540222144389
2006-10-31,2006,173,-0.24768772472382247,0.5173900297863627,-0.28785634119539527,0.06285713638652343,0.02268851991495069,3.75513646731143
2006-11-30,2006,128,-0.00868687580417384,0.011893879460998635,-0.0037733788692532583,0.019030279418422485,0.023943776353343067,0.20661615171044928
2006-12-29,2006,195,-0.04563393309965791,0.0015707296165915331,0.044063203483066374,-0.0456851470614692,0.044011989521255075,0.29668340804327237
2007-01-31,2007,183,0.00018645816073300527,-0.01792355372491496,0.017737095564181952,0.004553378601935893,0.022104016005384856,0.2920158842147587
2007-02-28,2007,191,0.02332504900321017,-0.01362366004763755,-0.009268891811203151,-0.020566750639705797,-0.05316069145411909,0.17718133795980234
2007-03-30,2007,153,0.016426395363910034,-0.02348004048274751,0.00705364511883742,0.048104477804335855,0.03873172755926324,0.2075275986672365
2007-04-30,2007,136,0.10936805323071078,-0.0734870454322454,-0.03424796234441559,0.2126123929126818,0.06899637733755545,0.5376390310740349
2007-05-31,2007,186,0.023112001214084254,-0.05977340016788505,0.036661398953800745,0.08197590494552923,0.09552530268524571,0.43238293150927304
2007-06-29,2007,188,-0.0038535071917185186,0.04221388900407578,-0.03972212016732745,0.025212060787012856,-0.010656552188596085,0.2758982746004639
2007-07-31,2007,171,0.08309161494389677,-0.04184949432413667,-0.04124212061976006,0.03425374374600306,-0.09007999181765376,0.2449591324498282
2007-08-31,2007,189,0.5386591588142469,-0.18531783620817904,-0.3533413226060679,0.6928997693774084,-0.19910071204290664,2.1599049900353027
2007-09-28,2007,197,0.33340765766287006,-0.1387573365587278,-0.19038086459464282,0.4992751239008824,-0.024513398356630498,1.3790979053105306
2007-10-31,2007,192,0.01411527846873482,0.009974766557848302,-0.024090045026583098,0.12587633502068013,0.08767101152536219,0.29979011791295873
2007-11-30,2007,130,-0.011976219688525481,-0.02927503182740718,0.04193206620959331,0.015026646686380584,0.06893493258449938,0.1578623554091538
2007-12-31,2007,164,0.23986207430146106,-0.1072023505687838,-0.1286892663042037,0.3618726999854311,-0.0066786406202336435,1.9184949192506358
2008-01-31,2008,223,-0.03707646052296356,-0.025792799824738335,0.06321781169668488,-0.06389233581526368,0.036401936404384765,0.18192824059138948
2008-02-29,2008,201,-0.1645473835935682,0.29509700256277355,-0.13054961896920536,-0.0005249534142496259,0.03347281121011324,1.9575189735638552
2008-03-31,2008,223,-0.005687346220642156,0.011789388517860634,-0.006261358358270609,0.06094943266969467,0.06037542053206624,0.1702939982976186
2008-04-30,2008,208,0.021540964687096726,0.016220217394143383,-0.03799625769564794,0.03753051041596022,-0.022006711966784446,0.1518809762932426
2008-05-30,2008,204,0.018550677501950365,-0.006480012751803641,-0.01207066475014673,0.06791918518580163,0.03729784293370453,0.14932504328259336
2008-06-30,2008,208,-0.007085795277475449,0.002573902711206463,0.00447458962842542,-0.01591088013207044,-0.0043504952261695685,0.15724909029971093
2008-07-31,2008,183,0.06895367104990538,0.009514355971955525,-0.07846802702186065,0.07323703920534244,-0.07418465886642359,0.1868003530014509
2008-08-29,2008,241,0.06619432526354234,0.020694057227804596,-0.08714705820669459,0.04601006987747917,-0.10733131359275778,0.18444633608985325
2008-09-30,2008,222,0.05106214047677499,0.0010418862353230173,-0.052104026712098045,0.05667750702236874,-0.0464886601665043,0.18659571611946446
2008-10-31,2008,215,0.01426221834060153,-0.015021993963063283,0.0011829303819846926,0.018651267162757272,0.005571979204140425,0.21386151237488832
2008-11-28,2008,216,-0.008726541860625752,0.0011422360953268608,0.007584305765298897,0.012982824997261581,0.029293672623186225,0.19861046239396432
2008-12-31,2008,177,-0.013796189161049003,0.03249930939919381,-0.018703120238144803,-0.04892570612624354,-0.05383263720333934,0.17925678603375808
2009-01-30,2009,224,-0.12995627555763967,0.012651070783179478,0.11696328394248248,-0.10031145145163663,0.14660810804848554,0.24090281822230786
2009-02-27,2009,215,-0.4633584874663229,-0.025960828227947555,0.49005060663026817,-0.3048631840606641,0.6485459100359271,0.5365919419337727
2009-03-31,2009,231,-0.3178660756754641,-0.012117032673744895,0.32998310834920863,-0.15357761578904267,0.49427156823563,0.4427239860541989
2009-04-29,2009,180,-0.04400032768604474,-0.034484030887329674,0.07848435857337435,0.14487613338930447,0.2673608196487235,0.2880829359859819
2009-05-29,2009,217,-0.04035649946240791,-0.0015315171085644927,0.04190928764192469,0.0346965338148206,0.1169623209191532,0.19737374333916458
2009-06-30,2009,224,-0.00902967670110471,0.0009927743406551726,0.008010070621512924,0.09773900767775613,0.11477875500037377,0.2573539372707611
2009-07-31,2009,198,-0.023630375111185365,0.03446934573688231,-0.010838970625696867,0.09866915460003815,0.11146055908552666,0.21515846773739464
2009-08-31,2009,216,-0.008386872967982625,0.038475371513495976,-0.03008849854551337,0.041840271351895233,0.020138645774364496,0.19088304955699065
2009-09-30,2009,258,0.02356117697678189,-0.008349948532930416,-0.015211228443851435,0.10466996721930888,0.06589756179867559,0.1619417434157381
2009-10-30,2009,206,-0.04447675936156895,-0.04455594966169974,0.09034317813096582,0.0848506561588168,0.21967059365135155,0.4284255795984266
2009-11-30,2009,222,-0.04299683493650221,-0.023027747421292606,0.06602458235779485,0.0872504951324759,0.19627191242677294,0.44163023224239956
2009-12-31,2009,223,-0.0014675973255118288,-0.05741535497965113,0.05965883548056368,0.10516841183797268,0.1662948446440482,0.49719925234795875
2010-01-29,2010,228,0.034128502813983566,-0.013687153294549538,-0.02044134951943399,0.12197306626218364,0.06740321392876608,0.19214085044764484
2010-02-26,2010,219,0.0308871013677344,0.0021104840657801887,-0.03299758543351454,0.09516112084739978,0.03127643404615084,0.17342210797982588
2010-03-31,2010,238,0.007882625087267081,0.011200339510498907,-0.019224741047265997,0.08503578804860559,0.057928421914072485,0.17947332239791772
2010-04-30,2010,224,0.032671369025912084,-0.013384593789732488,-0.0189250294580787,0.093541779671052,0.04194538118706123,0.1546653254057751
2010-05-31,2010,251,0.03889095995289329,-0.041198103287869464,0.0032998687154067717,0.14083749626612185,0.10524640502863535,0.19933209683623768
2010-06-30,2010,203,0.010625495821971824,-0.005947048951549193,-0.004500923021122678,0.059507585966615546,0.04438116712352104,0.19475167137169458
2010-08-31,2010,244,-0.003855548819557288,0.008475144942375487,-0.004724227541859849,0.020260770294700536,0.019392091572397976,0.18332248269980425
2010-09-30,2010,208,-0.0059821952415101305,0.027437963770563824,-0.02185342017790245,-0.01621627495292869,-0.032087499889321025,0.1340214090587168
2010-10-29,2010,259,-0.02246505108734044,0.010662914438337343,0.011678149271813078,-0.028165290285517588,0.0059779100736359345,0.11665643817403226
2010-11-30,2010,215,-0.020791771563188566,0.010616125523011765,0.009876600250796192,-0.02870465768334865,0.0019637141306361123,0.11236661473792772
2010-12-31,2010,242,-0.008756693516724106,-0.005415531679970423,0.0143076134886938,-0.029831246722773885,-0.00676693971735598,0.11229906969686353
2011-01-31,2011,212,-0.009415594104018645,0.020135302458295926,-0.011295002710228591,0.02070528038362689,0.018825871777416937,0.13806747759732602
2011-02-28,2011,246,0.0014389206882017443,0.0017406476867896736,-0.0031795683749914956,0.059118672688950644,0.05450018362575741,0.14029926351733696
2011-03-31,2011,215,0.054509297616395225,-0.011041994839780531,-0.04315626066845187,0.11002462746370285,0.012359069178855752,0.14561158453587367
2011-04-29,2011,225,0.05101029932225817,0.010149750088682751,-0.061160049410940956,0.1052292031668217,-0.006941145566377371,0.15301751058377686
2011-05-31,2011,230,0.06883642982527578,-0.0028136853052962165,-0.06594870016984018,0.1472008217142756,0.012415691719159646,0.1556984139438831
2011-06-30,2011,255,0.03318395684183349,0.017793915311264955,-0.05097787215309843,0.08953621958370166,0.005374390588769734,0.15500090198513639
2011-07-29,2011,230,0.011013072677563419,0.006499930017828366,-0.01768405348533462,0.013594065880670282,-0.015103060282227755,0.20902738784047287
2011-08-30,2011,221,0.011644489230450247,-0.0013557166107789757,-0.010251629698828025,-0.00806025464433913,-0.029956373573617398,0.16047233477942993
2011-09-30,2011,211,0.014379173076220072,0.03723702002732478,-0.05214815053250662,-0.005352926488568242,-0.07188025009729496,0.15493287446103657
2011-10-31,2011,195,-0.017327736909461728,0.0026862126837982904,0.014641524225663427,-0.016197018750416122,0.015772242384709034,0.11513198723974638
2011-11-30,2011,187,-0.04143528924653337,-0.013873305265483702,0.055532357500170056,-0.04919371064424565,0.047773936102457774,0.16012823529546905
2011-12-30,2011,214,-0.06488282939785632,-0.009914578433899927,0.07493704978152944,-0.004439067128590626,0.1353808120507951,0.2033491469599325
2012-01-31,2012,237,0.016727416470389927,-0.0060141614380956054,-0.01071325503229427,0.08259072473289766,0.05515005323021349,0.17375885468950258
2012-02-29,2012,262,-0.00976252733213426,0.01895817660245064,-0.009413559346206662,0.023416865673313775,0.02376583365924137,0.1540639194593
