N,M,win,n,folds,medK,topU,midU,botU,topB,botB,spreadU,disp,topU_norm,botU_norm,f_topU_pos,f_botU_neg,topU_exbest,botU_exworst,monotonic,topU_exRY,botU_exRY,topU_foldmean,botU_foldmean,p_top,p_bot
60,120,CLEAN,69,7,340,0.010160468912968621,-0.0015156866510933529,-0.00862743136244393,0.05605846597458354,0.037270565699171,0.01878790027541255,0.27531368702651987,0.03690506281291385,-0.0313367324945704,0.7142857142857143,0.7142857142857143,0.0017290065953767166,-0.004683021600478446,True,0.010198981210894152,-0.007999870105150157,0.006525396351131323,-0.006618307423359943,0.199,0.10245
60,120,CONTAM,177,16,229,0.01976775993515979,-0.02665764694932784,0.007400104193172864,0.11387375724036207,0.10150610149837516,0.012367655741986925,0.5872089365034546,0.033663928980487326,0.012602165486848527,0.75,0.5625,0.01694216997094684,0.011559056021428723,False,0.024804471012253578,-0.01639295211333108,0.019465089360570696,0.008400987764660436,0.00855,0.7395
120,20,CLEAN,73,7,340,0.0007494976428541424,0.0007406970488170959,-0.001503397992350265,0.00826300789326516,0.006010112258060756,0.0022528956352044073,0.09593578077394936,0.00781249328256536,-0.015670878792269145,0.5714285714285714,0.5714285714285714,-0.001601794601112606,0.0012621495077927661,True,0.0020319873255490806,-0.002729689087626313,-0.0005871161971249395,-9.596542717571488e-05,0.5706,0.48215
120,20,CONTAM,176,16,226,0.011114859580484223,-0.004227748405234829,-0.00683925735475697,0.035180191046436125,0.017226074111194936,0.017954116935241193,0.2079879231716686,0.053439927717871705,-0.032882954214182906,0.625,0.625,0.00013995194061007537,-0.0023226131332518677,True,0.01807992788157889,-0.008534688643704214,0.014816993169025343,-0.008013344774281462,0.24635,0.10535
120,60,CLEAN,71,7,340,0.0034594167345696073,0.00157962449625815,-0.005053625512932638,0.02228640000752936,0.013773357760027118,0.008513042247502246,0.17840939913052162,0.019390327815849828,-0.02832600489414508,0.5714285714285714,0.5714285714285714,-0.001749021521344073,0.00019908182374910564,True,0.004015805470314694,-0.00556431623454824,0.0007056326647700666,-0.0026129652676774753,0.44105,0.31165
120,60,CONTAM,176,16,226,0.014899558146535052,-0.0029681188827547513,-0.011927199776755855,0.05705126190182627,0.030224503978535364,0.02682675792329091,0.3018435622721816,0.04936185497671692,-0.03951450773696055,0.8125,0.8125,0.007622283447426847,-0.00692620842245469,True,0.020584756907970733,-0.015257312147830994,0.014259036639689823,-0.010819732078816792,0.1075,0.15045
120,120,CLEAN,69,7,340,0.013159989896697484,-0.0002551680236071563,-0.012904316567229797,0.05905798695831241,0.03299368049438512,0.02606430646392728,0.27531368702651987,0.047799984224648574,-0.0468713223327207,0.5714285714285714,0.5714285714285714,0.0006801409515921388,-0.004322817777937546,True,0.01669649283443007,-0.015618557000129525,0.007262698460614501,-0.008666408750439407,0.2437,0.1256
120,120,CONTAM,176,16,226,0.021253307767717635,-0.01839890310243592,-0.0027196432511336823,0.11601702445188639,0.09204407343303506,0.023972951018851316,0.5910921898956109,0.035955994904062344,-0.004601047514456217,0.75,0.5625,0.01573712397969873,0.0035828020021290733,False,0.035346561817063075,-0.020464055396506503,0.022723594799957274,-0.003374243350051814,0.0917,0.424
250,20,CLEAN,73,7,340,0.0026193749231587684,0.0003936557551264021,-0.0030183754596469397,0.01012633302650019,0.004488582643694482,0.005637750382805708,0.09592230569247148,0.02730725564037762,-0.031466877676229986,0.5714285714285714,0.7142857142857143,-0.0011511758411797569,0.0005069966890297082,True,0.004362131265216407,-0.005043490278190735,0.0009762026688690228,-0.0011639665921513575,0.3721,0.3982
250,20,CONTAM,178,16,223,0.013025845860704814,-0.012424235119694005,-0.0004804831445864646,0.03724691721697895,0.023740588211687678,0.013506329005291279,0.20760447456991143,0.06274356989506179,-0.0023144161299117876,0.8125,0.625,0.0023997797507875787,0.0035056377765362878,False,0.02130466813279537,-0.007594197680221853,0.016788035711278636,-0.0013705962433652615,0.1448,0.4048
250,60,CLEAN,71,7,340,0.00828626802482859,0.00254452614692737,-0.01086451524022589,0.0271984839166641,0.008047700651609617,0.01915078326505448,0.17842701175445858,0.0464406590871549,-0.06089052959748627,0.42857142857142855,0.7142857142857143,-0.0025972971488894634,-0.0009292418835494942,True,0.01177104086890858,-0.015015253263955128,0.003531960248920609,-0.005667844599527715,0.35365,0.28375
250,60,CONTAM,178,16,223,0.008114575244502967,-0.009924271042168942,0.0020316224196080426,0.05042091092230334,0.04433795809740842,0.006082952824894924,0.30111210436334146,0.026948684981163668,0.006747063270351147,0.75,0.6875,0.004708300903775009,0.0061114702300283374,False,0.021071185012837827,-0.015623775571363343,0.00799244550257615,0.0026845122248104632,0.2076,0.5876
250,120,CLEAN,69,7,340,0.015932217252682113,0.002209500703781867,-0.01814936113989059,0.062043236961356565,0.02796165856878385,0.034081578392572705,0.2753496321049102,0.057861770618280045,-0.06591387466599394,0.5714285714285714,0.7142857142857143,-0.008458684887259987,-0.00045149797231228486,True,0.023593414274382225,-0.02653288810978721,0.0043225243089104306,-0.009041416504373165,0.41945,0.303
250,120,CONTAM,178,16,223,0.006119417115883171,-0.030970185199048168,0.02547417173466432,0.10101452658040126,0.1203692811991824,-0.019354754618781146,0.5910166938227418,0.01035405121351532,0.043102287974127095,0.5625,0.5,0.000606272849327506,0.03195760373597225,False,0.029223956650600368,-0.01996219893407934,0.0072480273601043515,0.023676940684947776,0.34095,0.81425
