N,M,win,n,folds,medK,topU,midU,botU,topB,botB,spreadU,disp,topU_norm,botU_norm,f_topU_pos,f_botU_neg,topU_exbest,botU_exworst,monotonic,topU_exRY,botU_exRY,topU_foldmean,botU_foldmean,p_top,p_bot
20,20,CLEAN,73,7,340,-0.001192877228805566,-0.000512439940698604,0.0017100188755027753,0.006310163404889393,0.009213059509197735,-0.0029028961043083413,0.09590966087310376,-0.012437508567399055,0.017829474736286145,0.42857142857142855,0.2857142857142857,-0.0033232090103868014,0.003254106372328215,False,-0.0005422388905105603,0.0011579222877042786,-0.0021077449158132216,0.0025625956289563353,0.84475,0.9187
20,20,CONTAM,178,16,229,0.0035003694698177335,-0.00556965298844751,0.0022872550669944323,0.027150702796900662,0.02593758839407735,0.0012131144028233011,0.2052540490828451,0.01705383881808298,0.011143532014178415,0.375,0.375,-0.0037538904472397936,0.005301083132869722,False,0.007269665444453704,-0.0022639414615147407,0.006277969386401048,0.0015735186485499749,0.4511,0.69065
20,60,CLEAN,71,7,340,0.0006323973210625354,0.0006918778702778249,-0.00131912417566929,0.01941818874993933,0.017466667253207505,0.0019515214967318253,0.1783176477698956,0.0035464651366341076,-0.00739760866165929,0.42857142857142855,0.5714285714285714,-0.001985885777442063,0.001420228787715969,False,-0.000920410798747099,-0.00012588767455015012,0.0007913100887163618,-0.0008177828873567843,0.4625,0.4575
20,60,CONTAM,178,16,229,-0.0013577932271536845,-0.005653873353250487,0.00717120393545678,0.04053660688902786,0.04906560405163831,-0.008528997162610465,0.2989335314198672,-0.0045421241996656285,0.023989292540703512,0.4375,0.5625,-0.004899455736282288,0.010201101026081068,False,0.002611380493759703,-0.004235200011011188,-0.0020225521467720662,0.008413168747769382,0.6224,0.7837
20,120,CLEAN,69,7,340,0.004581909776196966,-0.0005716373448115013,-0.0040038969723180905,0.05047990683781189,0.041894100089296823,0.008585806748515057,0.27531368702651987,0.016642506319548177,-0.014543036401718782,0.42857142857142855,0.7142857142857143,-0.0004290815830676799,0.000175191098138296,True,0.0029507274594727227,-0.0028197998712409305,0.004136135614102659,-0.0021979671349712133,0.2897,0.33155
20,120,CONTAM,178,16,229,-0.001109109285883569,-0.011054635188847937,0.01248282981672937,0.09262508951872565,0.1062170286213386,-0.01359193910261294,0.5829961940671484,-0.0019024297193882263,0.02141151167668107,0.625,0.5625,-0.003220355511470346,0.015129757656155922,False,0.0055757844604537666,-0.005769800906415852,-0.000987856089585141,0.012709881814044713,0.5644,0.8891
60,20,CLEAN,73,7,340,0.0006027614618199535,-0.0013034443823166505,0.0007030689618138054,0.008116271712230975,0.008216579212224828,-0.00010030749999385188,0.09593578077394936,0.006282968220587296,0.0073285374460069904,0.5714285714285714,0.2857142857142857,-0.0013279741241886786,0.002379439962814627,False,0.001158973345979315,0.0002960490391509593,-0.0002499262878373409,0.001308226816166665,0.55995,0.8485
60,20,CONTAM,177,16,229,0.011053152612076938,-0.010802956168021934,-0.0001290166611099988,0.03500151623911013,0.023819346965923197,0.011182169273186937,0.20654937825759695,0.05351336665991828,-0.0006246286587660233,0.625,0.6875,0.002303685230970592,0.0034853766711533244,False,0.016591124973611895,-0.006187318840136699,0.013758178968073478,-0.0006339093415630378,0.12345,0.4369
60,60,CLEAN,71,7,340,0.00408136722805466,-0.0018138327930239903,-0.0022543874756276224,0.02290835050101441,0.016572595797332133,0.0063357547036822824,0.17840939913052162,0.022876413731256352,-0.01263603535808305,0.7142857142857143,0.5714285714285714,-0.0006131258850263129,0.0013724866647722032,True,0.003103325348691217,-0.0007969577248026152,0.0022783909544062337,-0.001401184255371232,0.38005,0.39565
60,60,CONTAM,177,16,229,0.012110788528231374,-0.015027222057316837,0.0032797427685563115,0.0539786964186022,0.04514765065892713,0.008831045759675063,0.2997932331622297,0.0403971377221772,0.010940016003568418,0.75,0.75,0.006171149051721652,0.0067159433711221185,False,0.01585971295158867,-0.010160591828634236,0.010398769510758934,0.004723129924955603,0.07155,0.63415
